doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC002,109_PMK.04_2020Per.txt,,,,1,,Pasal 17 ayat (3) Undang-Undang Dasar Negara Republik Indonesia Tahun 1945;,
DOC002,109_PMK.04_2020Per.txt,,,,5,,Peraturan Menteri Keuangan Nomor 217/PMK.01/2018 tentang Organisasi dan Tata Kerja Kementerian Keuangan (Berita Negara Republik Indonesia Tahun 2018 Nomor 1862) sebagaimana telah beberapa kali diubah terakhir dengan Peraturan Menteri Keuangan Nomor 229/PMK.01/2019 tentang Perubahan Kedua atas Peraturan Menteri Keuangan Nomor 217/PMK.01/2018 tentang Organisasi dan Tata Kerja Kementerian Keuangan (Berita Negara Republik Indonesia Tahun 2019 Nomor 1745); Menetapkan: PERATURAN MENTERI KEUANGAN TENTANG KAWASAN PABEAN DAN TEMPAT PENIMBUNAN SEMENTARA. KETENTUAN UMUM Dalam Peraturan Menteri ini yang dimaksud dengan:,
DOC002,109_PMK.04_2020Per.txt,BAB I,,Pasal 1,1,,"Daerah Pabean adalah wilayah Republik Indonesia yang meliputi wilayah darat, perairan, dan ruang udara di atasnya, serta tempat-tempat tertentu di Zona Ekonomi Eksklusif dan landas kontinen yang di dalamnya berlaku Undang-Undang Kepabeanan.",
DOC002,109_PMK.04_2020Per.txt,BAB I,,Pasal 1,2,,"Kawasan Pabean adalah kawasan dengan batas-batas tertentu di pelabuhan laut, bandar udara, atau tempat lain yang ditetapkan untuk lalu lintas barang yang sepenuhnya berada di bawah pengawasan Direktorat Jenderal Bea dan Cukai.",
DOC002,109_PMK.04_2020Per.txt,BAB I,,Pasal 1,3,,Pelabuhan Laut adalah pelabuhan yang dapat digunakan untuk melayani kegiatan angkutan laut dan/atau angkutan penyeberangan yang terletak di laut atau di sungai.,
DOC002,109_PMK.04_2020Per.txt,BAB I,,Pasal 1,4,,"Bandar Udara adalah kawasan di daratan dan/atau perairan dengan batas-batas tertentu yang digunakan sebagai tempat pesawat udara mendarat dan lepas landas, naik turun penumpang, bongkar muat barang, dan tempat perpindahan intra dan antarmoda transportasi, yang dilengkapi dengan fasilitas keselamatan dan keamanan penerbangan, serta fasilitas pokok dan fasilitas penunjang lainnya.",
DOC002,109_PMK.04_2020Per.txt,BAB I,,Pasal 1,5,,"Tempat Lain yang ditetapkan untuk lalu lintas barang yang selanjutnya disebut Tempat Lain adalah: a. tempat selain Pelabuhan Laut dan Bandar Udara, yang dipergunakan untuk bongkar muat barang impor dan/atau barang ekspor; b. kawasan perbatasan yang di dalamnya terdapat pos lintas batas atau pos pemeriksaan lintas batas; c. tempat yang dipergunakan untuk lalu lintas barang impor dan/atau barang ekspor di kantor tempat penyelesaian kewajiban pabean atas layanan pos sebagaimana dimaksud dalam ketentuan perundang-undangan mengenai pos; atau d. kawasan penunjang Pelabuhan Laut atau Bandar Udara yang ditunjuk oleh penyelenggara Pelabuhan Laut atau Bandar Udara untuk lalu lintas barang impor dan/atau barang ekspor.",
DOC002,109_PMK.04_2020Per.txt,BAB I,,Pasal 1,6,,Penyelenggara Pelabuhan Laut adalah otoritas pelabuhan atau unit penyelenggara pelabuhan sebagaimana dimaksud dalam peraturan perundang-undangan mengenai pelayaran.,
DOC002,109_PMK.04_2020Per.txt,BAB I,,Pasal 1,7,,Penyelenggara Bandar Udara adalah otoritas Bandar Udara sebagaimana dimaksud dalam peraturan perundang-undangan mengenai penerbangan.,
DOC002,109_PMK.04_2020Per.txt,BAB I,,Pasal 1,8,,"Tempat Penimbunan Sementara yang selanjutnya disingkat TPS adalah bangunan dan/atau lapangan atau tempat lain yang disamakan dengan itu di Kawasan Pabean untuk menimbun barang, sementara menunggu pemuatan atau pengeluarannya.",
DOC002,109_PMK.04_2020Per.txt,BAB I,,Pasal 1,9,,Tempat Penimbunan Sementara Pusat Distribusi yang selanjutnya disebut TPS Pusat Distribusi adalah TPS yang memiliki fungsi utama untuk menimbun barang impor atau ekspor untuk diangkut lanjut.,
