doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC013,155~PMK.010~2015Per.txt,,,,4,,Surat Menteri Perdagangan Nomor 497/M-DAG/SD/6/2015 tanggal 25 Juni 2015 hal Bea Masuk Tindakan Pengamanan atas impor produk Steel Wire Rod;,
DOC013,155~PMK.010~2015Per.txt,,,,5,,"Laporan Akhir Hasil Penyelidikan Komite Pengamanan Perdagangan Indonesia atas Importasi Produk Steel Wire Rod dengan Nomor Harmonized System (HS) 7213.91.10.00, 7213.91.20.00, 7213.91.90.00, 7213.99.10.00, 7213.99.20.00, 7213.99.90.00, dan 7227.90.00.00; PERATURAN MENTERI KEUANGAN TENTANG PENGENAAN BEA MASUK TINDAKAN PENGAMANAN TERHADAP IMPOR PRODUK STEEL WIRE ROD. Terhadap impor produk steel wire rod, dikenakan Bea Masuk Tindakan Pengamanan. Produk impor berupa steel wire rod dimaksud pada ayat (1) adalah produk dengan pos tarif dan spesifikasi sebagai berikut: - Pos Tarif 7213.91.10.00: Ukuran (mm): < 5,5, Kandungan Boron (B): < 0,10%, Kandungan Aluminium (Al): < 0,15% - Pos Tarif 7213.91.20.00: Ukuran (mm): 5,5 - < 14, Kandungan Boron (B): < 0,10%, Kandungan Aluminium (Al): < 0,15% - Pos Tarif 7213.91.90.00: Ukuran (mm): 14 - 20, Kandungan Boron (B): < 0,10%, Kandungan Aluminium (Al): < 0,15% - Pos Tarif 7213.99.10.00: Ukuran (mm): 5,5 - 20, Kandungan Boron (B): < 0,10%, Kandungan Aluminium (Al): < 0,15% - Pos Tarif 7213.99.20.00: Ukuran (mm): 5,5 - 20, Kandungan Boron (B): < 0,10%, Kandungan Aluminium (Al): < 0,15% - Pos Tarif 7213.99.90.00: Ukuran (mm): 14 - 20, Kandungan Boron (B): < 0,10%, Kandungan Aluminium (Al): < 0,15% - Pos Tarif 7227.90.00.00: Ukuran (mm): 5,5 - 20, Kandungan Boron (B): < 0,10%, Kandungan Aluminium (Al): < 0,15% Bea Masuk Tindakan Pengamanan sebagaimana dimaksud dalam Pasal 1 dikenakan selama 3 (tiga) tahun dengan ketentuan sebagai berikut:",
DOC013,155~PMK.010~2015Per.txt,,,Pasal 2,1,,"Tahun Pertama, dengan Periode 1 (satu) tahun sejak tanggal berlakunya Peraturan Menteri ini, dikenakan tarif 14,5%.",
DOC013,155~PMK.010~2015Per.txt,,,Pasal 2,2,,"Tahun Kedua, dengan Periode 1 (satu) tahun setelah tanggal berakhirnya Tahun Pertama, dikenakan tarif 10%.",
DOC013,155~PMK.010~2015Per.txt,,,Pasal 2,3,,"Tahun Ketiga, dengan Periode 1 (satu) tahun setelah tanggal berakhirnya Tahun Kedua, dikenakan tarif 5,5%. Bea Masuk Tindakan Pengamanan sebagaimana dimaksud dalam Pasal 1 dikenakan terhadap importasi dari semua negara, kecuali terhadap produk-produk steel wire rod yang berasal dari negara-negara sebagaimana tercantum dalam Lampiran yang merupakan bagian yang tidak terpisahkan dari Peraturan Menteri ini.",
DOC013,155~PMK.010~2015Per.txt,,,Pasal 4,,1,"Pengenaan Bea Masuk Tindakan Pengamanan sebagaimana dimaksud dalam Pasal 1 merupakan: a. tambahan bea masuk umum (Most Favoured Nation); atau b. tambahan bea masuk preferensi berdasarkan skema-skema perjanjian perdagangan barang internasional yang berlaku, dalam hal impor dilakukan dari negara-negara yang termasuk dalam skema-skema perjanjian perdagangan barang internasional dimaksud dan memenuhi ketentuan dalam skema-skema perjanjian perdagangan barang internasional.",
DOC013,155~PMK.010~2015Per.txt,,,Pasal 4,,2,"Dalam hal ketentuan dalam skema-skema perjanjian perdagangan barang internasional tidak dipenuhi, pengenaan Bea Masuk Tindakan Pengamanan atas importasi dari negara-negara yang termasuk dalam skema-skema perjanjian perdagangan barang internasional sebagaimana dimaksud pada ayat (1) huruf b merupakan tambahan bea masuk umum (Most Favoured Nation). Terhadap impor produk steel wire rod yang berasal dari negara-negara yang dikecualikan dari pengenaan Bea Masuk Tindakan Pengamanan sebagaimana dimaksud dalam Pasal 3 dan negara-negara yang memiliki kerja sama perdagangan dengan Indonesia sebagaimana dimaksud dalam Pasal 4 ayat (1) huruf b, importir wajib menyerahkan dokumen Surat Keterangan Asal (Certificate of Origin). Ketentuan mengenai pengenaan tarif Bea Masuk Tindakan Pengamanan sebagaimana dimaksud dalam Pasal 2 berlaku sepenuhnya terhadap impor barang yang dokumen pemberitahuan pabean impor dimaksud mendapat nomor pendaftaran dari Kantor Pabean pelabuhan pemasukan sejak tanggal berlakunya Peraturan Menteri ini.",
DOC013,155~PMK.010~2015Per.txt,,,Pasal 7,,1,Peraturan Menteri ini berlaku selama 3 (tiga) tahun terhitung sejak tanggal berlakunya Peraturan Menteri ini.,
DOC013,155~PMK.010~2015Per.txt,,,Pasal 7,,2,"Peraturan Menteri ini mulai berlaku setelah 7 (tujuh) hari terhitung sejak tanggal diundangkan. Agar setiap orang mengetahuinya, memerintahkan pengundangan Peraturan Menteri ini dengan penempatannya dalam Berita Negara Republik Indonesia. pada tanggal 11 Agustus 2015 MENTERI KEUANGAN REPUBLIK INDONESIA, ttd. BAMBANG P. S. BRODJONEGORO Diundangkan di Jakarta Pada tanggal 11 Agustus 2015 MENTERI HUKUM DAN HAK ASASI MANUSIA REPUBLIK INDONESIA, ttd. YASONNA H. LAOLY BERITA NEGARA REPUBLIK INDONESIA TAHUN 2015 NOMOR Salinan sesuai dengan aslinya KEPALA BIRO-UMUM KEPALA BAGIAN T:U. KEMENTERIAN LAMPIRAN NOMOR 155/PMK.010/2015 TENTANG TERHADAP IMPOR PRODUK STEEL WIRE ROD MENTERI KEUANGAN REPUBLIK INDONESIA DAFTAR NEGARA-NEGARA YANG DIKECUALIKAN DARI PENGENAAN BEA MASUK TINDAKAN PENGAMANAN TERHADAP IMPOR PRODUK STEEL WIRE ROD",
DOC013,155~PMK.010~2015Per.txt,,,Pasal 7,1,,Albania,
