doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC016,168~PMK.04~2022.txt,BAB I,,Pasal 1,1,,Jaminan adalah jaminan yang diberikan oleh pihak ketiga untuk memenuhi kewajiban pembayaran bea masuk dan/atau cukai.,
DOC016,168~PMK.04~2022.txt,BAB I,,Pasal 1,2,,Jaminan tunai adalah jaminan yang diserahkan dalam bentuk uang tunai.,
DOC016,168~PMK.04~2022.txt,BAB I,,Pasal 1,3,,Jaminan bank adalah jaminan yang diterbitkan oleh bank.,
DOC016,168~PMK.04~2022.txt,BAB I,,Pasal 1,4,,Jaminan perusahaan asuransi adalah jaminan yang diterbitkan oleh perusahaan asuransi.,
DOC016,168~PMK.04~2022.txt,BAB I,,Pasal 1,5,,Jaminan dari Lembaga Pembiayaan Ekspor Indonesia adalah jaminan yang diterbitkan oleh lembaga tersebut.,
DOC016,168~PMK.04~2022.txt,BAB I,,Pasal 1,6,,Jaminan dari lembaga penjamin adalah jaminan yang diterbitkan oleh lembaga penjamin.,
DOC016,168~PMK.04~2022.txt,BAB I,,Pasal 1,7,,Jaminan aset berwujud adalah jaminan yang diberikan dengan menyerahkan aset berwujud. JENIS-JENIS JAMINAN,
DOC016,168~PMK.04~2022.txt,BAB II,,Pasal 2,,1,Jenis-jenis jaminan dalam rangka kegiatan kepabeanan dan cukai terdiri atas: a. Jaminan tunai; b. Jaminan bank; c. Jaminan perusahaan asuransi; d. Jaminan dari Lembaga Pembiayaan Ekspor Indonesia; e. Jaminan dari lembaga penjamin; f. Jaminan aset berwujud.,
DOC016,168~PMK.04~2022.txt,BAB II,,Pasal 2,,2,Setiap jenis jaminan sebagaimana dimaksud pada ayat (1) memiliki ketentuan dan prosedur yang berbeda sesuai dengan peraturan perundang-undangan yang berlaku. PENGAJUAN PENGGUNAAN JAMINAN,
DOC016,168~PMK.04~2022.txt,BAB III,,Pasal 19,,1,"Permohonan penggunaan Jaminan tunai, Jaminan bank, Jaminan dari perusahaan asuransi, Jaminan dari Lembaga Pembiayaan Ekspor Indonesia, Jaminan dari lembaga penjamin, dan Jaminan aset berwujud, diajukan kepada Kepala Kantor Bea dan Cukai dengan menggunakan contoh format sebagaimana tercantum dalam Lampiran huruf E yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini.",
DOC016,168~PMK.04~2022.txt,BAB III,,Pasal 19,,2,Izin penggunaan Jaminan perusahaan (corporate guarantee) diajukan kepada Menteri u.p. direktur yang mengelola penerimaan dengan menggunakan contoh format sebagaimana tercantum dalam Lampiran huruf F yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini.,
DOC016,168~PMK.04~2022.txt,BAB III,,Pasal 19,,3,Pengajuan sebagaimana dimaksud pada ayat (2) dapat dilakukan melalui Kepala Kantor Bea dan Cukai untuk diteruskan kepada direktur yang mengelola penerimaan.,
DOC016,168~PMK.04~2022.txt,BAB III,,Pasal 19,,4,Izin penggunaan Jaminan tertulis diajukan kepada Menteri u.p. Kepala Kantor Bea dan Cukai dengan menggunakan contoh format sebagaimana tercantum dalam Lampiran huruf G yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini. Bagian Kesatu Penyerahan Jaminan Tunai,
DOC016,168~PMK.04~2022.txt,BAB III,,Pasal 20,,1,"Jaminan tunai sebagaimana dimaksud dalam Pasal 6, diserahkan dalam mata uang Rupiah kepada Bendahara Penerimaan atau Pejabat Bea dan Cukai yang memungut penerimaan di Kantor Bea dan Cukai.",
DOC016,168~PMK.04~2022.txt,BAB III,,Pasal 20,,2,Penyerahan Jaminan tunai sebagaimana dimaksud pada ayat (1) dilakukan dengan cara: a. menyerahkan uang tunai; dan/atau b. menyerahkan bukti pengkreditan rekening khusus Jaminan.,
DOC016,168~PMK.04~2022.txt,BAB III,,Pasal 20,,3,Bendahara Penerimaan pada Kantor Bea dan Cukai harus menyimpan Jaminan tunai sebagaimana dimaksud pada ayat (2) huruf a pada rekening khusus Jaminan paling lama pada hari kerja berikutnya.,
DOC016,168~PMK.04~2022.txt,BAB III,,Pasal 20,,4,"Dalam hal Jaminan tunai sebagaimana dimaksud pada ayat (2) huruf a diserahkan untuk menjamin kegiatan kepabeanan oleh penumpang, awak sarana pengangkut, atau pelintas batas, Jaminan tunai dapat disimpan di Kantor Bea dan Cukai.",
DOC016,168~PMK.04~2022.txt,BAB III,,Pasal 20,,5,"Pembukaan rekening khusus Jaminan di Kantor Bea dan Cukai dilaksanakan sesuai dengan ketentuan peraturan perundang-undangan mengenai pengelolaan rekening milik satuan kerja lingkup kementerian negara/lembaga. Bagian Kedua Penyerahan Jaminan Bank, Jaminan Perusahaan Asuransi, Jaminan dari Lembaga Pembiayaan Ekspor Indonesia, dan Jaminan dari Lembaga Penjamin",
