doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC023,2011-PMK_nomor_176_PMK.011_2011.txt,,,,4,,Keputusan Presiden Nomor 56/P Tahun 2010;,
DOC023,2011-PMK_nomor_176_PMK.011_2011.txt,,,,5,,Memperhatikan: Surat Menteri Perdagangan Nomor: 1069/M-DAG/SD/2011 tanggal 15 Juli 2011 perihal Usulan Pengenaan Bea Masuk Tindakan Pengamanan Terhadap Produk Terpal dari Serat Sintetik Yang Ada Di Dalam HS 6306.12.00.00 Selain Awning dan Kerai Matahari;,
DOC023,2011-PMK_nomor_176_PMK.011_2011.txt,,,,6,,"Laporan Komite Pengamanan Perdagangan Indonesia tentang Hasil Penyelidikan untuk Tindakan Pengamanan (Safeguard Measures) atas Barang Impor Terpal dari Serat Sintetik yang Ada di dalam HS 6306.12.00.00 Selain Awning dan Kerai Matahari; Menetapkan: PERATURAN MENTERI KEUANGAN TENTANG PENGENAAN BEA MASUK TINDAKAN PENGAMANAN TERHADAP IMPOR PRODUK BERUPA TERPAL DARI SERAT SINTETIK SELAIN AWNING DAN KERAI MATAHARI. Terhadap impor produk berupa terpal dari serat sintetik selain awning dan kerai matahari yang termasuk dalam pos tarif ex. 6306.12.00.00, dikenakan Bea Masuk Tindakan Pengamanan. Bea Masuk Tindakan Pengamanan sebagaimana dimaksud dalam Pasal 1 dikenakan selama 3 (tiga) tahun dengan ketentuan sebagai berikut: - Tahun I, dengan periode 1 (satu) tahun terhitung sejak tanggal diundangkannya Peraturan Menteri Keuangan ini dikenakan tarif Rp 13.643/kg. - Tahun II, dengan periode 1 (satu) tahun terhitung sejak tanggal berakhirnya periode Tahun I dikenakan tarif Rp 12.643/kg. - Tahun III, dengan periode 1 (satu) tahun terhitung sejak tanggal berakhirnya periode Tahun II dikenakan tarif Rp 11.643/kg. Bea Masuk Tindakan Pengamanan sebagaimana dimaksud dalam Pasal 1 dikenakan terhadap importasi dari semua negara, kecuali terhadap produk berupa terpal sebagaimana dimaksud dalam Pasal 1 yang diproduksi dari negara-negara sebagaimana tercantum dalam Lampiran yang merupakan bagian tidak terpisahkan dari Peraturan Menteri Keuangan ini.",
DOC023,2011-PMK_nomor_176_PMK.011_2011.txt,,,Pasal 4,,1,"Pengenaan Bea Masuk Tindakan Pengamanan sebagaimana dimaksud dalam Pasal 1 merupakan: a. tambahan Bea Masuk Umum (Most Favored Nation); atau b. tambahan Bea Masuk Preferensi berdasarkan skema-skema perjanjian perdagangan barang internasional yang berlaku, dalam hal impor dilakukan dari negara-negara yang termasuk dalam skema-skema perjanjian perdagangan barang internasional dimaksud dan memenuhi ketentuan dalam skema-skema perjanjian perdagangan barang internasional.",
DOC023,2011-PMK_nomor_176_PMK.011_2011.txt,,,Pasal 4,,2,"Dalam hal ketentuan dalam skema-skema perjanjian perdagangan barang internasional tidak dipenuhi, pengenaan Bea Masuk Tindakan Pengamanan atas importasi dari negara-negara yang termasuk dalam skema-skema perjanjian perdagangan barang internasional sebagaimana dimaksud pada ayat (1) huruf b merupakan tambahan bea masuk umum (Most Favored Nation). Terhadap impor produk berupa terpal sebagaimana dimaksud dalam Pasal 1 yang berasal dari negara-negara yang dikecualikan dari pengenaan Bea Masuk Tindakan Pengamanan sebagaimana dimaksud dalam Pasal 3 dan yang berasal dari negara-negara yang memiliki kerja sama perdagangan dengan Indonesia sebagaimana dimaksud dalam Pasal 4 ayat (1) huruf b, importir wajib menyerahkan dokumen Surat Keterangan Asal (Certificate of Origin). Ketentuan mengenai pengenaan tarif Bea Masuk Tindakan Pengamanan sebagaimana dimaksud dalam Pasal 2 berlaku sepenuhnya terhadap impor barang yang dokumen pemberitahuan pabean impor dimaksud mendapat nomor pendaftaran dari Kantor Pabean pelabuhan pemasukan sejak tanggal berlakunya Peraturan Menteri Keuangan ini.",
DOC023,2011-PMK_nomor_176_PMK.011_2011.txt,,,Pasal 7,1,,Peraturan Menteri Keuangan ini berlaku selama 3 (tiga) tahun terhitung sejak tanggal berlakunya Peraturan Menteri Keuangan ini.,
DOC023,2011-PMK_nomor_176_PMK.011_2011.txt,,,Pasal 7,2,,"Peraturan Menteri Keuangan ini mulai berlaku pada tanggal diundangkan. Agar setiap orang mengetahuinya, memerintahkan pengundangan Peraturan Menteri Keuangan ini dengan penempatannya dalam Berita Negara Republik Indonesia. MENTERI KEUANGAN REPUBLIK INDONESIA, AGUS D.W. MARTOWARDOJO Diundangkan di Jakarta pada tanggal 17 November 2011 MENTERI HUKUM DAN HAK ASASI MANUSIA REPUBLIK INDONESIA AMIR SYAMSUDIN PERATURAN MENTERI KEUANGAN NOMOR 176/PMK.011/2011 LAMPIRAN TENTANG PENGENAAN BEA MASUK TINDAKAN PENGAMANAN TERHADAP IMPOR PRODUK BERUPA TERPAL DARI SERAT SINTETIK SELAIN AWNING DAN KERAI MATAHARI DAFTAR NEGARA-NEGARA YANG DIKECUALIKAN DARI PENGENAAN BEA MASUK TINDAKAN PENGAMANAN TERHADAP IMPOR PRODUK TERPAL DARI SERAT SINTETIK SELAIN AWNING DAN KERAI MATAHARI",
DOC023,2011-PMK_nomor_176_PMK.011_2011.txt,,,Pasal 7,1,,Albania,
DOC023,2011-PMK_nomor_176_PMK.011_2011.txt,,,Pasal 7,2,,Angola,
DOC023,2011-PMK_nomor_176_PMK.011_2011.txt,,,Pasal 7,3,,Antigua dan Barbuda,
