doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC026,2023pmkeuangan151.txt,,,,1,,Pasal 17 ayat (3) Undang-Undang Dasar Negara Republik Indonesia Tahun 1945;,
DOC026,2023pmkeuangan151.txt,,,,6,,"Peraturan Menteri Keuangan Nomor 118/PMK.01/2021 tentang Organisasi dan Tata Kerja Kementerian Keuangan (Berita Negara Republik Indonesia Tahun 2021 Nomor 1031) sebagaimana telah beberapa kali diubah terakhir dengan Peraturan Menteri Keuangan Nomor 135 Tahun 2023 tentang Perubahan Kedua atas Peraturan Menteri Keuangan Nomor 118/PMK.01/2021 tentang Organisasi dan Tata Kerja Kementerian Keuangan (Berita Negara Republik Indonesia Tahun 2023 Nomor 977); Menetapkan: PERATURAN MENTERI KEUANGAN TENTANG PENGENAAN BEA MASUK TINDAKAN PENGAMANAN TERHADAP IMPOR PRODUK KERTAS SIGARET DAN KERTAS PLUG WRAP NON-POROUS. Terhadap impor produk kertas sigaret dan kertas plug wrap non-porous yang termasuk dalam pos tarif 4813.20.21, 4813.20.23, 4813.20.31, ex4813.20.32, 4813.90.11, ex4813.90.19, 4813.90.91, dan ex4813.90.99, dengan uraian barang: a. kertas sigaret/tobacco wrapping paper yang merupakan suatu jenis kertas yang digunakan sebagai pembungkus tembakau beserta campurannya, untuk dibentuk menjadi batang rokok; dan b. kertas plug wrap non-porous yang merupakan lapisan terluar dari filter plug rokok yang membungkus filter dengan nilai porositas maksimal 12 cm³ (min 1 cm²) berdasarkan Permeabilitas Udara CORESTA, dikenakan Bea Masuk Tindakan Pengamanan. Bea Masuk Tindakan Pengamanan sebagaimana dimaksud dalam Pasal 1 dikenakan selama 3 (tiga) tahun dengan ketentuan sebagai berikut: | No. | Periode | Besaran Bea Masuk Tindakan Pengamanan (Rupiah/Ton) | |-----|---------|-----------------------------------------------------| | 1.  | Tahun pertama, dengan periode 1 (satu) tahun terhitung sejak tanggal berlakunya Peraturan Menteri ini. | 3.923.900 | | 2.  | Tahun kedua, dengan periode 1 (satu) tahun terhitung setelah tanggal berakhirnya tahun pertama. | 3.885.850 | | 3.  | Tahun ketiga, dengan periode 1 (satu) tahun terhitung setelah tanggal berakhirnya tahun kedua. | 3.847.800 | Pengenaan Bea Masuk Tindakan Pengamanan sebagaimana dimaksud dalam Pasal 1 merupakan tambahan dari: a. bea masuk umum (Most Favoured Nation); atau b. bea masuk preferensi berdasarkan perjanjian atau kesepakatan internasional, yang telah dikenakan.",
DOC026,2023pmkeuangan151.txt,,,Pasal 4,,1,Bea Masuk Tindakan Pengamanan sebagaimana dimaksud dalam Pasal 1 dikenakan terhadap importasi produk kertas sigaret dan kertas plug wrap non-porous dari semua negara.,
DOC026,2023pmkeuangan151.txt,,,Pasal 4,,2,"Pengenaan Bea Masuk Tindakan Pengamanan sebagaimana dimaksud pada ayat (1), dikecualikan terhadap importasi produk kertas sigaret dan kertas plug wrap non-porous yang berasal dari negara sebagaimana tercantum dalam Lampiran yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini.",
DOC026,2023pmkeuangan151.txt,,,Pasal 5,,1,Importir wajib menyerahkan dokumen surat keterangan asal (certificate of origin) terhadap impor produk kertas sigaret dan kertas plug wrap non-porous yang berasal dari negara yang dikecualikan dari pengenaan Bea Masuk Tindakan Pengamanan sebagaimana dimaksud dalam Pasal 4 ayat (2).,
DOC026,2023pmkeuangan151.txt,,,Pasal 5,,2,"Dalam hal importasi sebagaimana dimaksud pada ayat (1) menggunakan surat keterangan asal (certificate of origin) preferensi, barang impor wajib memenuhi ketentuan asal barang berdasarkan perjanjian atau kesepakatan internasional.",
DOC026,2023pmkeuangan151.txt,,,Pasal 5,,3,Ketentuan asal barang sebagaimana dimaksud pada ayat (2) harus memenuhi: a. kriteria asal barang (origin criteria); b. kriteria pengiriman (consignment criteria); dan c. ketentuan prosedural (procedural provisions).,
DOC026,2023pmkeuangan151.txt,,,Pasal 5,,4,"Penelitian terhadap surat keterangan asal (certificate of origin) preferensi sebagaimana dimaksud pada ayat (2), dilaksanakan sesuai dengan ketentuan peraturan perundang-undangan yang mengatur mengenai pengenaan tarif bea masuk atas barang impor berdasarkan perjanjian atau kesepakatan internasional.",
DOC026,2023pmkeuangan151.txt,,,Pasal 5,,5,"Dalam hal surat keterangan asal (certificate of origin) sebagaimana dimaksud pada ayat (1) menggunakan surat keterangan asal (certificate of origin) non preferensi, penelitian surat keterangan asal (certificate of origin) dilakukan berdasarkan ketentuan peraturan perundang-undangan di bidang perdagangan.",
DOC026,2023pmkeuangan151.txt,,,Pasal 6,,1,"Dalam hal importasi produk kertas sigaret dan kertas plug wrap non-porous berasal dari negara yang dikecualikan dari pengenaan Bea Masuk Tindakan Pengamanan sebagaimana dimaksud dalam Pasal 4 ayat (2) tidak memenuhi ketentuan sebagaimana dimaksud dalam Pasal 5, dipungut Bea Masuk Tindakan Pengamanan.",
DOC026,2023pmkeuangan151.txt,,,Pasal 6,,2,"Dalam hal surat keterangan asal sebagaimana dimaksud dalam Pasal 5 ayat (2) sedang dilakukan permintaan retroactive check, atas importasi produk kertas sigaret dan kertas plug wrap non-porous yang berasal dari negara yang dikecualikan dari pengenaan Bea Masuk Tindakan Pengamanan sebagaimana dimaksud dalam Pasal 4 ayat (2) dipungut Bea Masuk Tindakan Pengamanan.",
