doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC044,55_PMK.010_2020.txt,,,,1,,Pasal 17 ayat (3) Undang-Undang Dasar Negara Republik Indonesia Tahun 1945;,
DOC044,55_PMK.010_2020.txt,,,,7,,"Peraturan Menteri Keuangan Nomor 217/PMK.01/2018 tentang Organisasi dan Tata Kerja Kementerian Keuangan (Berita Negara Republik Indonesia Tahun 2018 Nomor 1862) sebagaimana telah beberapa kali diubah terakhir dengan Peraturan Menteri Keuangan Nomor 229/PMK.01/2019 tentang Perubahan Kedua atas Peraturan Menteri Keuangan Nomor 217/PMK.01/2018 tentang Organisasi dan Tata Kerja Kementerian Keuangan (Berita Negara Republik Indonesia Tahun 2019 Nomor 1745); Menetapkan PERATURAN MENTERI KEUANGAN TENTANG PENGENAAN BEA MASUK TINDAKAN PENGAMANAN TERHADAP IMPOR PRODUK KAIN. **Pasal 1** Terhadap barang impor berupa produk kain dikenakan Bea Masuk Tindakan Pengamanan dengan ketentuan sebagai berikut: **Besaran Tarif Bea Masuk Tindakan Pengamanan (Rupiah/Meter)** | No Pos Tarif | Periode I (27 Mei 2020 - 8 November 2020) | Periode II (9 November 2020 - 8 November 2021) | Periode III (9 November 2021 - 8 November 2022) | |--------------|--------------------------------------------|-------------------------------------------------|-------------------------------------------------| | 5208.12.00   | 1.846                                      | 1.781                                           | 1.718                                           | | 5208.32.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 5208.49.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 5208.51.90   | 3.571                                      | 3.445                                           | 3.324                                           | | 5208.52.90   | 5.713                                      | 5.512                                           | 5.318                                           | | 5209.12.00   | 3.691                                      | 3.561                                           | 3.436                                           | | 5209.22.00   | 3.691                                      | 3.561                                           | 3.436                                           | | 5209.29.00   | 3.691                                      | 3.561                                           | 3.436                                           | | 5209.32.00   | 11.426                                     | 11.023                                          | 10.635                                          | | 5209.39.00   | 11.426                                     | 11.023                                          | 10.635                                          | | 5209.42.00   | 11.426                                     | 11.023                                          | 10.635                                          | | 5209.51.90   | 11.426                                     | 11.023                                          | 10.635                                          | | 5209.59.90   | 11.426                                     | 11.023                                          | 10.635                                          | | 5210.29.00   | 2.051                                      | 1.978                                           | 1.909                                           | | 5210.39.00   | 6.348                                      | 6.124                                           | 5.909                                           | | 5210.41.90   | 6.348                                      | 6.124                                           | 5.909                                           | | 5210.51.90   | 6.348                                      | 6.124                                           | 5.909                                           | | 5211.11.00   | 3.691                                      | 3.561                                           | 3.436                                           | | 5211.19.00   | 3.691                                      | 3.561                                           | 3.436                                           | | 5211.20.00   | 3.691                                      | 3.561                                           | 3.436                                           | | 5211.42.00   | 11.426                                     | 11.023                                          | 10.635                                          | | 5211.43.00   | 11.426                                     | 11.023                                          | 10.635                                          | | 5211.49.00   | 11.426                                     | 11.023                                          | 10.635                                          | | 5212.11.00   | 1.846                                      | 1.781                                           | 1.718                                           | | 5212.24.00   | 10.635                                     | -                                               | -                                               | | 5212.25.90   | 11.426                                     | 11.023                                          | 10.635                                          | | 5407.10.29   | 1.678                                      | 1.619                                           | 1.562                                           | | 5407.10.91   | 1.678                                      | 1.619                                           | 1.562                                           | | 5407.20.00   | 1.678                                      | 1.619                                           | 1.562                                           | | 5407.30.00   | 1.678                                      | 1.619                                           | 1.562                                           | | 5407.44.00   | 5.193                                      | 5.011                                           | 4.834                                           | | 5407.51.00   | 1.538                                      | 1.484                                           | 1.432                                           | | 5407.52.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 5407.53.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 5407.54.00   | -                                          | -                                               | -                                               | | 5407.61.90   | -                                          | -                                               | -                                               | | 5407.74.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 5407.81.00   | 1.678                                      | 1.619                                           | 1.562                                           | | 5407.82.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 5407.83.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 5407.84.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 5407.91.00   | 1.678                                      | 1.619                                           | 1.562                                           | | 5407.92.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 5407.93.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 5407.94.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 5408.22.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 5408.24.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 5408.32.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 5408.34.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 5512.29.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 5513.11.00   | 1.538                                      | 1.484                                           | 1.432                                           | | 5513.12.00   | 1.538                                      | 1.484                                           | 1.432                                           | | 5513.21.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 5513.23.00   | -                                          | -                                               | -                                               | | 5513.39.00   | -                                          | -                                               | -                                               | | 5513.49.00   | -                                          | -                                               | -                                               | | 5514.12.00   | -                                          | -                                               | -                                               | | 5514.21.00   | -                                          | -                                               | -                                               | | 5514.22.00   | -                                          | -                                               | -                                               | | 5514.29.00   | -                                          | -                                               | -                                               | | 5514.42.00   | -                                          | -                                               | -                                               | | 5514.43.00   | -                                          | -                                               | -                                               | | 5514.49.00   | -                                          | -                                               | -                                               | | 5915.11.00   | -                                          | -                                               | -                                               | | 5515.12.00   | -                                          | -                                               | -                                               | | 5515.91.00   | -                                          | -                                               | -                                               | | 5515.99.90   | 5.713                                      | 5.512                                           | 5.318                                           | | 5516.11.00   | 1.846                                      | 1.781                                           | 1.718                                           | | 5516.13.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 5516.14.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 5516.22.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 5516.24.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 5516.92.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 5804.10.11   | 4.761                                      | 4.593                                           | 4.431                                           | | 5804.10.19   | 4.761                                      | 4.593                                           | 4.431                                           | | 5804.10.29   | 6.348                                      | 6.125                                           | 5.909                                           | | 5804.10.99   | 6.348                                      | 6.125                                           | 5.909                                           | | 5804.21.90   | 6.348                                      | 6.125                                           | 5.909                                           | | 5804.29.10   | 5.713                                      | 5.512                                           | 5.318                                           | | 5804.29.90   | 5.713                                      | 5.512                                           | 5.318                                           | | 5804.30.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 5810.92.00   | 7.142                                      | 6.891                                           | 6.648                                           | | 6001.21.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 6001.92.20   | -                                          | -                                               | -                                               | | 6001.92.90   | -                                          | -                                               | -                                               | | 6004.10.90   | -                                          | -                                               | -                                               | | 6004.90.00   | -                                          | -                                               | -                                               | | 6005.21.00   | -                                          | -                                               | -                                               | | 6005.36.90   | 1.781                                      | 1.718                                           | -                                               | | 6005.37.90   | 5.512                                      | 5.318                                           | -                                               | | 6005.90.90   | 5.713                                      | 5.512                                           | 5.318                                           | | 6006.10.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 6006.21.00   | 1.846                                      | 1.781                                           | 1.718                                           | | 6006.22.00   | -                                          | -                                               | -                                               | | 6006.23.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 6006.24.00   | 5.713                                      | 5.512                                           | 5.318                                           | | 6006.31.90   | 1.846                                      | 1.781                                           | 1.718                                           | | 6006.32.10   | 5.713                                      | 5.512                                           | 5.318                                           | | 6006.32.20   | 5.713                                      | 5.512                                           | 5.318                                           | | 6006.32.90   | 5.713                                      | 5.512                                           | 5.318                                           | | 6006.33.10   | 5.713                                      | 5.512                                           | 5.318                                           | | 6006.34.10   | 5.713                                      | 5.512                                           | 5.318                                           | | 6006.42.10   | 5.713                                      | 5.512                                           | 5.318                                           | | 6006.42.90   | 5.713                                      | 5.512                                           | 5.318                                           | | 6006.43.90   | 5.713                                      | 5.512                                           | 5.318                                           | | 6006.44.10   | 5.713                                      | 5.512                                           | 5.318                                           | | 6006.44.90   | 5.713                                      | 5.512                                           | 5.318                                           | **Pasal 2** Bea Masuk Tindakan Pengamanan sebagaimana dimaksud dalam Pasal 1 dikenakan terhadap importasi dari semua negara, kecuali terhadap produk kain yang diproduksi dari negara yang tercantum dalam Lampiran yang merupakan bagian yang tidak terpisahkan dari Peraturan Menteri ini. **Pasal 3** Masuk Tindakan sebagaimana dimaksud dalam Pasal 1 merupakan:",
DOC044,55_PMK.010_2020.txt,,,,7,1,"Pengenaan Bea Masuk Tindakan Pengamanan: a. tambahan bea masuk umum (Most Favoured Nation); atau b. tambahan bea masuk preferensi berdasarkan skema perjanjian perdagangan barang internasional yang berlaku, dalam hal impor dilakukan dari negara yang termasuk dalam skema perjanjian perdagangan barang internasional dimaksud dan memenuhi ketentuan dalam skema perjanjian perdagangan barang internasional.",
DOC044,55_PMK.010_2020.txt,,,,7,2,"Dalam hal ketentuan dalam skema perjanjian perdagangan barang internasional tidak terpenuhi, pengenaan Bea Masuk Tindakan Pengamanan atas importasi dari negara yang termasuk dalam skema perjanjian perdagangan barang internasional sebagaimana dimaksud pada ayat (1) huruf b merupakan tambahan bea masuk umum (Most Favoured Nation). **Pasal 4**",
DOC044,55_PMK.010_2020.txt,,,,7,1,"Terhadap impor produk kain yang berasal dari negara yang dikecualikan dari pengenaan Bea Masuk Tindakan Pengamanan sebagaimana dimaksud dalam Pasal 2 dan negara yang memiliki kerja sama perdagangan dengan Indonesia sebagaimana dimaksud dalam Pasal 3 ayat (1) huruf... **PERATURAN MENTERI KEUANGAN REPUBLIK INDONESIA NOMOR 55 /PMK.010/2020 TENTANG PENGENAAN BEA MASUK TINDAKAN PENGAMANAN TERHADAP IMPOR PRODUK KAIN** DENGAN RAHMAT TUHAN YANG MAHA ESA, a. bahwa untuk melindungi industri dalam negeri dari dampak negatif impor produk kain, perlu dilakukan pengenaan bea masuk tindakan pengamanan terhadap impor produk kain; b. bahwa berdasarkan ketentuan peraturan perundang-undangan, pengenaan bea masuk tindakan pengamanan terhadap impor produk kain perlu diatur dengan Peraturan Menteri Keuangan; c. bahwa untuk melaksanakan ketentuan sebagaimana dimaksud dalam huruf a dan b, perlu menetapkan Peraturan Menteri Keuangan tentang Pengenaan Bea Masuk Tindakan Pengamanan terhadap Impor Produk Kain.",
DOC044,55_PMK.010_2020.txt,,,,4,,Peraturan Menteri Keuangan Nomor 182/PMK.011/2016 tentang Pengenaan Bea Masuk Tindakan Pengamanan (Berita Negara Republik Indonesia Tahun 2016 Nomor 1162). Menetapkan: PERATURAN MENTERI KEUANGAN TENTANG PENGENAAN BEA MASUK TINDAKAN PENGAMANAN TERHADAP IMPOR PRODUK KAIN. **Pasal 1**,
DOC044,55_PMK.010_2020.txt,,,,4,1,Importir wajib menyerahkan dokumen Surat Keterangan Asal (Certificate of Origin).,
DOC044,55_PMK.010_2020.txt,,,,4,2,Penelitian Surat Keterangan Asal (Certificate of Origin) sebagaimana dimaksud pada ayat (1) dari negara yang memiliki kerja sama perdagangan dengan Indonesia dilakukan berdasarkan Peraturan Menteri Keuangan yang mengatur tentang Penelitian Surat Keterangan Asal dalam Rangka Pengenaan Tarif Bea Masuk atas Barang Impor Berdasarkan Perjanjian atau Kesepakatan Internasional.,
DOC044,55_PMK.010_2020.txt,,,,4,3,Penelitian Surat Keterangan Asal (Certificate of Origin) sebagaimana dimaksud pada ayat (1) dari negara yang tidak memiliki kerja sama perdagangan dengan Indonesia dilakukan berdasarkan ketentuan yang ditetapkan oleh Menteri yang menyelenggarakan urusan di bidang perdagangan. **Pasal 5** Pada saat Peraturan Menteri ini mulai berlaku:,
DOC044,55_PMK.010_2020.txt,,,,1,,"Tarif Bea Masuk Tindakan Pengamanan sebagaimana dimaksud dalam Pasal 1 berlaku sepenuhnya terhadap barang impor kain yang: a. dokumen pemberitahuan pabean impornya telah mendapat nomor pendaftaran dari Kantor Pabean tempat penyelesaian kewajiban pabean, dalam hal penyelesaian kewajiban pabean dilakukan dengan pengajuan pemberitahuan pabean; atau b. tarif dan nilai pabeannya ditetapkan oleh Kantor Pabean tempat penyelesaian kewajiban pabean, dalam hal penyelesaian kewajiban pabean dilakukan tanpa pengajuan pemberitahuan pabean.",
DOC044,55_PMK.010_2020.txt,,,,2,,"Terhadap pemasukan barang dari luar daerah pabean ke Tempat Penimbunan Berikat, Bea Masuk Tindakan Pengamanan ditambahkan sebagai bea masuk yang ditangguhkan dalam dokumen pemberitahuan pabean pemasukan barang ke Tempat Penimbunan Berikat.",
DOC044,55_PMK.010_2020.txt,,,,3,,"Terhadap pemasukan dan/atau pengeluaran barang ke dan dari kawasan perdagangan bebas dan pelabuhan bebas, Tempat Penimbunan Berikat, atau Kawasan Ekonomi Khusus, dilaksanakan sesuai dengan ketentuan peraturan perundang-undangan mengenai pemasukan dan/atau pengeluaran barang ke dan dari kawasan perdagangan bebas dan pelabuhan bebas, Tempat Penimbunan Berikat, atau Kawasan Ekonomi Khusus. **Pasal 6** Peraturan Menteri ini mulai berlaku pada tanggal 27 Mei 2020 sampai dengan tanggal 8 November 2022. Agar setiap orang mengetahuinya, memerintahkan pengundangan Peraturan Menteri ini dengan penempatannya dalam Berita Negara Republik Indonesia. MENTERI KEUANGAN REPUBLIK INDONESIA, ttd. SRI MULYANI INDRAWATI Diundangkan di Jakarta pada tanggal 27 Mei 2020 DIREKTUR JENDERAL PERATURAN PERUNDANG-UNDANGAN KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA REPUBLIK INDONESIA, WIDODO EKATJAHJANA BERITA NEGARA REPUBLIK INDONESIA TAHUN 2020 NOMOR 526 Salinan sesuai dengan aslinya Kepala Biro Umum --- **LAMPIRAN** DAFTAR NEGARA YANG DIKECUALIKAN DARI PENGENAAN BEA MASUK TINDAKAN PENGAMANAN TERHADAP IMPOR PRODUK KAIN NO. NAMA NEGARA",
DOC044,55_PMK.010_2020.txt,,,,1,,Afghanistan,
DOC044,55_PMK.010_2020.txt,,,,2,,Albania,
DOC044,55_PMK.010_2020.txt,,,,3,,Angola,
DOC044,55_PMK.010_2020.txt,,,,4,,Antigua and Barbuda,
DOC044,55_PMK.010_2020.txt,,,,5,,Argentina,
DOC044,55_PMK.010_2020.txt,,,,6,,Armenia,
DOC044,55_PMK.010_2020.txt,,,,7,,"Bahrain, Kingdom of",
DOC044,55_PMK.010_2020.txt,,,,8,,Bangladesh,
DOC044,55_PMK.010_2020.txt,,,,9,,Barbados,
DOC044,55_PMK.010_2020.txt,,,,10,,Belize,
DOC044,55_PMK.010_2020.txt,,,,11,,Benin,
DOC044,55_PMK.010_2020.txt,,,,12,,"Bolivia, Plurinational State of",
DOC044,55_PMK.010_2020.txt,,,,13,,Botswana,
DOC044,55_PMK.010_2020.txt,,,,14,,Brazil,
DOC044,55_PMK.010_2020.txt,,,,15,,Brunei Darussalam,
DOC044,55_PMK.010_2020.txt,,,,16,,Burkina Faso,
DOC044,55_PMK.010_2020.txt,,,,17,,Cabo Verde,
DOC044,55_PMK.010_2020.txt,,,,18,,Cambodia,
DOC044,55_PMK.010_2020.txt,,,,19,,Cameroon,
DOC044,55_PMK.010_2020.txt,,,,20,,Central African Republic,
DOC044,55_PMK.010_2020.txt,,,,21,,Chad,
DOC044,55_PMK.010_2020.txt,,,,22,,Chile,
DOC044,55_PMK.010_2020.txt,,,,23,,Colombia,
DOC044,55_PMK.010_2020.txt,,,,24,,Congo,
DOC044,55_PMK.010_2020.txt,,,,25,,Costa Rica,
DOC044,55_PMK.010_2020.txt,,,,26,,Côte d'Ivoire,
DOC044,55_PMK.010_2020.txt,,,,27,,Cuba,
DOC044,55_PMK.010_2020.txt,,,,28,,Democratic Republic of the Congo,
DOC044,55_PMK.010_2020.txt,,,,29,,Djibouti,
DOC044,55_PMK.010_2020.txt,,,,30,,Dominica,
DOC044,55_PMK.010_2020.txt,,,,31,,Dominican Republic,
DOC044,55_PMK.010_2020.txt,,,,32,,Ecuador,
DOC044,55_PMK.010_2020.txt,,,,33,,Egypt,
DOC044,55_PMK.010_2020.txt,,,,34,,El Salvador,
DOC044,55_PMK.010_2020.txt,,,,35,,Eswatini,
DOC044,55_PMK.010_2020.txt,,,,36,,Fiji,
DOC044,55_PMK.010_2020.txt,,,,37,,Gabon,
DOC044,55_PMK.010_2020.txt,,,,38,,Guatemala,
DOC044,55_PMK.010_2020.txt,,,,39,,Guinea,
DOC044,55_PMK.010_2020.txt,,,,40,,Guinea-Bissau,
