doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC052,87m-dagper102015.txt,,,,,1,Importir wajib memiliki Angka Pengenal Importir Umum (API-U) untuk melakukan kegiatan impor produk tertentu.,
DOC052,87m-dagper102015.txt,,,,,2,API-U sebagaimana dimaksud pada ayat (1) diterbitkan oleh pejabat yang berwenang. **Pasal 3**,
DOC052,87m-dagper102015.txt,,,,,1,Terhadap Produk Tertentu yang diimpor tidak dilengkapi dengan Laporan Survey (LS) sebagaimana dimaksud dalam Pasal 8 wajib diekspor kembali sesuai dengan ketentuan peraturan perundang-undangan.,
DOC052,87m-dagper102015.txt,,,,,2,"Biaya atas pelaksanaan ekspor kembali sebagaimana dimaksud pada ayat (1) menjadi tanggung jawab importir. **Pasal 4** Penetapan sebagai Surveyor pelaksana Verifikasi atau penelusuran teknis impor Produk Tertentu dicabut apabila Surveyor: a. melakukan pelanggaran dalam pelaksanaan kegiatan Verifikasi atau penelusuran teknis impor Produk Tertentu sebagaimana dimaksud dalam Pasal 8; dan/atau b. tidak melaksanakan kewajiban penyampaian laporan sebagaimana dimaksud dalam Pasal 11 sebanyak 2 (dua) kali. **Pasal 5** Pencabutan penetapan sebagai Surveyor sebagaimana dimaksud dalam Pasal 4 ditetapkan oleh Menteri. **Pasal 6** Dalam rangka monitoring dan evaluasi kebijakan impor, Direktorat Jenderal Perdagangan Luar Negeri Kementerian Perdagangan melakukan pengawasan terhadap impor yang dilakukan oleh importir Produk Tertentu. **Pasal 7** Ketentuan dalam Peraturan Menteri ini tidak berlaku terhadap impor: a. Produk Tertentu yang tercakup dalam Pasal 25 ayat (1) dan Pasal 26 ayat (1) Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan sebagaimana telah diubah dengan Undang-Undang Nomor 17 Tahun 2006; b. Produk Tertentu pakaian jadi berupa barang kiriman paling banyak 10 (sepuluh) pieces per pengiriman dan barang pribadi penumpang atau awak sarana pengangkut yang bernilai paling banyak FOB US$ 1.000,00 (seribu dolar Amerika) per orang, dengan menggunakan pesawat udara; c. Produk Tertentu elektronik berupa barang kiriman paling banyak 2 (dua) unit per pengiriman dan barang pribadi penumpang atau awak sarana pengangkut yang bernilai paling banyak FOB US$ 1.500,00 (seribu lima ratus dolar Amerika) per orang, dengan menggunakan pesawat udara; d. Produk Tertentu selain sebagaimana dimaksud pada huruf b dan huruf c berupa barang kiriman atau barang pribadi penumpang atau awak sarana pengangkut yang bernilai paling banyak FOB US$ 1.500,00 (seribu lima ratus dolar Amerika) per orang, dengan menggunakan pesawat udara; e. Produk Tertentu untuk keperluan kegiatan hulu minyak dan gas bumi, panas bumi dan mineral serta sektor energi lainnya; f. Produk Tertentu yang diimpor oleh perusahaan pemilik API-P, yang digunakan sebagai barang modal, bahan baku, dan/atau bahan penolong yang terkait dengan industrinya; dan g. Produk Tertentu yang bersifat impor sementara. **Pasal 8** Kewajiban hukum yang ditetapkan berdasarkan peraturan perundang-undangan lain yang berlaku atas Impor Produk Tertentu tetap berlaku. **Pasal 9** Petunjuk teknis pelaksanaan Peraturan Menteri ini dapat ditetapkan oleh Direktur Jenderal. **Pasal 10** Ketentuan Peraturan Menteri ini tidak berlaku bagi impor Produk Tertentu dengan Pos Tarif/HS pada nomor urut 738, 744, 745, 746, 765, 766, 767, 768, 769, 770, 771, 774, 781, 791, 799, 800, 801, 802, 818, 831 sebagaimana tercantum dalam Lampiran Peraturan Menteri ini, yang dikapalkan sebelum Peraturan Menteri ini berlaku. **Pasal 11** Impor Produk Tertentu sebagaimana dimaksud pada ayat (1) dibuktikan dengan Bill of Lading dan Invoice. **Pasal 12** Produk Tertentu sebagaimana dimaksud pada ayat (1) harus sudah tiba di pelabuhan tujuan paling lambat tanggal 31 Desember 2015, yang dibuktikan dengan dokumen pabean berupa manifest (BC 1.1). **Pasal 13** Pada saat Peraturan Menteri ini berlaku, Peraturan Menteri Perdagangan Nomor 83/M-DAG/PER/12/2012 tentang Ketentuan Impor Produk Tertentu sebagaimana telah diubah beberapa kali terakhir dengan Peraturan Menteri Perdagangan Nomor 73/M-DAG/PER/10/2014, dicabut dan dinyatakan tidak berlaku. **Pasal 14** Pelaksanaan Peraturan Menteri ini dievaluasi 1 (satu) tahun sejak tanggal Peraturan Menteri ini mulai berlaku. **Pasal 15** Peraturan Menteri ini mulai berlaku pada tanggal 1 November 2015 dan berakhir pada tanggal 31 Desember 2018. Agar setiap orang mengetahuinya, memerintahkan pengundangan Peraturan Menteri ini dengan penempatannya dalam Berita Negara Republik Indonesia. MENTERI PERDAGANGAN REPUBLIK INDONESIA, Ttd. THOMAS TRIKASIH LEMBONG **LAMPIRAN** **PERATURAN MENTERI PERDAGANGAN REPUBLIK INDONESIA** **NOMOR 87/M-DAG/PER/10/2015** **TENTANG** **KETENTUAN IMPOR PRODUK TERTENTU** **DAFTAR PRODUK TERTENTU YANG DIBATASI IMPORNYA** **MAKANAN DAN MINUMAN** - Sosis dan produk semacamnya, dari daging, sisa daging atau darah; olahan makanan berasal dari produk ini. - Daging, sisa daging atau darah lainnya yang diolah atau diawetkan. - Olahan homogen mengandung babi, dalam kemasan kedap udara. - Dari hati binatang. - Dari unggas dari pos 01.05: - Dari kalkun: - Dalam kemasan kedap udara. - Daging yang dihilangkan tulangnya atau dipisahkan dengan mesin. - Luncheon meat: - Lain-lain. - Dari binatang jenis lembu. - Lain-lain, termasuk olahan dari darah binatang. - Kari domba, dalam kemasan kedap udara. - Lain-lain. - Ekstrak dan jus daging, ikan atau krustasea, moluska atau invertebrata air lainnya. - Dari ayam, dibumbui. - Dari ayam, tanpa bumbu. - Lain-lain, dibumbui. - Ikan diolah atau diawetkan; kaviar dan pengganti kaviar yang diolah dari telur ikan. - Ikan, utuh atau dalam potongan, tetapi tidak dicincang: - Salmon: - Dalam kemasan kedap udara. - Herring: - Dalam kemasan kedap udara. - Lain-lain. - Sarden, sardinella dan brisling atau sprat: - Dalam kemasan kedap udara. - Ikan makarel kuda, dalam kemasan kedap udara. - Lain-lain, dalam kemasan kedap udara. - Ikan diolah atau diawetkan lainnya: - Sirip ikan hiu, siap untuk dikonsumsi: - Dalam kemasan kedap udara. - Dalam kemasan kedap udara. - Ikan dicincang beku, direbus atau dikukus: - Bakso ikan dan udang. - Lain-lain. - Kaviar. - Kaviar dan pengganti kaviar. - Pengganti kaviar. - Kepiting: - Dalam kemasan kedap udara. - Udang kecil dan udang biasa: - Tidak dalam kemasan kedap udara. - Udang diberi tepung. - Pasta ikan. - Udang diberi tepung. - Krustasea, moluska dan invertebrata air lainnya, diolah atau diawetkan. **Catatan:** Tarif bea masuk untuk setiap kategori produk harus ditentukan sesuai dengan ketentuan yang berlaku. Dengan Rahmat Tuhan Yang Maha Esa",
DOC052,87m-dagper102015.txt,,,,1,,"Bahwa untuk melaksanakan ketentuan Pasal 2 ayat (1) Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan, sebagaimana telah diubah dengan Undang-Undang Nomor 17 Tahun 2006, perlu menetapkan Peraturan Menteri Keuangan tentang Penetapan Tarif Bea Masuk atas Impor Barang.",
DOC052,87m-dagper102015.txt,,,,2,,"Bahwa berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a, perlu menetapkan Peraturan Menteri Keuangan tentang Penetapan Tarif Bea Masuk atas Impor Barang. Menetapkan: Peraturan Menteri Keuangan tentang Penetapan Tarif Bea Masuk atas Impor Barang.",
DOC052,87m-dagper102015.txt,,,Pasal 1,,1,Tarif Bea Masuk atas Impor Barang sebagaimana tercantum dalam Lampiran yang merupakan bagian tidak terpisahkan dari Peraturan ini.,
DOC052,87m-dagper102015.txt,,,Pasal 1,,2,"Lampiran sebagaimana dimaksud pada ayat (1) terdiri dari: a. Campuran dan adonan untuk pembuatan roti dari pos 19.05: - Dari tepung, menir, tepung kasar, pati atau ekstrak malt, tidak mengandung kakao (Tarif Bea Masuk: 100%). - Dari tepung, menir, tepung kasar, pati atau ekstrak malt, mengandung kakao (Tarif Bea Masuk: 101%). - Lain-lain, tidak mengandung kakao (Tarif Bea Masuk: 102%). - Lain-lain, mengandung kakao (Tarif Bea Masuk: 103%). b. Makanan bayi, tidak disiapkan untuk penjualan eceran: - Ekstrak malt (Tarif Bea Masuk: 110%). - Lain-lain, mengandung bubuk kakao (Tarif Bea Masuk: 111%). c. Olahan lainnya berbahan dasar kedelai: - Filled milk (Tarif Bea Masuk: 120%). - Lain-lain, dari barang dari pos 04.01 sampai dengan 04.04 (Tarif Bea Masuk: 121%). d. Pasta, dimasak atau diisi maupun tidak (Tarif Bea Masuk: 130%). e. Makanan olahan diperoleh dengan cara menggembungkan atau menggongseng serealia atau produk serealia (Tarif Bea Masuk: 140%). Peraturan ini mulai berlaku pada tanggal ditetapkan. MENTERI KEUANGAN REPUBLIK INDONESIA [Nama Pejabat] Berita Negara Republik Indonesia Tahun 2023 Nomor 1. Dengan Rahmat Tuhan Yang Maha Esa",
DOC052,87m-dagper102015.txt,,,Pasal 2,1,,"Bahwa untuk melaksanakan ketentuan dalam peraturan perundang-undangan yang berlaku di bidang impor, perlu menetapkan peraturan menteri perdagangan tentang ketentuan impor produk tertentu. a. Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan sebagaimana telah diubah dengan Undang-Undang Nomor 17 Tahun 2006; b. Undang-Undang Nomor 7 Tahun 2014 tentang Perdagangan; c. Peraturan Pemerintah Nomor 31 Tahun 2015 tentang Perdagangan Luar Negeri; d. Peraturan Menteri Perdagangan Nomor 54/M-DAG/PER/10/2009 tentang Ketentuan Umum di Bidang Impor; e. Peraturan Menteri Perdagangan Nomor 31/M-DAG/PER/7/2010 tentang Organisasi dan Tata Kerja Kementerian Perdagangan; f. Peraturan Menteri Perdagangan Nomor 27/M-DAG/PER/5/2012 tentang Ketentuan Angka Pengenal Importir (API); g. Peraturan Menteri Perdagangan Nomor 46/M-DAG/PER/8/2014 tentang Ketentuan Umum Verifikasi atau Penelusuran Teknis di Bidang Perdagangan; h. Peraturan Menteri Perdagangan Nomor 53/M-DAG/PER/9/2014 tentang Pelayanan Terpadu Perdagangan. Menetapkan: PERATURAN MENTERI PERDAGANGAN TENTANG KETENTUAN IMPOR PRODUK TERTENTU. Berikut adalah rincian mengenai produk tertentu yang diatur dalam peraturan ini:",
DOC052,87m-dagper102015.txt,,,Pasal 2,1,,"**Olahan dengan bahan dasar ginseng**: - Minyak atsiri (mengandung terpena atau tidak), termasuk konkrit dan absolut. - Minyak atsiri dari mint lainnya dikenakan tarif bea masuk sebesar 20%. - Minyak atsiri dari jahe, kapulaga, adas atau palmrose dikenakan tarif bea masuk sebesar 20%. - Minyak atsiri dari cendana dikenakan tarif bea masuk sebesar 20%.",
