doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC058,BN+1232-2019+Dis+II.txt,,,,4,,Peraturan Menteri Perindustrian Nomor 01/M-IND/PER/1/2017 tentang Tata Cara Penerbitan Rekomendasi Persetujuan Impor Ban (Berita Negara Republik Indonesia Tahun 2017 Nomor 175);,
DOC058,BN+1232-2019+Dis+II.txt,,,,5,,"Peraturan Menteri Perindustrian Nomor 35 Tahun 2018 tentang Organisasi dan Tata Kerja Kementerian Perindustrian (Berita Negara Republik Indonesia Tahun 2018 Nomor 1509); PERATURAN MENTERI PERINDUSTRIAN TENTANG PERUBAHAN ATAS PERATURAN MENTERI PERINDUSTRIAN NOMOR 01/M-IND/PER/1/2017 TENTANG TATA CARA PENERBITAN REKOMENDASI PERSETUJUAN IMPOR BAN. Pasal I Beberapa ketentuan dalam Peraturan Menteri Perindustrian Nomor 01/M-IND/PER/1/2017 tentang Tata Cara Penerbitan Rekomendasi Persetujuan Impor Ban (Berita Negara Republik Indonesia Tahun 2017 Nomor 175) diubah sebagai berikut: Ketentuan Pasal 2 ditambah 2 (dua) ayat, yakni ayat (4) dan ayat (5), sehingga Pasal 2 berbunyi sebagai berikut:",
DOC058,BN+1232-2019+Dis+II.txt,,,,5,1,Importasi atas Ban dilakukan setelah memperoleh persetujuan impor dari kementerian yang menyelenggarakan urusan pemerintahan di bidang perdagangan.,
DOC058,BN+1232-2019+Dis+II.txt,,,,5,2,Persetujuan impor sebagaimana dimaksud pada ayat (1) diberikan berdasarkan Rekomendasi Persetujuan Impor Ban yang diterbitkan oleh Direktur Jenderal.,
DOC058,BN+1232-2019+Dis+II.txt,,,,5,3,Importasi atas Ban sebagaimana dimaksud pada ayat (1) dapat dilakukan oleh: a. Importir Produsen; atau b. Importir Umum.,
DOC058,BN+1232-2019+Dis+II.txt,,,,5,4,Importir Produsen sebagaimana dimaksud pada ayat (3) huruf a terdiri dari: a. industri otomotif; dan b. industri non otomotif.,
DOC058,BN+1232-2019+Dis+II.txt,,,,5,5,"Industri otomotif sebagaimana dimaksud pada ayat (4) huruf a mencakup jenis industri yang memiliki IUI dengan KBLI 29100 (industri kendaraan bermotor roda empat atau lebih). Ketentuan ayat (2), ayat (3), dan ayat (4) Pasal 4 diubah, sehingga Pasal 4 berbunyi sebagai berikut:",
DOC058,BN+1232-2019+Dis+II.txt,,,,5,1,Rekomendasi Persetujuan Impor Ban sebagaimana dimaksud dalam Pasal 2 ayat (2) diberikan berdasarkan permohonan dari Importir Produsen atau Importir Umum.,
DOC058,BN+1232-2019+Dis+II.txt,,,,5,2,Permohonan sebagaimana dimaksud pada ayat (1) disampaikan secara elektronik melalui SIINas dan ditujukan kepada Direktur Jenderal dengan menggunakan format sebagaimana tercantum dalam Lampiran II yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini.,
DOC058,BN+1232-2019+Dis+II.txt,,,,5,3,"Permohonan yang disampaikan oleh Importir Produsen sebagaimana dimaksud pada ayat (1) wajib dilengkapi dengan mengunggah hasil pindai sebagai berikut: a. akta pendirian perusahaan; b. Izin Usaha Industri (IUI) atau izin usaha sejenis; c. Nomor Pokok Wajib Pajak (NPWP); d. Nomor Induk Berusaha (NIB); e. SPPT-SNI, dalam hal Ban yang diimpor merupakan Ban yang diberlakukan SNI wajib; f. rencana impor ban, rencana produksi yang menggunakan ban yang akan diimpor dan realisasi impor dengan format sebagaimana tercantum dalam Lampiran II yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini.",
DOC058,BN+1232-2019+Dis+II.txt,,,,5,4,"Permohonan yang disampaikan oleh Importir Umum sebagaimana dimaksud pada ayat (1) wajib mengunggah hasil pindai: a. akta pendirian perusahaan; b. NPWP; c. Nomor Induk Berusaha (NIB); d. surat penunjukan dari prinsipal pemegang merek atau pabrik di luar negeri yang disahkan oleh notaris publik dan atase perdagangan negara setempat; e. SPPT-SNI, dalam hal Ban yang diimpor merupakan Ban yang diberlakukan SNI wajib; dan f. realisasi dan rencana impor ban dengan format sebagaimana tercantum dalam Lampiran II yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini. Ketentuan Pasal 6 ditambahkan 1 (satu) ayat yakni ayat (4), sehingga Pasal 6 berbunyi sebagai berikut:",
DOC058,BN+1232-2019+Dis+II.txt,,,,5,1,Direktur Jenderal melakukan Verifikasi atas kebenaran dari permohonan yang disampaikan sebagaimana dimaksud dalam Pasal 5 ayat (2).,
DOC058,BN+1232-2019+Dis+II.txt,,,,5,2,"Dalam melakukan Verifikasi sebagaimana dimaksud pada ayat (1), Direktur Jenderal dapat memerintahkan Direktur untuk melakukan pemeriksaan lapangan.",
DOC058,BN+1232-2019+Dis+II.txt,,,,5,3,"Dalam menentukan pemberian Rekomendasi Persetujuan Impor Ban, Direktur Jenderal dapat berkoordinasi dengan lembaga terkait atau asosiasi pelaku usaha.",
DOC058,BN+1232-2019+Dis+II.txt,,,,5,4,"Ketentuan sebagaimana dimaksud pada ayat (1), ayat (2), dan ayat (3) dikecualikan bagi Importir Produsen industri otomotif. Ketentuan ayat (1) Pasal 7 diubah dan di antara ayat (1) dan ayat (2) disisipkan 1 (satu) ayat yakni ayat (1a), sehingga Pasal 7 berbunyi sebagai berikut:",
DOC058,BN+1232-2019+Dis+II.txt,,,,5,1,"Terhadap permohonan yang lengkap dan benar, Direktur Jenderal menerbitkan Rekomendasi Persetujuan Impor Ban dengan format sebagaimana tercantum dalam Lampiran II yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini. (1a) Penerbitan Rekomendasi Persetujuan Impor Ban sebagaimana dimaksud pada ayat (1) dilakukan dengan menggunakan tanda tangan elektronik.",
DOC058,BN+1232-2019+Dis+II.txt,,,,5,2,Rekomendasi Persetujuan Impor Ban sebagaimana dimaksud pada ayat (2) berlaku untuk jangka waktu 6 (enam) bulan sejak tanggal diterbitkan.,
DOC058,BN+1232-2019+Dis+II.txt,,,,5,3,Rekomendasi Persetujuan Impor Ban sebagaimana dimaksud pada ayat (2) digunakan untuk 1 (satu) kali pengajuan persetujuan impor.,
DOC058,BN+1232-2019+Dis+II.txt,,,,5,,"Format rincian Rencana dan Realisasi Impor Ban dalam Lampiran II Peraturan Menteri Perindustrian Nomor 01/M-IND/PER/1/2017 tentang Tata Cara Penerbitan Rekomendasi Persetujuan Impor Ban diubah menjadi sebagaimana tercantum dalam Lampiran yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini. Pasal II Peraturan Menteri ini mulai berlaku pada tanggal diundangkan. Agar setiap orang mengetahuinya, memerintahkan pengundangan Peraturan Menteri ini dengan penempatannya dalam Berita Negara Republik Indonesia. MENTERI PERINDUSTRIAN REPUBLIK INDONESIA, ttd AIRLANGGA HARTARTO Diundangkan di Jakarta pada tanggal 18 Oktober 2019 DIREKTUR JENDERAL PERATURAN PERUNDANG-UNDANGAN KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA REPUBLIK INDONESIA, ttd WIDODOD EKATJAHJANA LAMPIRAN PERATURAN MENTERI PERINDUSTRIAN REPUBLIK INDONESIA NOMOR 31 TAHUN 2019 TENTANG PERUBAHAN ATAS PERATURAN MENTERI PERINDUSTRIAN NOMOR 01/M-IND/PER/1/2017 TENTANG TATA CARA PENERBITAN REKOMENDASI PERSETUJUAN IMPOR BAN FORMAT RINCIAN RENCANA DAN REALISASI IMPOR BAN A. IMPORTIR PRODUSEN",
DOC058,BN+1232-2019+Dis+II.txt,,,,1,,Rencana Impor Ban periode ......... sampai dengan ........ a. Pelabuhan bongkar: ....... Jenis Ban Jumlah Total b. Tahun ..... Negara ... Tipe/ ... Total,
DOC058,BN+1232-2019+Dis+II.txt,,,,3,,Realisasi Produksi periode ......... sampai dengan ........ a. Tahun ..... No. Merek Jenis Ban Tipe/ Pos Tarif HS Jumlah Ukuran Tipe/ Ukuran Pos Tarif HS Jumlah No. Merek Jenis Ban Total No. Merek Jenis Ban Ukuran Pos Tarif HS Jumlah Total,
