doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC059,BN+1233-2019.txt,,,,4,,Peraturan Menteri Perindustrian Nomor 35 Tahun 2018 tentang Organisasi dan Tata Kerja Kementerian Perindustrian (Berita Negara Republik Indonesia Tahun 2018 Nomor 1509);,
DOC059,BN+1233-2019.txt,,,,5,,"Peraturan Menteri Perindustrian Nomor 1 Tahun 2019 tentang Pertimbangan Teknis Impor Besi atau Baja, Baja Paduan, dan Produk Turunannya (Berita Negara Republik Indonesia Tahun 2019 Nomor 28); PERATURAN MENTERI PERINDUSTRIAN TENTANG PERUBAHAN ATAS PERATURAN MENTERI PERINDUSTRIAN NOMOR 1 TAHUN 2019 TENTANG PERTIMBANGAN TEKNIS IMPOR BESI ATAU BAJA, BAJA PADUAN, DAN PRODUK TURUNANNYA. Pasal I Beberapa ketentuan dalam Peraturan Menteri Perindustrian Nomor 1 Tahun 2019 tentang Pertimbangan Teknis Impor Besi atau Baja, Baja Paduan, dan Produk Turunannya (Berita Negara Republik Indonesia Tahun 2019 Nomor 28), diubah sebagai berikut:",
DOC059,BN+1233-2019.txt,,,,1,,Ketentuan ayat (1) dan ayat (2) Pasal 2 diubah sehingga Pasal 2 berbunyi sebagai berikut:,
DOC059,BN+1233-2019.txt,,,,1,1,"Besi atau Baja, Baja Paduan, dan Produk Turunannya sebagaimana tercantum dalam Lampiran I yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini hanya dapat diimpor oleh perusahaan pemilik Angka Pengenal Importir yang telah mendapat Persetujuan Impor.",
DOC059,BN+1233-2019.txt,,,,1,2,Persetujuan Impor sebagaimana dimaksud pada ayat (1) bagi perusahaan pemilik Angka Pengenal Importir Umum (API-U) diterbitkan berdasarkan Pertimbangan Teknis dari Direktur Jenderal.,
DOC059,BN+1233-2019.txt,,,,1,3,Pelaksanaan penerbitan Pertimbangan Teknis sebagaimana dimaksud pada ayat (2) dilakukan oleh Direktur.,
DOC059,BN+1233-2019.txt,,,,2,,Pasal 4 dihapus.,
DOC059,BN+1233-2019.txt,,,,3,,Ketentuan ayat (1) Pasal 8 diubah sehingga Pasal 8 berbunyi sebagai berikut:,
DOC059,BN+1233-2019.txt,,,,3,1,Perusahaan yang telah memiliki Pertimbangan Teknis sebagaimana dimaksud dalam Pasal 3 dapat mengajukan permohonan perubahan Pertimbangan Teknis.,
DOC059,BN+1233-2019.txt,,,,3,2,Perubahan Pertimbangan Teknis sebagaimana dimaksud pada ayat (1) terdiri atas: a. Perubahan data; dan b. Perubahan jumlah alokasi impor.,
DOC059,BN+1233-2019.txt,,,,4,,Ketentuan ayat (2) huruf a diubah dan huruf c Pasal 11 dihapus sehingga Pasal 11 berbunyi sebagai berikut:,
DOC059,BN+1233-2019.txt,,,,4,1,Permohonan perubahan Pertimbangan Teknis akibat perubahan data sebagaimana dimaksud dalam Pasal 8 ayat (2) huruf a diajukan kepada Direktur Jenderal yang diinput dan dicetak dari SIINas dengan menggunakan Formulir I] sebagaimana tercantum dalam Lampiran I] yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini.,
