doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC071,BN+845-2019+DisII.txt,BAB IV KEWAJIBAN PELAKU USAHA,,Pasal 25,,1,Pelaku Usaha yang mendapatkan RIPH wajib menyampaikan RIPH kepada menteri yang menyelenggarakan urusan pemerintahan di bidang perdagangan untuk penerbitan izin Impor Produk Hortikultura paling lama 2 (dua) bulan sejak RIPH diterbitkan secara daring (online).,
DOC071,BN+845-2019+DisII.txt,BAB IV KEWAJIBAN PELAKU USAHA,,Pasal 25,,2,"Pelaku usaha yang tidak menyampaikan RIPH sebagaimana dimaksud pada ayat (1), RIPH tidak berlaku. Dalam hal terjadi permasalahan hukum terkait penerbitan RIPH, permohonan RIPH tidak diterbitkan sampai dengan adanya putusan pengadilan yang berkekuatan hukum tetap. Pelaku Usaha yang melanggar ketentuan sebagaimana dimaksud dalam Pasal 9 dikenakan sanksi tidak diterbitkan RIPH selama 1 (satu) tahun. Pelaku Usaha yang melanggar ketentuan sebagaimana dimaksud pada Pasal 11 huruf e, dikenakan sanksi tidak diterbitkan RIPH selama 1 (satu) tahun dan menarik Produk Hortikultura dari peredaran. Pelaku Usaha yang melanggar ketentuan sebagaimana dimaksud pada Pasal 11 huruf g, dikenakan sanksi tidak diterbitkan RIPH selama 3 (tiga) tahun. Lembaga sosial yang melanggar ketentuan sebagaimana dimaksud pada Pasal 13 huruf f, dikenakan sanksi tidak diterbitkan RIPH selama 2 (dua) tahun dan menarik Produk Hortikultura dari peredaran. Lembaga sosial yang melanggar ketentuan sebagaimana dimaksud pada Pasal 13 huruf g, dikenakan sanksi tidak diterbitkan RIPH selama 3 (tiga) tahun. Pelaku Usaha yang melanggar ketentuan sebagaimana dimaksud dalam Pasal 15 ayat (1) huruf f, dikenakan sanksi berupa tidak diterbitkan RIPH selama 2 (dua) tahun. Pelaku Usaha yang melanggar ketentuan sebagaimana dimaksud pada Pasal 25 ayat (1) dilakukan 2 (dua) kali dalam satu tahun, dikenakan sanksi berupa tidak diterbitkan RIPH selama 2 (dua) tahun.",
DOC071,BN+845-2019+DisII.txt,BAB VI KETENTUAN PERALIHAN,,Pasal 28,,1,"RIPH yang telah diterbitkan sebelum Peraturan Menteri ini mulai berlaku, dinyatakan tetap berlaku sampai berakhirnya RIPH.",
DOC071,BN+845-2019+DisII.txt,BAB VI KETENTUAN PERALIHAN,,Pasal 28,,2,"Permohonan RIPH yang diajukan sebelum Peraturan Menteri ini mulai berlaku, diproses sesuai dengan Peraturan Menteri Pertanian Nomor 38/PERMENTAN/HR.060/11/2017 tentang Rekomendasi Impor Produk Hortikultura sebagaimana telah diubah dengan Peraturan Menteri Pertanian Nomor 24/PERMENTAN/HR.060/5/2018 tentang Perubahan atas Peraturan Menteri Pertanian Nomor 38/PERMENTAN/HR.060/11/2017 tentang Rekomendasi Impor Produk Hortikultura.",
DOC071,BN+845-2019+DisII.txt,BAB VI KETENTUAN PERALIHAN,,Pasal 28,,3,"Pada saat Peraturan Menteri ini berlaku, Produk Hortikultura dengan Pos Tarif/HS 0904.21.10 Cabe (buah dari genus Capsicum) dikeringkan sebagaimana tercantum dalam Lampiran I Peraturan Menteri ini diberlakukan 1 (satu) bulan setelah Peraturan Menteri ini diundangkan. Pada saat Peraturan Menteri ini mulai berlaku, Peraturan Menteri Pertanian Nomor 38/PERMENTAN/HR.060/11/2017 tentang Rekomendasi Impor Produk Hortikultura (Berita Negara Republik Indonesia Tahun 2017 Nomor 1674) sebagaimana telah diubah dengan Peraturan Menteri Pertanian Nomor 24/PERMENTAN/HR.060/5/2018 tentang Perubahan atas Peraturan Menteri Pertanian Nomor 38/PERMENTAN/HR.060/11/2017 tentang Rekomendasi Impor Produk Hortikultura (Berita Negara Republik Indonesia tahun 2018 nomor 743), dicabut dan dinyatakan tidak berlaku. Peraturan Menteri ini mulai berlaku pada tanggal diundangkan. Agar setiap orang mengetahuinya, memerintahkan pengundangan Peraturan Menteri ini dengan penempatannya dalam Berita Negara Republik Indonesia. MENTERI PERTANIAN REPUBLIK INDONESIA, ttd AMRAN SULAIMAN Diundangkan di Jakarta pada tanggal 31 Juli 2019 DIREKTUR JENDERAL PERATURAN PERUNDANG-UNDANGAN KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA REPUBLIK INDONESIA, ttd WIDODO EKATJAHJANA LAMPIRAN I PERATURAN MENTERI PERTANIAN REPUBLIK INDONESIA NOMOR 39 TAHUN 2019 TENTANG REKOMENDASI IMPOR PRODUK HORTIKULTURA No. Kode HS Uraian Barang Keterangan 07.01 Kentang, segar atau dingin. 0701.90 - Lain-lain:",
DOC071,BN+845-2019+DisII.txt,BAB VII KETENTUAN PENUTUP,,Pasal 30,1,,0701.90.10 - - Kentang untuk membuat potato chips,
DOC071,BN+845-2019+DisII.txt,BAB VII KETENTUAN PENUTUP,,Pasal 30,2,,"0701.90.90 - - Lain-lain 07.03 Bawang bombay, bawang merah, bawang putih, bawang bakung/perai dan sayuran sejenis lainnya, segar atau dingin. 0703.10 - Bawang bombay dan bawang merah: Dengan Rahmat Tuhan Yang Maha Esa PERATURAN MENTERI PERTANIAN REPUBLIK INDONESIA NOMOR 39 TAHUN 2019 TENTANG REKOMENDASI IMPOR PRODUK HORTIKULTURA",
DOC071,BN+845-2019+DisII.txt,BAB VII KETENTUAN PENUTUP,,Pasal 30,1,,"Bahwa untuk melaksanakan ketentuan Pasal 5 ayat (1) Peraturan Menteri Pertanian Nomor 30 Tahun 2018 tentang Rekomendasi Impor Produk Hortikultura, perlu menetapkan Peraturan Menteri Pertanian tentang Rekomendasi Impor Produk Hortikultura.",
DOC071,BN+845-2019+DisII.txt,BAB VII KETENTUAN PENUTUP,,Pasal 30,2,,"Bahwa berdasarkan pertimbangan sebagaimana dimaksud pada angka 1, perlu menetapkan Peraturan Menteri Pertanian tentang Rekomendasi Impor Produk Hortikultura. m. Peraturan Menteri Pertanian Nomor 09/Permentan/OT.140/2/2009 tentang Persyaratan dan Tata Cara Tindakan Karantina Tumbuhan Terhadap Pemasukan Media Pembawa Organisme Pengganggu Tumbuhan Karantina ke dalam wilayah Negara Republik Indonesia (Berita Negara Republik Indonesia Tahun 2009 Nomor 35); n. Peraturan Menteri Pertanian Nomor 93/Permentan/OT.140/12/2011 tentang Jenis Organisme Pengganggu Tumbuhan Karantina (Berita Negara Republik Indonesia Tahun 2011 Nomor 6) sebagaimana telah beberapa kali diubah terakhir. Menetapkan: PERATURAN MENTERI PERTANIAN TENTANG REKOMENDASI IMPOR PRODUK HORTIKULTURA. LAMPIRAN I No. Kode HS Uraian Barang Keterangan",
DOC071,BN+845-2019+DisII.txt,BAB VII KETENTUAN PENUTUP,,Pasal 30,1,,"0703.10.19 Bawang merah, segar atau dingin",
