doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC085,Peraturan%20BI%20No.%205-11-PBI-2003.txt,BAB I,,Pasal 1,1,,Bank adalah bank umum sebagaimana dimaksud dalam Undang-undang Nomor 7 Tahun 1992 tentang Perbankan sebagaimana telah diubah dengan Undang-undang Nomor 10 Tahun 1998 yang telah memperoleh izin dari Bank Indonesia untuk dapat melakukan kegiatan usaha perbankan dalam valuta asing dan/atau melakukan transaksi perbankan dengan pihak-pihak di luar negeri.,
DOC085,Peraturan%20BI%20No.%205-11-PBI-2003.txt,BAB I,,Pasal 1,2,,Impor adalah kegiatan memasukkan barang ke wilayah pabean Republik Indonesia.,
DOC085,Peraturan%20BI%20No.%205-11-PBI-2003.txt,BAB I,,Pasal 1,3,,Letter of Credit untuk selanjutnya disebut L/C adalah janji membayar dari bank penerbit kepada penerima jika penerima menyerahkan kepada bank penerbit dokumen yang sesuai dengan persyaratan L/C. Pembayaran transaksi impor dilakukan dengan menggunakan L/C atau tanpa L/C. PEMBAYARAN TRANSAKSI IMPOR DENGAN L/C,
DOC085,Peraturan%20BI%20No.%205-11-PBI-2003.txt,BAB II,,Pasal 3,,1,Bank menerbitkan L/C dalam rangka pembayaran transaksi impor atas dasar permintaan importir yang diajukan kepada Bank dengan mengisi formulir permohonan penerbitan L/C.,
DOC085,Peraturan%20BI%20No.%205-11-PBI-2003.txt,BAB II,,Pasal 3,,2,Bank hanya dapat mengubah L/C atas dasar permintaan importir yang diajukan kepada Bank dengan mengisi formulir permohonan perubahan L/C.,
DOC085,Peraturan%20BI%20No.%205-11-PBI-2003.txt,BAB II,,Pasal 4,,1,"Formulir permohonan penerbitan L/C sekurang-kurangnya memuat hal-hal sebagai berikut: a. nama jelas dan alamat importir; b. nama jelas dan alamat eksportir; c. nilai L/C; d. syarat pembayaran atas unjuk, pembayaran kemudian atau berjangka, akseptasi atau negosiasi; e. jenis/rincian dokumen; f. tanggal terakhir pengajuan dokumen; g. tempat pengajuan dokumen; h. tanggal penerbitan dan tanggal jatuh tempo L/C; i. nomor dan tanggal surat izin dari instansi yang berwenang untuk impor barang yang diawasi dan diatur tata niaga impornya; j. media penerbitan L/C: surat, teleks, swift, atau sarana lainnya; k. uraian barang antara lain meliputi nama dan jenis barang, jumlah barang, harga satuan, harga FOB/C&F/CIF; l. tarif (Bea Masuk, Cukai, PPN, PPnBM & PPh impor); m. nomor HS (Harmonized System)/pos tarif; n. asuransi; o. tanggal terakhir pengapalan barang; p. negara tujuan pengapalan barang; q. negara asal barang; r. pencantuman pernyataan umum tunduk pada syarat-syarat umum Bank untuk penerbitan L/C.",
DOC085,Peraturan%20BI%20No.%205-11-PBI-2003.txt,BAB II,,Pasal 4,,2,"Format dan jumlah lembar permohonan penerbitan atau perubahan L/C sebagaimana dimaksud dalam ayat (1) diserahkan kepada masing-masing Bank. Dalam hal Bank akan menerbitkan atau melakukan perubahan L/C, Bank wajib melakukan hal-hal sebagai berikut: a. meneliti kelengkapan dan kebenaran pengisian data yang dicantumkan importir dalam formulir permohonan penerbitan atau perubahan L/C; b. memastikan bahwa importir telah memenuhi ketentuan Departemen Perindustrian dan Perdagangan yang berlaku di bidang impor yang berkaitan dengan persyaratan sebagai importir, dan barang yang diawasi dan diatur tata niaga impornya; c. meneliti surat persetujuan impor barang dari Departemen Perindustrian dan Perdagangan yang dicantumkan dalam formulir permohonan penerbitan L/C dalam hal barang yang diimpor merupakan barang yang diawasi dan diatur tata niaga impornya. Bank dilarang menerbitkan atau melakukan perubahan L/C apabila importir tidak memenuhi ketentuan Departemen Perindustrian dan Perdagangan yang berlaku di bidang impor yang berkaitan dengan persyaratan sebagai importir, dan barang yang diawasi dan diatur tata niaga impornya.",
DOC085,Peraturan%20BI%20No.%205-11-PBI-2003.txt,BAB II,,Pasal 7,,1,L/C dapat diterbitkan dengan syarat pembayaran tunai dan/atau berjangka.,
DOC085,Peraturan%20BI%20No.%205-11-PBI-2003.txt,BAB II,,Pasal 7,,2,"Dalam hal Bank melakukan penerbitan L/C dengan syarat pembayaran berjangka atau melakukan perubahan jangka waktu penundaan pembayaran L/C, maka jangka waktu penundaan pembayaran L/C tersebut didasarkan pada kesepakatan para pihak terkait yaitu Bank, importir, dan eksportir.",
DOC085,Peraturan%20BI%20No.%205-11-PBI-2003.txt,BAB II,,Pasal 7,,3,Penerbitan dan/atau perubahan L/C sebagaimana dimaksud dalam ayat (2) wajib dilakukan dengan memenuhi ketentuan Bank Indonesia mengenai Pinjaman Komersial Luar Negeri Bank. PEMBAYARAN TRANSAKSI IMPOR TANPA L/C Pembayaran transaksi impor tanpa L/C dapat dilaksanakan dengan cara: a. pembayaran dimuka (Advance Payment); b. pembayaran kemudian (Open Account); c. inkaso (Collection); d. konsinyasi (Consignment); e. pembayaran lainnya yang lazim dalam perdagangan internasional sesuai kesepakatan antara penjual dengan pembeli.,
DOC085,Peraturan%20BI%20No.%205-11-PBI-2003.txt,BAB III,,Pasal 8,,2,Pembayaran transaksi impor tanpa L/C sebagaimana dimaksud dalam ayat (1) dilaksanakan Bank atas dasar permintaan dari importir dan mekanisme pelaksanaannya sesuai dengan praktik dan kebiasaan perbankan yang berlaku secara internasional.,
DOC085,Peraturan%20BI%20No.%205-11-PBI-2003.txt,BAB III,,Pasal 9,,1,Bank dapat melakukan hubungan koresponden dengan bank-bank di luar negeri dengan memperhatikan ketentuan yang dikeluarkan pemerintah.,
DOC085,Peraturan%20BI%20No.%205-11-PBI-2003.txt,BAB III,,Pasal 9,,2,"Hubungan koresponden sebagaimana dimaksud dalam ayat (1) didasarkan kepada kesepakatan antara pihak Bank dengan pihak lainnya. SANKSI Dalam hal Bank tidak memenuhi ketentuan sebagaimana diatur dalam Peraturan Bank Indonesia ini maka Bank dikenakan sanksi dalam rangka pembinaan dan pengawasan bank. KETENTUAN PENUTUP Dengan berlakunya Peraturan Bank Indonesia ini maka Surat Keputusan Direksi Bank Indonesia Nomor 29/33/KEP/DIR tanggal 4 Juni 1996 tentang Pelaksanaan Pembayaran Transaksi Impor dinyatakan tidak berlaku. Peraturan Bank Indonesia ini mulai berlaku sejak tanggal ditetapkan. Pada tanggal 23 Juni 2003 GUBERNUR BANK INDONESIA Ttd. BURHANUDDIN ABDULLAH DLN. PENJELASAN ATAS PERATURAN BANK INDONESIA NOMOR: 5/11/PBI/2003 TENTANG PEMBAYARAN TRANSAKSI IMPOR UMUM Dalam rangka mendukung perdagangan internasional dan memperlancar arus barang yang masuk ke Indonesia, Bank Indonesia telah menetapkan ketentuan mengenai pelaksanaan pembayaran transaksi impor sebagai pedoman bagi perbankan dan dunia usaha dalam menyelesaikan pembayaran transaksi impor. Dalam perkembangannya disadari bahwa ketentuan mengenai pelaksanaan pembayaran transaksi impor yang ada saat ini kurang sejalan dengan ketentuan pemerintah di bidang impor dan belum mampu memenuhi kebutuhan dunia usaha untuk mengimpor barang dengan jangka waktu penundaan pembayaran lebih dari 360 hari setelah tanggal pengapalan. Dengan adanya penyempurnaan terhadap ketentuan pelaksanaan pembayaran transaksi impor ini diharapkan ketentuan Bank Indonesia dapat sejalan dengan ketentuan pemerintah di bidang impor, dan mengakomodasi kebutuhan dunia usaha serta meningkatkan peran perbankan sebagai lembaga yang memberikan jasa pembayaran transaksi impor.", Cukup jelas. Cukup jelas. Ayat (1) Cukup jelas. Ayat (2) Cukup jelas. Ayat (1) Bank dapat menambahkan hal-hal lain yang dipandang perlu untuk dicantumkan dalam formulir permohonan penerbitan L/C di luar hal-hal yang tercantum dalam Pasal 4 ayat (1). Ayat (2) Cukup jelas. Huruf a. Yang dimaksud dengan meneliti kelengkapan pengisian data adalah bank meneliti apakah kolom-kolom dalam formulir permohonan penerbitan atau perubahan L/C yang perlu diisi telah dilengkapi oleh pemohon. Yang dimaksud dengan meneliti kebenaran pengisian data adalah kolom-kolom formulir penerbitan atau perubahan L/C telah diisi sesuai peruntukannya. Huruf b. Cukup jelas. Huruf c. Cukup jelas. Cukup jelas. Ayat (1) Cukup jelas. Ayat (2) Cukup jelas. Ayat (3) Cukup jelas. Ayat (1) Cukup jelas. Ayat (2) Cukup jelas. Ayat (1) Cukup jelas. Ayat (2) Cukup jelas. Cukup jelas. Cukup jelas. Cukup jelas. DLN.
