doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC086,Peraturan%20BPOM%20Nomor%2026%20Tahun%202020.txt,,,,2,,"Peraturan Menteri Kesehatan Nomor 10 Tahun 2013 tentang Impor dan Ekspor Narkotika, Psikotropika, dan Prekursor Farmasi (Berita Negara Republik Indonesia Tahun 2013 Nomor 178);",
DOC086,Peraturan%20BPOM%20Nomor%2026%20Tahun%202020.txt,,,,3,,"Peraturan Badan Pengawas Obat dan Makanan Nomor 26 Tahun 2017 tentang Organisasi dan Tata Kerja Badan Pengawas Obat dan Makanan (Berita Negara Republik Indonesia Tahun 2017 Nomor 1745); **Menetapkan:** **PERATURAN BADAN PENGAWAS OBAT DAN MAKANAN TENTANG PERSYARATAN DAN TATA CARA PERMOHONAN ANALISA HASIL PENGAWASAN DALAM RANGKA IMPOR DAN EKSPOR NARKOTIKA, PSIKOTROPIKA, DAN PREKURSOR FARMASI.** **BAB I KETENTUAN UMUM** **Pasal 1** Dalam Peraturan Badan ini yang dimaksud dengan:",
DOC086,Peraturan%20BPOM%20Nomor%2026%20Tahun%202020.txt,,,,1,,"Narkotika adalah zat atau obat yang berasal dari tanaman atau bukan tanaman, baik sintetis maupun semi sintetis, yang dapat menyebabkan penurunan atau perubahan kesadaran, hilangnya rasa, mengurangi sampai menghilangkan rasa nyeri, dan dapat menimbulkan ketergantungan, yang dibedakan ke dalam golongan-golongan sebagaimana terlampir dalam Undang-Undang tentang Narkotika.",
DOC086,Peraturan%20BPOM%20Nomor%2026%20Tahun%202020.txt,,,,2,,"Psikotropika adalah zat atau obat, baik alamiah maupun sintetis, bukan narkotika, yang berkhasiat psikoaktif melalui pengaruh selektif pada susunan saraf pusat yang menyebabkan perubahan khas pada aktivitas mental dan perilaku.",
DOC086,Peraturan%20BPOM%20Nomor%2026%20Tahun%202020.txt,,,,3,,"Prekursor Farmasi adalah zat atau bahan pemula atau bahan kimia yang dapat digunakan sebagai bahan baku/penolong untuk keperluan proses produksi industri farmasi atau produk antara, produk ruahan, dan produk jadi yang mengandung efedrin, pseudoefedrin, norefedrin/fenilpropanolamin, ergotamin, ergometrin, atau potassium permanganat.",
DOC086,Peraturan%20BPOM%20Nomor%2026%20Tahun%202020.txt,,,,4,,"Impor adalah kegiatan memasukkan narkotika, psikotropika, dan/atau prekursor farmasi ke dalam daerah pabean Indonesia.",
DOC086,Peraturan%20BPOM%20Nomor%2026%20Tahun%202020.txt,,,,5,,"Ekspor adalah kegiatan mengeluarkan narkotika, psikotropika, dan/atau prekursor farmasi dari daerah pabean Indonesia.",
DOC086,Peraturan%20BPOM%20Nomor%2026%20Tahun%202020.txt,,,,6,,Industri Farmasi adalah badan usaha yang memiliki izin sesuai dengan ketentuan peraturan perundang-undangan untuk melakukan kegiatan pembuatan obat dan/atau bahan obat.,
DOC086,Peraturan%20BPOM%20Nomor%2026%20Tahun%202020.txt,,,,7,,"Pedagang Besar Farmasi yang selanjutnya disingkat PBF adalah perusahaan berbentuk badan hukum yang memiliki izin untuk pengadaan, penyimpanan, penyaluran obat dan/atau bahan obat dalam jumlah besar sesuai ketentuan peraturan perundang-undangan.",
DOC086,Peraturan%20BPOM%20Nomor%2026%20Tahun%202020.txt,,,,8,,"Surat Persetujuan Impor yang selanjutnya disingkat SPI adalah surat persetujuan untuk mengimpor narkotika, psikotropika, dan/atau prekursor farmasi.",
DOC086,Peraturan%20BPOM%20Nomor%2026%20Tahun%202020.txt,,,,9,,"Surat Persetujuan Ekspor yang selanjutnya disingkat SPE adalah surat persetujuan untuk mengekspor narkotika, psikotropika, dan/atau prekursor farmasi.",
DOC086,Peraturan%20BPOM%20Nomor%2026%20Tahun%202020.txt,,,,10,,Importir Produsen Psikotropika yang selanjutnya disebut IP Psikotropika adalah industri farmasi yang menggunakan psikotropika sebagai bahan baku proses produksi yang mendapat izin untuk mengimpor sendiri psikotropika sesuai ketentuan peraturan perundang-undangan.,
DOC086,Peraturan%20BPOM%20Nomor%2026%20Tahun%202020.txt,,,,11,,Importir Produsen Prekursor Farmasi yang selanjutnya disebut IP Prekursor Farmasi adalah industri farmasi yang menggunakan prekursor farmasi sebagai bahan baku atau bahan penolong proses produksi yang mendapat izin untuk mengimpor sendiri prekursor farmasi sesuai dengan ketentuan peraturan perundang-undangan.,
DOC086,Peraturan%20BPOM%20Nomor%2026%20Tahun%202020.txt,,,,12,,Importir Terdaftar Psikotropika yang selanjutnya disebut IT Psikotropika adalah PBF yang mendapat izin untuk mengimpor psikotropika guna didistribusikan kepada industri farmasi dan lembaga ilmu pengetahuan sebagai pengguna akhir psikotropika sesuai dengan ketentuan peraturan perundang-undangan.,
DOC086,Peraturan%20BPOM%20Nomor%2026%20Tahun%202020.txt,,,,13,,Importir Terdaftar Prekursor Farmasi yang selanjutnya disebut IT Prekursor Farmasi adalah PBF yang mendapat izin untuk mengimpor prekursor farmasi guna didistribusikan kepada industri farmasi dan lembaga ilmu pengetahuan sebagai pengguna akhir prekursor farmasi sesuai dengan ketentuan peraturan perundang-undangan.,
DOC086,Peraturan%20BPOM%20Nomor%2026%20Tahun%202020.txt,,,,14,,Eksportir Produsen Psikotropika yang selanjutnya disebut EP Psikotropika adalah industri farmasi yang mendapat izin sebagai eksportir psikotropika sesuai dengan ketentuan peraturan perundang-undangan.,
DOC086,Peraturan%20BPOM%20Nomor%2026%20Tahun%202020.txt,,,,15,,Eksportir Produsen Prekursor Farmasi yang selanjutnya disebut EP Prekursor Farmasi adalah industri farmasi yang mendapat izin sebagai eksportir prekursor farmasi sesuai dengan ketentuan peraturan perundang-undangan.,
DOC086,Peraturan%20BPOM%20Nomor%2026%20Tahun%202020.txt,,,,16,,Eksportir Terdaftar Psikotropika yang selanjutnya disebut ET Psikotropika adalah PBF yang mendapat izin sebagai eksportir psikotropika sesuai dengan ketentuan peraturan perundang-undangan.,
