doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC088,Permankes Nomor 60 Tahun 2017.txt,,,,6,,Peraturan Menteri Kesehatan Nomor 1189/Menkes/Per/VHI/2010 tentang Produksi Alat Kesehatan dan Perbekalan Kesehatan Rumah Tangga (Berita Negara Republik Indonesia Tahun 2010 Nomor 399);,
DOC088,Permankes Nomor 60 Tahun 2017.txt,,,,7,,Peraturan Menteri Kesehatan Nomor 1190/Menkes/Per/VHI/2010 tentang Izin Edar Alat Kesehatan dan Perbekalan Kesehatan Rumah Tangga (Berita Negara Republik Indonesia Tahun 2010 Nomor 400);,
DOC088,Permankes Nomor 60 Tahun 2017.txt,,,,8,,Peraturan Menteri Kesehatan Nomor 1191/Menkes/Per/VHI/2010 tentang Izin Penyaluran Alat Kesehatan (Berita Negara Republik Indonesia Tahun 2010 Nomor 401);,
DOC088,Permankes Nomor 60 Tahun 2017.txt,,,,9,,Peraturan Menteri Kesehatan Nomor 51 Tahun 2014 tentang Pemasukan Alat Kesehatan Melalui Mekanisme Jalur Khusus (Special Access Scheme) (Berita Negara Republik Indonesia Tahun 2014 Nomor 1184);,
DOC088,Permankes Nomor 60 Tahun 2017.txt,,,,10,,Peraturan Menteri Kesehatan Nomor 64 Tahun 2015 tentang Organisasi dan Tata Kerja Kementerian Kesehatan (Berita Negara Republik Indonesia Tahun 2015 Nomor 1508);,
DOC088,Permankes Nomor 60 Tahun 2017.txt,,,,11,,Peraturan Menteri Keuangan Nomor 224/Pmk.04/2015 tentang Pengawasan terhadap Impor atau Ekspor Barang Larangan dan/atau Pembatasan (Berita Negara Republik Indonesia Tahun 2015 Nomor 1894);,
DOC088,Permankes Nomor 60 Tahun 2017.txt,,,,12,,"Peraturan Menteri Keuangan Nomor 228/Pmk.04/2015 tentang Pengeluaran Barang Impor untuk Dipakai (Berita Negara Republik Indonesia Tahun 2015 Nomor 1898); Menetapkan: PERATURAN MENTERI KESEHATAN TENTANG PENGAWASAN TATA NIAGA IMPOR ALAT KESEHATAN, ALAT KESEHATAN DIAGNOSTIK IN VITRO, DAN PERBEKALAN KESEHATAN RUMAH TANGGA. KETENTUAN UMUM Dalam Peraturan Menteri ini yang dimaksud dengan:",
DOC088,Permankes Nomor 60 Tahun 2017.txt,BAB I,,Pasal 1,1,,"Alat Kesehatan adalah instrumen, aparatus, mesin, dan/atau implan yang tidak mengandung obat yang digunakan untuk mencegah, mendiagnosis, menyembuhkan, dan meringankan penyakit, merawat orang sakit, memulihkan kesehatan pada manusia, dan/atau membentuk struktur serta memperbaiki fungsi tubuh.",
DOC088,Permankes Nomor 60 Tahun 2017.txt,BAB I,,Pasal 1,2,,"Alat Kesehatan Diagnostik In Vitro adalah setiap reagen, produk reagen, kalibrator, material kontrol, kit, instrumen, aparatus, peralatan, atau sistem, baik digunakan sendiri atau dikombinasikan dengan reagen lainnya, yang diharapkan oleh pemilik produknya untuk digunakan secara in vitro untuk pemeriksaan dari setiap spesimen, termasuk darah atau donor jaringan yang berasal dari tubuh manusia, semata-mata atau pada dasarnya untuk tujuan memberikan informasi dengan memperhatikan keadaan fisiologis atau patologis atau kelainan bawaan, untuk menentukan keamanan dan kesesuaian setiap darah atau donor jaringan dengan penerima yang potensial, atau untuk memantau ukuran terapi dan mewadahi spesimen.",
DOC088,Permankes Nomor 60 Tahun 2017.txt,BAB I,,Pasal 1,3,,"Perbekalan Kesehatan Rumah Tangga yang selanjutnya disingkat PKRT adalah alat, bahan, atau campuran bahan untuk pemeliharaan dan perawatan untuk kesehatan manusia, yang ditujukan untuk penggunaan di rumah tangga dan fasilitas umum.",
DOC088,Permankes Nomor 60 Tahun 2017.txt,BAB I,,Pasal 1,4,,"Penyalur Alat Kesehatan yang selanjutnya disingkat PAK adalah perusahaan yang memiliki izin untuk pengadaan, penyimpanan, penyaluran, dan penyerahan Alat Kesehatan dan Alat Kesehatan Diagnostik In Vitro.",
DOC088,Permankes Nomor 60 Tahun 2017.txt,BAB I,,Pasal 1,5,,"Izin Edar adalah izin untuk Alat Kesehatan, Alat Kesehatan Diagnostik In Vitro, dan PKRT yang diproduksi oleh Produsen, dan/atau diimpor oleh PAK atau importir yang akan diedarkan di wilayah Negara Republik Indonesia, berdasarkan penilaian terhadap keamanan, mutu, dan kemanfaatan.",
DOC088,Permankes Nomor 60 Tahun 2017.txt,BAB I,,Pasal 1,6,,"Impor adalah kegiatan memasukkan Alat Kesehatan, Alat Kesehatan Diagnostik In Vitro, dan PKRT ke dalam daerah pabean.",
DOC088,Permankes Nomor 60 Tahun 2017.txt,BAB I,,Pasal 1,7,,Importir adalah orang perseorangan atau badan hukum yang melakukan impor.,
DOC088,Permankes Nomor 60 Tahun 2017.txt,BAB I,,Pasal 1,8,,"Indonesia National Single Window yang selanjutnya disingkat INSW adalah sistem nasional Indonesia yang memungkinkan dilakukannya suatu penyampaian data dan informasi secara tunggal (single submission of data and information), pemrosesan data dan informasi secara tunggal dan sinkron (single and synchronous processing of data and information), dan pembuatan keputusan secara tunggal untuk pemberian izin kepabeanan dan pengeluaran barang (single decision-making for custom release and clearance of cargoes).",
DOC088,Permankes Nomor 60 Tahun 2017.txt,BAB I,,Pasal 1,9,,"Portal INSW adalah sistem yang akan melakukan integrasi informasi berkaitan dengan proses penanganan dokumen kepabeanan dan pengeluaran barang, yang menjamin keamanan data dan informasi serta memadukan alur dan proses informasi antar sistem internal secara otomatis, yang meliputi sistem kepabeanan, perizinan, kepelabuhan/kebandarudaraan, dan sistem lain yang terkait dengan proses penanganan dokumen kepabeanan dan pengeluaran barang.",
DOC088,Permankes Nomor 60 Tahun 2017.txt,BAB I,,Pasal 1,10,,Pejabat Bea dan Cukai adalah pegawai Direktorat Jenderal Bea dan Cukai yang ditunjuk dalam jabatan tertentu untuk melaksanakan tugas tertentu berdasarkan Undang-Undang Kepabeanan.,
DOC088,Permankes Nomor 60 Tahun 2017.txt,BAB I,,Pasal 1,11,,Menteri adalah Menteri yang menyelenggarakan urusan pemerintahan di bidang kesehatan.,
