doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 1,1,,"Garam adalah senyawa kimia yang komponen utamanya mengandung natrium klorida (NaCl) dan mengandung senyawa air, magnesium, kalsium, sulfat dan bahan tambahan iodium, anti-caking atau free-flowing maupun tidak, yang termasuk dalam Pos Tarif/HS: a. 2501.00.10.00: Garam meja b. 2501.00.20.00: Garam batu c. 2501.00.50.00: Air laut d. 2501.00.90.10: Mengandung natrium klorida paling sedikit 94,7% dihitung dari basis kering e. 2501.00.90.90: Lain-lain.",
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 1,2,,Garam Industri adalah Garam yang dipergunakan sebagai bahan baku atau bahan penolong untuk kebutuhan industri dengan kadar NaCl paling sedikit 94%.,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 2,,1,Importir Garam Industri wajib memiliki Surat Izin Usaha Perdagangan (SIUP) dan Angka Pengenal Importir (API).,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 2,,2,"Importir Garam Konsumsi wajib memiliki Surat Izin Usaha Perdagangan (SIUP) dan Angka Pengenal Importir (API). Ketentuan lebih lanjut mengenai pelaksanaan Peraturan Menteri ini diatur dalam Keputusan Menteri. Peraturan Menteri ini mulai berlaku pada tanggal 1 April 2016. Agar setiap orang mengetahuinya, memerintahkan pengundangan Peraturan Menteri ini dengan penempatannya dalam Berita Negara Republik Indonesia. MENTERI PERDAGANGAN REPUBLIK INDONESIA, Ttd. THOMAS TRIKASIH LEMBONG Salinan sesuai dengan aslinya Sekretariat Jenderal Kementerian Perdagangan",
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 4,14,,Keputusan Presiden Nomor 69 Tahun 1994 tentang Pengadaan Garam Beryodium;,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 4,15,,Keputusan Presiden Nomor 121/P Tahun 2014 tentang Pembentukan Kementerian dan Pengangkatan Menteri Kabinet Kerja Tahun 2014-2019;,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 4,16,,Peraturan Presiden Nomor 7 Tahun 2015 tentang Organisasi Kementerian Negara;,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 4,17,,Peraturan Presiden Nomor 48 Tahun 2015 tentang Kementerian Perdagangan;,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 4,18,,Keputusan Presiden Nomor 79/P Tahun 2015 tentang Penggantian Beberapa Menteri Negara Kabinet Kerja Periode 2014-2019;,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 4,19,,"Peraturan Menteri Perindustrian Nomor 42/M-IND/PER/11/2005 tentang Pengolahan, Pengemasan, dan Pelabelan Garam Beriodium;",
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 4,20,,Peraturan Menteri Perindustrian Nomor 134/M-IND/PER/10/2009 tentang Peta Panduan (Road Map) Pengembangan Klaster Industri Garam sebagaimana telah diubah dengan Peraturan Menteri Perindustrian Nomor 88/M-IND/PER/10/2014;,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 4,21,,Peraturan Menteri Perdagangan Nomor 31/M-DAG/PER/7/2010 tentang Organisasi dan Tata Kerja Kementerian Perdagangan sebagaimana telah diubah dengan Peraturan Menteri Perdagangan Nomor 57/M-DAG/PER/8/2012;,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 4,22,,Peraturan Menteri Perdagangan Nomor 46/M-DAG/PER/8/2014 tentang Ketentuan Umum Verifikasi Atau Penelusuran Teknis di Bidang Perdagangan;,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 4,23,,Peraturan Menteri Perdagangan Nomor 53/M-DAG/PER/9/2014 tentang Pelayanan Terpadu Perdagangan;,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 4,24,,Peraturan Menteri Perdagangan Nomor 48/M-DAG/PER/7/2015 tentang Ketentuan Umum Di Bidang Impor;,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 4,25,,Peraturan Menteri Perdagangan Nomor 70/M-DAG/PER/9/2015 tentang Angka Pengenal Importir. Dengan Rahmat Tuhan Yang Maha Esa,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 4,1,,"Bahwa Garam Konsumsi adalah garam yang dipergunakan untuk konsumsi dengan kadar NaCl paling sedikit 94,7% sampai dengan kurang dari 97%, dihitung dari basis kering, dengan Pos Tarif/HS ex. 2501.00.90.10.",
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 4,2,,Bahwa Importir Garam Industri adalah perusahaan yang melakukan kegiatan usaha di bidang industri yang menggunakan bahan baku atau bahan penolong Garam Industri.,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 4,3,,Bahwa Persetujuan Impor adalah persetujuan yang digunakan sebagai izin untuk melakukan impor Garam.,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 4,4,,Bahwa Verifikasi atau penelusuran teknis adalah penelitian dan pemeriksaan barang impor yang dilakukan oleh Surveyor.,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 4,5,,Bahwa Surveyor adalah perusahaan survey yang mendapat otorisasi untuk melakukan Verifikasi atau penelusuran teknis barang impor.,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 4,6,,"Bahwa Unit Pelayanan Terpadu Perdagangan I, yang selanjutnya disingkat UPTP I adalah unit yang menyelenggarakan pelayanan terpadu perdagangan.",
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 4,7,,Bahwa Menteri adalah menteri yang menyelenggarakan urusan pemerintahan di bidang perdagangan.,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 4,8,,Bahwa Koordinator Pelaksana UPTP I adalah pejabat yang ditugaskan oleh Menteri untuk menyelenggarakan pelayanan perizinan pada UPTP I. a. Undang-Undang Nomor 17 Tahun 2006 tentang Perdagangan. b. Peraturan Pemerintah Nomor 85 Tahun 2015 tentang Perdagangan. c. Peraturan Menteri Perdagangan Nomor 10 Tahun 2020 tentang Ketentuan Impor Garam. Menetapkan: Garam yang dapat diimpor adalah Garam Industri dan Garam Konsumsi. Rencana kebutuhan Garam Industri ditentukan dan disepakati dalam rapat koordinasi antar kementerian/lembaga terkait.,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 3,,1,Garam Industri sebagaimana dimaksud dalam Pasal 1 hanya dapat diimpor oleh perusahaan pemilik Angka Pengenal Importir Produsen (API-P) yang telah mendapat Persetujuan Impor Garam Industri dari Menteri.,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 3,,2,Menteri memberikan mandat penerbitan Persetujuan Impor Garam Industri sebagaimana dimaksud pada ayat (1) kepada Koordinator Pelaksana UPTP I.,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 4,,1,"Untuk mendapat Persetujuan Impor Garam Industri sebagaimana dimaksud dalam Pasal 3, perusahaan harus mengajukan permohonan secara elektronik kepada Koordinator Pelaksana UPTP I, dengan melampirkan: a. Izin Usaha Industri atau izin usaha lain yang sejenis dari kementerian teknis/lembaga pemerintah non kementerian/instansi yang membidangi usaha tersebut; b. API-P bagi perusahaan yang melakukan kegiatan usaha di bidang industri yang menggunakan bahan baku atau bahan penolong Garam Industri; dan c. Surat pernyataan bermeterai cukup yang memuat keterangan mengenai rencana impor sesuai kebutuhan riil industri dan menyatakan tidak akan memperdagangkan dan/atau memindahtangankan Garam Industri yang diimpor kepada pihak lain.",
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 4,,2,"Atas permohonan sebagaimana dimaksud pada ayat (1), Koordinator Pelaksana UPTP I menerbitkan Persetujuan Impor Garam Industri paling lama 2 (dua) hari kerja, terhitung sejak permohonan diterima secara lengkap dan benar.",
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 4,,3,"Dalam hal permohonan sebagaimana dimaksud pada ayat (1) tidak lengkap dan benar, Koordinator Pelaksana UPTP I menyampaikan pemberitahuan penolakan paling lama 2 (dua) hari kerja terhitung sejak permohonan diterima. Persetujuan Impor Garam Industri sebagaimana dimaksud dalam Pasal 4 ayat (2) berlaku paling lama 1 (satu) tahun. Persetujuan Impor Garam Industri sebagaimana dimaksud dalam Pasal 4 ayat (2) memuat data dan keterangan paling sedikit mengenai: a. Jumlah Garam; b. Jenis Garam dan Pos Tarif/HS; c. Pelabuhan muat; d. Negara asal; e. Pelabuhan tujuan; dan f. Masa berlaku Persetujuan Impor Garam Industri. Pelabuhan tujuan sebagaimana dimaksud dalam Pasal 6 huruf e harus pelabuhan terdekat dengan lokasi pabrik yang dimiliki oleh Importir Garam Industri.",
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 7,,2,Lokasi pabrik sebagaimana dimaksud pada ayat (1) harus sesuai dengan lokasi yang tercantum dalam Izin Usaha Industri atau izin usaha lain yang sejenis. Pengajuan permohonan untuk memperoleh Persetujuan Impor Garam Industri sebagaimana dimaksud dalam Pasal 4 hanya dapat dilayani dengan sistem elektronik melalui http://inatrade.kemendag.go.id.,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 8,,2,"Dalam hal terjadi keadaan memaksa (force majeure) yang mengakibatkan sistem elektronik melalui http://inatrade.kemendag.go.id tidak berfungsi, pengajuan permohonan sebagaimana dimaksud pada ayat (1) disampaikan secara manual. Importir Garam Industri dilarang memperdagangkan dan/atau memindahtangankan Garam Industri yang telah diimpornya kepada pihak lain. Dalam hal terjadi: a. Gagal panen raya yang berakibat stok Garam Konsumsi tidak dapat memenuhi kebutuhan di dalam negeri; dan/atau b. Ketersediaan Garam Konsumsi tidak dapat memenuhi kebutuhan Garam Konsumsi di dalam negeri, Pemerintah dapat menugaskan Badan Usaha Milik Negara yang bergerak di bidang usaha pergaraman untuk melakukan impor Garam Konsumsi.",
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 10,,2,Gagal panen raya sebagaimana dimaksud pada ayat (1) huruf a dan ketersediaan Garam Konsumsi sebagaimana dimaksud pada ayat (1) huruf b ditetapkan oleh Menteri yang menyelenggarakan urusan pemerintahan di bidang kelautan dan perikanan. Impor Garam Konsumsi sebagaimana dimaksud dalam Pasal 10 hanya dapat dilakukan oleh Badan Usaha Milik Negara yang bergerak di bidang usaha pergaraman setelah mendapat: a. Penugasan dari Menteri yang menyelenggarakan urusan pemerintahan di bidang pembinaan badan usaha milik negara; dan b. Rekomendasi dari kementerian yang menyelenggarakan urusan pemerintahan di bidang kelautan dan perikanan. Badan Usaha Milik Negara yang akan mengimpor Garam Konsumsi sebagaimana dimaksud dalam Pasal 10 ayat (1) harus mendapat Persetujuan Impor Garam Konsumsi dari Menteri.,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 12,,2,Menteri memberikan mandat penerbitan Persetujuan Impor Garam Konsumsi sebagaimana dimaksud pada ayat (1) kepada Koordinator Pelaksana UPTP I. Setiap pelaksanaan impor Garam harus terlebih dahulu dilakukan Verifikasi atau penelusuran teknis di negara muat barang.,
DOC090,Permendag No. 125 Tahun 2015.txt,,,Pasal 13,,2,"Pelaksanaan Verifikasi atau penelusuran teknis sebagaimana dimaksud pada ayat (1) dilakukan oleh Surveyor yang ditetapkan oleh Menteri. Untuk dapat ditetapkan sebagai pelaksana Verifikasi atau penelusuran teknis Impor Garam sebagaimana dimaksud dalam Pasal 13 ayat (2), Surveyor harus memenuhi persyaratan sebagai berikut: a. Memiliki Surat Izin Usaha Jasa Survey (SIUJS).",
