doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC097,Permendag No. 70 Tahun 2015.txt,,,Pasal 1,1,,Angka Pengenal Importir yang selanjutnya disingkat API adalah nomor identitas yang diterbitkan oleh instansi yang berwenang kepada importir sebagai tanda pengenal untuk melakukan kegiatan impor.,
DOC097,Permendag No. 70 Tahun 2015.txt,,,Pasal 1,2,,API-U adalah Angka Pengenal Importir untuk barang umum.,
DOC097,Permendag No. 70 Tahun 2015.txt,,,Pasal 1,3,,API-P adalah Angka Pengenal Importir untuk barang tertentu. Setiap importir wajib memiliki API-U atau API-P sesuai dengan ketentuan peraturan perundang-undangan yang berlaku.,
DOC097,Permendag No. 70 Tahun 2015.txt,,,Pasal 3,,1,Setiap permohonan penerbitan API-U dan API-P diajukan kepada instansi penerbit API.,
DOC097,Permendag No. 70 Tahun 2015.txt,,,Pasal 3,,2,Instansi penerbit API terdiri dari: a. Kepala BKPM untuk API-U dan API-P; b. Direktur Jenderal untuk API-P; c. Kepala Dinas Provinsi untuk API-U dan API-P.,
DOC097,Permendag No. 70 Tahun 2015.txt,,,Pasal 4,,1,Kepala BKPM dapat menerbitkan atau menolak menerbitkan API-U dan API-P sebagaimana dimaksud dalam Pasal 3 ayat (2).,
DOC097,Permendag No. 70 Tahun 2015.txt,,,Pasal 4,,2,Ketentuan lebih lanjut mengenai penerbitan atau penolakan penerbitan API-U dan API-P sebagaimana dimaksud pada ayat (1) diatur oleh Kepala BKPM. Direktur Jenderal menerbitkan API-P paling lama 5 (lima) hari kerja sejak permohonan sebagaimana dimaksud dalam Pasal 3 ayat (2) diterima secara lengkap dan benar. Kepala Dinas Provinsi menerbitkan API-U dan API-P paling lama 5 (lima) hari kerja sejak permohonan sebagaimana dimaksud dalam Pasal 3 ayat (2) diterima secara lengkap dan benar.,
DOC097,Permendag No. 70 Tahun 2015.txt,,,Pasal 7,,1,"Setiap API-U dan API-P yang diterbitkan diberi nomor yang terdiri dari 9 (sembilan) digit diikuti dengan huruf B, huruf D, atau huruf P.",
DOC097,Permendag No. 70 Tahun 2015.txt,,,Pasal 7,,2,"9 (sembilan) digit sebagaimana dimaksud pada ayat (1) terdiri dari: a. 2 (dua) digit pertama untuk nomor kode provinsi; b. 2 (dua) digit berikutnya untuk nomor kode kabupaten/kota; c. 5 (lima) digit terakhir untuk nomor urut API yang diterbitkan; dan d. Huruf B untuk API-U, huruf D untuk API-P yang diterbitkan oleh Direktur Jenderal, atau huruf P untuk API-U dan API-P yang diterbitkan oleh Kepala Dinas Provinsi.",
DOC097,Permendag No. 70 Tahun 2015.txt,,,Pasal 8,,1,"Perusahaan pemilik API-U atau API-P wajib melaporkan realisasi impor, baik terealisasi maupun tidak terealisasi, sekali dalam 3 (tiga) bulan kepada Kepala BKPM.",
DOC097,Permendag No. 70 Tahun 2015.txt,,,Pasal 8,,2,"Perusahaan pemilik API-P wajib melaporkan realisasi impor, baik terealisasi maupun tidak terealisasi, sekali dalam 3 (tiga) bulan kepada Direktur Jenderal.",
DOC097,Permendag No. 70 Tahun 2015.txt,,,Pasal 8,,3,"Perusahaan pemilik API-U atau API-P wajib melaporkan realisasi impor, baik terealisasi maupun tidak terealisasi, sekali dalam 3 (tiga) bulan kepada Kepala Dinas Provinsi dengan tembusan kepada Kepala Dinas Kabupaten/Kota di mana perusahaan berdomisili. Kepala BKPM, Kepala Dinas Provinsi, dan Kepala Badan Pengusahaan menyampaikan laporan rekapitulasi penerbitan API-U dan API-P secara periodik setiap 3 (tiga) bulan sekali kepada Menteri. Perusahaan pemilik API-U atau API-P wajib melaporkan setiap perubahan yang terkait dengan data API-U atau API-P paling lama 30 (tiga puluh) hari sejak terjadi perubahan, kepada instansi penerbit API. Importir yang tidak memiliki API dapat melakukan impor hanya untuk barang-barang tertentu yang diatur dalam ketentuan perundang-undangan yang berlaku. Perusahaan pemilik API atau importir yang melakukan impor tanpa memiliki API bertanggung jawab sepenuhnya terhadap pelaksanaan impornya sesuai dengan ketentuan peraturan perundang-undangan.",
DOC097,Permendag No. 70 Tahun 2015.txt,,,Pasal 13,,1,"Dalam rangka monitoring dan evaluasi kebijakan impor, Direktorat Jenderal Perdagangan Luar Negeri Kementerian Perdagangan dapat melakukan pengawasan terhadap impor yang dilakukan oleh perusahaan pemilik API-U dan API-P.",
