doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 18,,1,"Pemeriksaan atas Persetujuan Impor yang digunakan untuk Impor Barang Manufaktur sebagai Barang Komplementer, Barang untuk Keperluan Tes Pasar, dan Pelayanan Purna Jual yang tidak terkena ketentuan pembatasan Impor sebagaimana dimaksud dalam Pasal 18 dilakukan oleh Direktorat Jenderal Perlindungan Konsumen dan Tertib Niaga.",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 18,,2,"Importir Barang Manufaktur sebagaimana dimaksud pada ayat (1) wajib menyimpan dokumen Persetujuan Impor dan dokumen pemberitahuan pabean impor paling singkat 5 (lima) tahun untuk keperluan pemeriksaan sebagaimana dimaksud pada ayat (1). Dalam rangka pengawasan kebijakan Impor, Menteri melalui Direktur Jenderal Perlindungan Konsumen dan Tertib Niaga melakukan pemeriksaan dan pengawasan secara berkala dan/atau sewaktu-waktu jika diperlukan. Pemeriksaan sebagaimana dimaksud pada ayat (1) dilakukan terhadap: a. Persetujuan Impor; dan b. dokumen pendukung Impor lain. Pengawasan sebagaimana dimaksud pada ayat (1) dilakukan terhadap: a. kebenaran laporan realisasi Impor; b. kesesuaian Barang Manufaktur yang diimpor dengan data yang tercantum dalam Persetujuan Impor; dan c. kepatuhan atas peraturan perundang-undangan yang terkait di bidang Barang Manufaktur sebagai Barang Komplementer, Barang untuk Keperluan Tes Pasar, dan Pelayanan Purna Jual.",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,,1,"Untuk kepentingan evaluasi pelaksanaan Peraturan Menteri ini, Direktorat Jenderal Perdagangan Luar Negeri bersama dengan kementerian yang menyelenggarakan urusan pemerintahan di bidang perindustrian dan lembaga pemerintah yang menyelenggarakan urusan pemerintahan di bidang obat dan makanan dapat membentuk Tim Evaluasi Pelaksanaan Impor Barang Manufaktur sebagai Barang Komplementer, Barang untuk Keperluan Tes Pasar, dan Pelayanan Purna Jual.",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,,2,"Pelaksanaan Peraturan Menteri ini dievaluasi paling sedikit 1 (satu) kali dalam 1 (satu) tahun dan/atau sewaktu-waktu jika diperlukan. Pasal II Peraturan Menteri ini mulai berlaku pada tanggal diundangkan. Agar setiap orang mengetahuinya, memerintahkan pengundangan Peraturan Menteri ini dengan penempatannya dalam Berita Negara Republik Indonesia. MENTERI PERDAGANGAN REPUBLIK INDONESIA, ttd. AGUS SUPARMANTO Diundangkan di Jakarta pada tanggal 29 Juni 2020 DIREKTUR JENDERAL PERATURAN PERUNDANG-UNDANGAN KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA REPUBLIK INDONESIA, ttd. WIDODO EKATJAHJANA BERITA NEGARA REPUBLIK INDONESIA TAHUN 2020 NOMOR 670 Salinan sesuai dengan aslinya Sekretaris Jenderal Kementerian Perdagangan ZOE. H LAMPIRAN I PERATURAN MENTERI PERDAGANGAN REPUBLIK INDONESIA NOMOR 59 TAHUN 2020 TENTANG PERUBAHAN ATAS PERATURAN MENTERI PERDAGANGAN NOMOR 118/M-DAG/PER/12/2015 TENTANG KETENTUAN IMPOR BARANG KOMPLEMENTER, BARANG UNTUK KEPERLUAN TES PASAR, DAN PELAYANAN PURNA JUAL DAFTAR SEKTOR/SUBSEKTOR YANG DAPAT MENGIMPOR BARANG MANUFAKTUR, DAN BARANG MANUFAKTUR YANG DAPAT DIIMPOR SEBAGAI BARANG KOMPLEMENTER",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,1,,"INDUSTRI MARITIM, ALAT TRANSPORTASI, DAN ALAT PERTAHANAN - Industri Perakitan Kendaraan Bermotor - Industri Komponen Kendaraan Bermotor",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,2,,INDUSTRI PERMESINAN DAN ALAT MESIN PERTANIAN - Industri Alat/Mesin Pertanian - Industri Mesin Perkakas,
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,3,,INDUSTRI ELEKTRONIKA DAN TELEMATIKA,
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,4,,INDUSTRI KIMIA HULU - Carbon Black - Asam Amino - Vegetable Protein - Bahan Pewarna Organik Sintetis dan Bahan Celup - Bahan untuk penyempurnaan proses pencelupan - Pigmen - Natural Polymer - Glycol Fatty Acid - Polymers Fatty Acid - Fatty Derivatives - Bahan Kimia Khusus Untuk Tekstil dan Kertas - Resin,
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,5,,"INDUSTRI KIMIA HILIR DAN FARMASI - Bahan Kimia Khusus Untuk Proses Permesinan - Karet dan Plastik Hilir - Cat, Kimia Pembersih dan pelumas - Farmasi - Hand Sanitizer - Disinfektan - Alat Pelindung Diri dan Masker",
DOC100,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,6,,INDUSTRI HASIL HUTAN DAN PERKEBUNAN - Industri Kertas dan Barang dari Kertas - Industri Furniture,
