doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC101,Permendag%2011%20Tahun%202024.txt,,,Pasal 49,,1,"Produk pertambangan hasil pengolahan dan/atau pemurnian berupa: a. konsentrat besi laterit (gutit, hematit, magnetit) dengan kadar ≥ 50% (lebih dari atau sama dengan lima puluh persen) Fe dan ≥ 10% (lebih dari atau sama dengan sepuluh persen) (Al2O3+SiO2); b. konsentrat tembaga dengan kadar ≥ 15% (lebih dari atau sama dengan lima belas persen) Cu; c. konsentrat timbal dengan kadar ≥ 56% (lebih dari atau sama dengan lima puluh enam persen) Pb; d. konsentrat seng dengan kadar ≥ 51% (lebih dari atau sama dengan lima puluh satu persen) Zn; dan e. lumpur anoda (anode slime), hanya dapat diekspor sampai dengan tanggal 31 Desember 2024 sesuai dengan ketentuan peraturan perundang-undangan di bidang energi dan sumber daya mineral, yang dibuktikan dengan nomor dan tanggal pendaftaran Pemberitahuan Pabean Ekspor dari kantor pabean.",
DOC101,Permendag%2011%20Tahun%202024.txt,,,Pasal 49,,2,"Barang pertambangan berupa: a. konsentrat besi laterit (gutit, hematit, magnetit) dengan kadar ≥ 50% (lebih dari atau sama dengan lima puluh persen) Fe dan ≥ 10% (lebih dari atau sama dengan sepuluh persen) (Al2O3+SiO2); b. konsentrat tembaga dengan kadar ≥ 15% (lebih dari atau sama dengan lima belas persen) Cu; c. konsentrat timbal dengan kadar ≥ 56% (lebih dari atau sama dengan lima puluh enam persen) Pb; d. konsentrat seng dengan kadar ≥ 51% (lebih dari atau sama dengan lima puluh satu persen) Zn; dan e. lumpur anoda (anode slime), mulai tanggal 1 Januari 2025 hanya dapat diekspor untuk keperluan penelitian dan pengembangan, keperluan ekspor kembali, dan/atau keperluan ekspor produk industri yang termasuk kategori produk pertambangan yang bahan baku utamanya berasal dari impor dan/atau skrap berupa logam.",
DOC101,Permendag%2011%20Tahun%202024.txt,,,Pasal 49,,3,Produk pertambangan hasil pengolahan dan/atau pemurnian sebagaimana dimaksud pada ayat (1) dan barang pertambangan sebagaimana dimaksud pada ayat (2) tercantum dalam Lampiran I yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini.,
DOC101,Permendag%2011%20Tahun%202024.txt,,,Pasal 49,2,,"Ketentuan Lampiran diubah, sehingga menjadi sebagaimana tercantum dalam Lampiran yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini. Pasal II Peraturan Menteri ini mulai berlaku pada tanggal 1 Juni 2024. Agar setiap orang mengetahuinya, memerintahkan pengundangan Peraturan Menteri ini dengan penempatannya dalam Berita Negara Republik Indonesia. pada tanggal 30 Mei 2024 ZULKIFLI HASAN Diundangkan di Jakarta pada tanggal 31 Mei 2024 DIREKTUR JENDERAL PERATURAN PERUNDANG-UNDANGAN KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA REPUBLIK INDONESIA, ASEP N. MULYANA BERITA NEGARA REPUBLIK INDONESIA TAHUN 2024 NOMOR 289 LAMPIRAN I PERATURAN MENTERI PERDAGANGAN REPUBLIK INDONESIA NOMOR 11 TAHUN 2024 TENTANG PERUBAHAN ATAS PERATURAN MENTERI PERDAGANGAN NOMOR 23 TAHUN 2023 TENTANG KEBIJAKAN DAN PENGATURAN EKSPOR PERIZINAN BERUSAHA DI BIDANG EKSPOR SARANG BURUNG WALET (SBW) No Pos Tarif/HS Uraian Barang Persyaratan Keterangan ET | PE | LS",
DOC101,Permendag%2011%20Tahun%202024.txt,,,Pasal 49,1,,ex 0410.90.10 Sarang Burung Walet yang didapat dari habitat buatan Burung Walet Eksportir Terdaftar (ET) SBW: Dalam hal surat pernyataan mandiri eksportir telah memiliki:,
DOC101,Permendag%2011%20Tahun%202024.txt,,,Pasal 49,1,,Nomor Kontrol Veteriner (NKV);,
DOC101,Permendag%2011%20Tahun%202024.txt,,,Pasal 49,2,,Keputusan penetapan tempat pelaksanaan Tindakan karantina dari menteri yang menyelenggarakan urusan pemerintahan di bidang pertanian; Perubahan ET-SBW:,
DOC101,Permendag%2011%20Tahun%202024.txt,,,Pasal 49,1,,ET SBW yang masih berlaku; dan,
DOC101,Permendag%2011%20Tahun%202024.txt,,,Pasal 49,2,,"Surat Pernyataan Mandiri (SPM) bermeterai yang memuat perubahan: a. Identitas eksportir (nama perusahaan dan alamat perusahaan); b. Kapasitas produksi. Surat pernyataan mandiri (SPM) bermeterai sebagaimana tercantum dalam kolom persyaratan dilengkapi dengan: a. Nomor Kontrol Veteriner (NKV); dan/atau b. Keputusan penetapan tempat pelaksanaan Tindakan karantina dari menteri yang menyelenggarakan urusan pemerintahan di bidang pertanian. Memiliki dokumen sertifikat sanitasi (KH-12) yang diterbitkan kementerian yang menyelenggarakan urusan pemerintahan di bidang pertanian untuk setiap pengiriman. Dalam hal Ekspor SBW dilakukan melalui: a. Barang bawaan penumpang atau awak sarana pengangkut; b. Barang pelintas batas; atau c. Barang kiriman yang dikirim melalui penyelenggara pos, di atas 2 (dua) kilogram tetap memenuhi kewajiban ET dan KH-12. Masa berlaku ET SBW adalah selama perusahaan yang bersangkutan masih menjalankan kegiatan usaha di bidang ekspor SBW. Masa Berlaku Perubahan ET SBW selama perusahaan yang bersangkutan masih menjalankan kegiatan usaha di bidang ekspor SBW. Data lain pada Perizinan Berusaha di bidang Ekspor berupa Eksportir Terdaftar yang dapat dilakukan perubahan sebagaimana diatur dalam Pasal 8 ayat (4), yaitu kapasitas produksi. II. BERAS No Pos Tarif/HS Uraian Barang Persyaratan Keterangan ET | PE | LS A. UNTUK KEPERLUAN UMUM A. PERUSAHAAN UMUM BULOG 10.06 Beras. Persetujuan Ekspor (PE) Beras Keperluan Umum (Perusahaan Umum BULOG): berdasarkan:",
DOC101,Permendag%2011%20Tahun%202024.txt,,,Pasal 49,1,,Neraca Komoditas yang ditetapkan berdasarkan kesepakatan rapat koordinasi terbatas yang dikoordinasikan oleh menteri yang menyelenggarakan urusan pemerintahan di bidang perekonomian. Dalam hal perubahan identitas eksportir:,
