doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC104,Permendag%20No.%2016%20Tahun%202018.txt,,,,1,,Undang-Undang Nomor 7 Tahun 2014 tentang Perdagangan;,
DOC104,Permendag%20No.%2016%20Tahun%202018.txt,,,,2,,Undang-Undang Nomor 18 Tahun 2012 tentang Pangan;,
DOC104,Permendag%20No.%2016%20Tahun%202018.txt,,,,3,,Peraturan Pemerintah Nomor 28 Tahun 2004 tentang Keamanan Pangan;,
DOC104,Permendag%20No.%2016%20Tahun%202018.txt,,,,4,,"Peraturan Menteri Perdagangan Nomor 30/M-DAG/PER/5/2017 tentang Ketentuan Impor Produk Hortikultura; Menetapkan: PERATURAN MENTERI PERDAGANGAN TENTANG PERUBAHAN KETIGA ATAS PERATURAN MENTERI PERDAGANGAN NOMOR 30/M-DAG/PER/5/2017 TENTANG KETENTUAN IMPOR PRODUK HORTIKULTURA. Pasal I Beberapa ketentuan dalam Peraturan Menteri Perdagangan Nomor 30/M-DAG/PER/5/2017 tentang Ketentuan Impor Produk Hortikultura (Berita Negara Republik Indonesia Tahun 2017 Nomor 728) sebagaimana telah beberapa kali diubah, terakhir dengan Peraturan Menteri Perdagangan Nomor 95 Tahun 2017 tentang Perubahan Kedua atas Peraturan Menteri Perdagangan Nomor 30/M-DAG/PER/5/2017 tentang Ketentuan Impor Produk Hortikultura (Berita Negara Republik Indonesia Tahun 2017 Nomor 1895) diubah sebagai berikut: Dalam Peraturan Menteri ini yang dimaksud dengan: a. Hortikultura adalah segala hal yang berkaitan dengan buah, sayuran, bahan obat nabati, dan florikultura, termasuk di dalamnya jamur, lumut, dan tanaman air yang berfungsi sebagai sayuran, bahan obat nabati, dan/atau bahan estetika. b. Produk Hortikultura adalah semua hasil yang berasal dari tanaman hortikultura yang masih segar atau yang telah diolah. c. Produk Hortikultura Segar adalah pangan asal tumbuhan berupa produk yang dihasilkan pada proses pasca panen untuk konsumsi atau bahan baku industri, dan/atau produk yang mengalami proses secara minimal. d. Impor adalah kegiatan memasukkan barang ke dalam Daerah Pabean. e. Angka Pengenal Importir Umum yang selanjutnya disingkat API-U adalah tanda pengenal sebagai Importir Umum. f. Angka Pengenal Importir Produsen yang selanjutnya disingkat API-P adalah tanda pengenal sebagai Importir Produsen. g. Persetujuan Impor adalah izin impor produk hortikultura. h. Label adalah setiap keterangan mengenai produk hortikultura yang berbentuk gambar, tulisan, kombinasi keduanya, atau bentuk lain yang memuat informasi tentang produk dan keterangan pelaku usaha serta informasi lainnya sesuai dengan ketentuan peraturan perundang-undangan yang berlaku, yang disertakan pada produk, dimasukkan ke dalam, ditempelkan pada, atau merupakan bagian kemasan. i. Logo Tara Pangan adalah penandaan yang menunjukkan bahwa suatu kemasan pangan aman digunakan untuk pangan. j. Kode Daur Ulang adalah penandaan yang menunjukkan bahwa suatu kemasan pangan dapat didaur ulang. k. Kemasan adalah bahan yang digunakan untuk mewadahi dan/atau membungkus produk hortikultura, baik yang bersentuhan langsung maupun tidak. l. Rekomendasi Impor Produk Hortikultura, yang selanjutnya disingkat RIPH adalah keterangan tertulis yang menyatakan produk hortikultura memenuhi persyaratan administrasi dan teknis yang diterbitkan oleh Kementerian Pertanian. m. Distributor adalah pelaku usaha distribusi barang yang bertindak atas namanya sendiri dan atas penunjukan atau tidak atas penunjukan dari produsen atau supplier atau importir berdasarkan perjanjian untuk melakukan kegiatan distribusi barang. n. Badan Usaha Milik Negara yang selanjutnya disingkat BUMN adalah badan usaha yang seluruh atau sebagian besar modalnya dimiliki oleh Negara melalui penyertaan langsung yang berasal dari kekayaan Negara yang dipisahkan. o. Verifikasi atau Penelusuran Teknis adalah penelitian dan pemeriksaan teknis atas barang impor yang dilakukan oleh surveyor. p. Surveyor adalah perusahaan survey yang mendapat otorisasi untuk melakukan verifikasi atau penelusuran teknis barang impor. q. Kawasan Pabean adalah kawasan dengan batas-batas tertentu di pelabuhan laut, bandar udara, atau tempat lain yang ditetapkan untuk lalu lintas barang yang sepenuhnya berada di bawah pengawasan Direktorat Jenderal Bea dan Cukai. r. Menteri adalah menteri yang menyelenggarakan urusan pemerintahan di bidang perdagangan. s. Direktur Jenderal adalah Direktur Jenderal Perdagangan Luar Negeri, Kementerian Perdagangan. t. Direktur adalah Direktur Impor Direktorat Jenderal Perdagangan Luar Negeri, Kementerian Perdagangan.",
DOC104,Permendag%20No.%2016%20Tahun%202018.txt,,,Pasal 1,2,,Ketentuan ayat (2) dalam Pasal 3 diubah sehingga Pasal 3 berbunyi sebagai berikut:,
DOC104,Permendag%20No.%2016%20Tahun%202018.txt,,,Pasal 3,,1,"Impor produk hortikultura sebagaimana dimaksud dalam Pasal 2 hanya dapat dilakukan oleh: a. perusahaan pemilik Angka Pengenal Importir (API); dan b. BUMN yang mendapat penugasan dari Menteri, yang telah mendapatkan Persetujuan Impor dari Menteri.",
DOC104,Permendag%20No.%2016%20Tahun%202018.txt,,,Pasal 3,,2,Menteri mendelegasikan penerbitan Persetujuan Impor sebagaimana dimaksud pada ayat (1) kepada Direktur Jenderal.,
DOC104,Permendag%20No.%2016%20Tahun%202018.txt,,,Pasal 3,,3,"Direktur Jenderal memberikan mandat penerbitan Persetujuan Impor sebagaimana dimaksud pada ayat (2) kepada Direktur. Untuk memperoleh Persetujuan Impor sebagaimana dimaksud dalam Pasal 5 ayat (2), perusahaan pemilik API-U harus mengajukan permohonan secara elektronik kepada Direktur Jenderal dalam hal ini Direktur, dengan melampirkan: a. API-U; b. bukti kepemilikan atas gudang berpendingin (cold storage) yang terdaftar sesuai dengan ketentuan peraturan perundang-undangan; c. bukti kepemilikan alat transportasi sesuai dengan karakteristik produknya; d. surat pernyataan bermeterai cukup mengenai kemampuan dan kelayakan gudang dan alat transportasi sesuai dengan karakteristik produk hortikultura; e. bukti kontrak kerjasama penjualan produk hortikultura paling sedikit dengan 3 (tiga) distributor selama paling sedikit 1 (satu) tahun; f. bukti pengalaman sebagai distributor produk hortikultura selama 1 (satu) tahun; g. rencana impor produk hortikultura yang mencakup jenis barang, Pos Tarif/HS, jumlah, negara asal, pelabuhan muat serta pelabuhan tujuan; h. rencana distribusi produk hortikultura; dan i. RIPH. Untuk memperoleh Persetujuan Impor sebagaimana dimaksud dalam Pasal 5 ayat (3), perusahaan pemilik API-P harus mengajukan permohonan secara elektronik kepada Direktur Jenderal dalam hal ini Direktur, dengan melampirkan: a. API-P; b. bukti penguasaan gudang sesuai dengan karakteristik produknya; c. bukti penguasaan alat transportasi sesuai dengan karakteristik produknya; d. rencana impor produk hortikultura yang mencakup jenis barang, Pos Tarif/HS, jumlah, negara asal, pelabuhan muat serta pelabuhan tujuan; dan e. RIPH.",
DOC104,Permendag%20No.%2016%20Tahun%202018.txt,,,Pasal 8,,1,"Untuk mendapatkan Persetujuan Impor sebagaimana dimaksud dalam Pasal 5 ayat (2), BUMN sebagaimana dimaksud dalam Pasal 3 ayat (1) huruf b harus mengajukan permohonan secara elektronik kepada Direktur Jenderal dalam hal ini Direktur dengan melampirkan API-U dan RIPH.",
DOC104,Permendag%20No.%2016%20Tahun%202018.txt,,,Pasal 8,,2,Direktur Jenderal dalam hal ini Direktur menerbitkan Persetujuan Impor sebagaimana dimaksud pada ayat (1) berdasarkan hasil kesepakatan rapat koordinasi tingkat menteri bidang perekonomian sebagaimana dimaksud dalam Pasal 4 ayat (2).,
