doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC106,Permendag%20No.%2019Tahun%202018.txt,,,,11,,Keputusan Presiden Nomor 21 Tahun 2001 tentang Penyediaan dan Pelayanan Pelumas;,
DOC106,Permendag%20No.%2019Tahun%202018.txt,,,,12,,Peraturan Menteri Perdagangan Nomor 46/M-DAG/PER/8/2014 tentang Ketentuan Umum Verifikasi atau Penelusuran Teknis di Bidang Perdagangan (Berita Negara Republik Indonesia Tahun 2014 Nomor 1104);,
DOC106,Permendag%20No.%2019Tahun%202018.txt,,,,13,,Peraturan Menteri Perdagangan Nomor 48/M-DAG/PER/7/2015 tentang Ketentuan Umum di Bidang Impor (Berita Negara Republik Indonesia Tahun 2015 Nomor 1006);,
DOC106,Permendag%20No.%2019Tahun%202018.txt,,,,14,,Peraturan Menteri Perdagangan Nomor 70/M-DAG/PER/9/2015 tentang Angka Pengenal Importir (Berita Negara Republik Indonesia Tahun 2015 Nomor 1516);,
DOC106,Permendag%20No.%2019Tahun%202018.txt,,,,15,,Peraturan Menteri Perdagangan Nomor 08/M-DAG/PER/2/2016 tentang Organisasi dan Tata Kerja Kementerian Perdagangan (Berita Negara Republik Indonesia Tahun 2016 Nomor 202);,
DOC106,Permendag%20No.%2019Tahun%202018.txt,,,,16,,Peraturan Menteri Perdagangan Nomor 64/M-DAG/PER/9/2016 tentang Ketentuan Pemasukan dan Pengeluaran Barang Asal Luar Daerah Pabean ke dan dari Pusat Logistik Berikat (Berita Negara Republik Indonesia Tahun 2016 Nomor 1415); **Menetapkan:** **PERATURAN MENTERI PERDAGANGAN TENTANG KETENTUAN IMPOR PELUMAS.** **Pasal 1** Dalam Peraturan Menteri ini yang dimaksud dengan:,
DOC106,Permendag%20No.%2019Tahun%202018.txt,,,,1,,"Pelumas adalah minyak lumas dan gemuk lumas yang berasal dari minyak bumi, bahan sintetik, pelumas bekas, dan bahan lainnya yang tujuan utamanya untuk pelumasan mesin dan peralatan lainnya.",
DOC106,Permendag%20No.%2019Tahun%202018.txt,,,,2,,Impor adalah kegiatan memasukkan barang ke dalam daerah pabean.,
DOC106,Permendag%20No.%2019Tahun%202018.txt,,,,3,,Persetujuan Impor adalah persetujuan yang digunakan sebagai izin untuk melakukan impor pelumas.,
DOC106,Permendag%20No.%2019Tahun%202018.txt,,,,4,,"Kawasan Pabean adalah kawasan dengan batas-batas tertentu di pelabuhan laut, bandar udara, atau tempat lain yang ditetapkan untuk lalu lintas barang yang sepenuhnya berada di bawah pengawasan Direktorat Jenderal Bea dan Cukai.",
