doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC310,bn19-2009.txt,,,Pasal 1,1,,Perusahaan rekondisi atau remanufakturing adalah perusahaan yang telah memiliki izin usaha industri untuk memproses barang modal bukan baru menjadi produk akhir untuk tujuan ekspor atau memenuhi pesanan pemakai dalam negeri.,
DOC310,bn19-2009.txt,,,Pasal 1,2,,Izin Usaha Industri adalah izin yang diberikan kepada perusahaan untuk melakukan kegiatan usaha industri di bidang usaha pemulihan dan perbaikan barang modal bukan baru yang dikeluarkan oleh instansi berwenang sesuai dengan ketentuan peraturan perundang-undangan.,
DOC310,bn19-2009.txt,,,Pasal 1,3,,Barang modal bukan baru adalah barang sebagaimana tercantum dalam Lampiran Peraturan Menteri Perdagangan Nomor 57/M-DAG/PER/12/2008.,
DOC310,bn19-2009.txt,,,Pasal 1,4,,Rekomendasi adalah surat keterangan yang menjelaskan bahwa perusahaan rekondisi atau remanufakturing mampu dan layak untuk melakukan pemulihan dan perbaikan barang modal bukan baru.,
DOC310,bn19-2009.txt,,,Pasal 1,5,,Kemampuan rekondisi atau remanufakturing adalah kemampuan perusahaan rekondisi atau remanufakturing untuk melakukan pemulihan dan perbaikan barang modal bukan baru untuk difungsikan kembali.,
DOC310,bn19-2009.txt,,,Pasal 1,6,,"Kemampuan Pelayanan Purna Jual adalah kemampuan perusahaan rekondisi atau remanufakturing untuk memberikan: a. Pelayanan Purna Jual Masa Garansi berupa jaminan pemeriksaan, perbaikan dan/atau penggantian bila barang hasil rekondisi/remanufakturing tidak berfungsi; dan b. Pelayanan Purna Jual Pasca Garansi berupa jaminan perawatan berkala, perbaikan, penggantian dan ketersediaan komponen dari barang hasil rekondisi/remanufakturing.",
DOC310,bn19-2009.txt,,,Pasal 1,7,,Survey Kemampuan Perusahaan Rekondisi atau Remanufakturing adalah kegiatan penilaian terhadap kemampuan Perusahaan Rekondisi atau Remanufakturing serta kemampuan pelayanan purna jual.,
DOC310,bn19-2009.txt,,,Pasal 1,8,,"Direktur Jenderal Pembina Industri adalah Direktur Jenderal Industri Logam Mesin Tekstil dan Aneka, serta Direktur Jenderal Industri Alat Transportasi dan Telematika, sesuai dengan pembinaan jenis industrinya.",
DOC310,bn19-2009.txt,,,Pasal 1,9,,"Direktur Pembina Industri adalah Direktur Pembina Industri di lingkungan Direktorat Jenderal Industri Logam, Mesin, Tekstil dan Aneka atau Direktorat Jenderal Industri Alat Transportasi dan Telematika, sesuai dengan pembinaan jenis industrinya. Setiap perusahaan rekondisi atau remanufakturing yang akan melakukan impor barang modal bukan baru wajib memiliki Rekomendasi dari Departemen Perindustrian. Rekomendasi sebagaimana dimaksud pada ayat (1) diterbitkan oleh Direktur Pembina Industri yang bersangkutan sesuai dengan pembinaan jenis industrinya. Permohonan Rekomendasi sebagaimana dimaksud dalam Pasal 2 ayat (1) disampaikan kepada Direktur Pembina Industri yang bersangkutan dengan melampirkan dokumen sebagai berikut: a. Salinan Izin Usaha Industri yang kegiatan usahanya melakukan rekondisi atau remanufakturing; b. Rencana impor barang modal bukan baru yang meliputi jumlah, jenis, spesifikasi teknis dan nomor pos tarif/HS sepuluh digit; c. Hasil Survey kemampuan perusahaan rekondisi atau remanufakturing; d. Bukti surat pemesanan dari pemakai dalam negeri atau luar negeri; dan e. Bukti pernyataan kemampuan pelayanan purna jual.",
DOC310,bn19-2009.txt,,,Pasal 3,,2,"Pelaksanaan survey kemampuan dan pernyataan kemampuan pelayanan purna jual perusahaan rekondisi atau remanufakturing sebagaimana dimaksud pada ayat (1) huruf c, d dan e dilakukan oleh Surveyor Independen yang menjadi anggota IFIA (International Federation of Inspection Agency). Direktur Pembina Industri yang bersangkutan paling lambat 5 (lima) hari kerja sejak diterima permohonan sebagaimana dimaksud dalam Pasal 3 secara lengkap dan benar, menerbitkan: a. Rekomendasi; atau b. Menolak untuk menerbitkan Rekomendasi. Biaya pelaksanaan survey sebagaimana dimaksud dalam Pasal 3 ayat (2) dibebankan kepada Perusahaan rekondisi atau remanufakturing yang bersangkutan dengan besaran nilai yang ditentukan berdasarkan asas manfaat. Ketentuan pelaksanaan Peraturan Menteri ini diatur lebih lanjut dalam pedoman teknis yang ditetapkan dengan Peraturan Direktur Jenderal Pembina Industri yang bersangkutan. Peraturan Menteri ini mulai berlaku pada tanggal ditetapkan dan berakhir pada tanggal 31 Desember 2009. Agar setiap orang mengetahuinya, Peraturan Menteri ini diundangkan dengan penempatannya dalam Berita Negara Republik Indonesia. MENTERI PERINDUSTRIAN REPUBLIK INDONESIA, FAHMI IDRIS Diundangkan di Jakarta pada tanggal 16 Februari 2009 MENTERI HUKUM DAN HAK ASASI MANUSIA REPUBLIK INDONESIA, ANDI MATTALATTA",
