doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC685,kp22-2007.txt,,,,1,,Undang-Undang Dasar Negara Republik Indonesia Tahun 1945;,
DOC685,kp22-2007.txt,,,,2,,"Keputusan Presiden Nomor 54 Tahun 2002 tentang Tim Koordinasi Peningkatan Kelancaran Arus Barang Ekspor dan Impor sebagaimana telah diubah terakhir dengan Keputusan Presiden Nomor 24 Tahun 2005; Menetapkan: PERUBAHAN KEDUA ATAS KEPUTUSAN PRESIDEN NOMOR 54 TAHUN 2002 TENTANG TIM KOORDINASI PENINGKATAN KELANCARAN ARUS BARANG EKSPOR DAN IMPOR. Pasal I Beberapa ketentuan dalam Keputusan Presiden Nomor 54 Tahun 2002 tentang Tim Koordinasi Peningkatan Kelancaran Arus Barang Ekspor dan Impor sebagaimana telah diubah terakhir dengan Keputusan Presiden Nomor 24 Tahun 2005, diubah sebagai berikut: ""Pasal 2 Tim Koordinasi bertugas: a. mengkoordinasikan upaya peningkatan kelancaran penegakan hukum terhadap pelanggaran ketentuan peraturan perundang-undangan atas barang ekspor dan impor beserta alat angkutnya; b. mengkoordinasikan pengintensifan upaya-upaya pemberantasan segala bentuk penyelundupan; c. mengkoordinasikan pemberantasan segala bentuk pungutan-pungutan tidak resmi dalam kegiatan ekspor dan impor; d. mengkoordinasikan perumusan strategi peningkatan kelancaran arus barang ekspor dan impor, termasuk melakukan pengkajian terhadap pungutan-pungutan dalam rangka kegiatan ekspor dan impor; e. mengkoordinasikan perencanaan, pelaksanaan serta evaluasi kegiatan peningkatan kelancaran arus barang ekspor dan impor; f. mengkoordinasikan perencanaan, pelaksanaan dan monitoring kegiatan penataan kepelabuhanan yang dapat mendukung peningkatan kelancaran arus barang ekspor dan impor."" ""Pasal 3",
DOC685,kp22-2007.txt,,,Pasal 3,2,1,"Susunan keanggotaan Tim Koordinasi sebagaimana dimaksud dalam Pasal 1, adalah sebagai berikut: a. Ketua: Menteri Koordinator Bidang Perekonomian; b. Wakil Ketua: Menteri Perhubungan; c. Anggota:",
DOC685,kp22-2007.txt,,,Pasal 3,1,,Menteri Perdagangan;,
DOC685,kp22-2007.txt,,,Pasal 3,2,,Menteri Keuangan;,
DOC685,kp22-2007.txt,,,Pasal 3,3,,Menteri Perindustrian;,
DOC685,kp22-2007.txt,,,Pasal 3,4,,Menteri Negara BUMN;,
DOC685,kp22-2007.txt,,,Pasal 3,5,,Panglima Tentara Nasional Indonesia;,
DOC685,kp22-2007.txt,,,Pasal 3,6,,Kepala Kepolisian Negara Republik Indonesia;,
DOC685,kp22-2007.txt,,,Pasal 3,7,,Jaksa Agung;,
DOC685,kp22-2007.txt,,,Pasal 3,8,,Sekretaris Kabinet; d. Sekretaris: Sekretaris Menteri Koordinator Bidang Perekonomian.,
DOC685,kp22-2007.txt,,,Pasal 3,8,2,"Penyelenggaraan tugas Tim Koordinasi sehari-hari dibantu oleh Tim Pelaksana, yang terdiri dari: a. Ketua: Wakil Sekretaris Kabinet; b. Anggota:",
DOC685,kp22-2007.txt,,,Pasal 3,1,,"Deputi Bidang Koordinasi Infrastruktur dan Pengembangan Wilayah, Kementerian Koordinator Bidang Perekonomian;",
DOC685,kp22-2007.txt,,,Pasal 3,2,,"Deputi Bidang Koordinasi Industri dan Perdagangan, Kementerian Koordinator Bidang Perekonomian;",
DOC685,kp22-2007.txt,,,Pasal 3,3,,"Direktur Jenderal Bea dan Cukai, Departemen Keuangan;",
DOC685,kp22-2007.txt,,,Pasal 3,4,,"Direktur Jenderal Pajak, Departemen Keuangan;",
DOC685,kp22-2007.txt,,,Pasal 3,5,,"Direktur Jenderal Perdagangan Luar Negeri, Departemen Perdagangan;",
DOC685,kp22-2007.txt,,,Pasal 3,6,,"Direktur Jenderal Perhubungan Laut, Departemen Perhubungan;",
DOC685,kp22-2007.txt,,,Pasal 3,7,,"Direktur Jenderal Perhubungan Udara, Departemen Perhubungan;",
DOC685,kp22-2007.txt,,,Pasal 3,8,,"Deputi Sekretaris Kabinet Bidang Hukum, Sekretariat Kabinet;",
DOC685,kp22-2007.txt,,,Pasal 3,9,,Sekretaris Jenderal Departemen Perindustrian;,
DOC685,kp22-2007.txt,,,Pasal 3,10,,"Deputi Bidang Usaha Logistik dan Pariwisata, Kementerian Negara BUMN;",
DOC685,kp22-2007.txt,,,Pasal 3,11,,Kepala Staf Umum TNI;,
DOC685,kp22-2007.txt,,,Pasal 3,12,,Kepala Badan Reserse dan Kriminal Kepolisian Negara Republik Indonesia;,
DOC685,kp22-2007.txt,,,Pasal 3,13,,Jaksa Agung Muda Intelijen Republik Indonesia;,
DOC685,kp22-2007.txt,,,Pasal 3,14,,"Ketua Kamar Dagang dan Industri Indonesia; c. Sekretaris: Sekretaris Direktorat Jenderal Bea dan Cukai, Departemen Keuangan.",
DOC685,kp22-2007.txt,,,Pasal 3,14,3,"Untuk memperlancar pelaksanaan tugas Tim Koordinasi dalam penanganan masalah-masalah tertentu, Ketua Tim Koordinasi dapat membentuk Kelompok Kerja atau Satuan Tugas."" Pasal II Keputusan Presiden ini mulai berlaku pada tanggal ditetapkan. PRESIDEN REPUBLIK INDONESIA, ttd. DR. H. SUSILO BAMBANG YUDHOYONO",
