doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC706,peraturan-bapanas-no-31-tahun-2023.txt,,,,1,,"**Pangan** adalah segala sesuatu yang berasal dari sumber hayati produk pertanian, perkebunan, kehutanan, perikanan, peternakan, perairan, dan air, baik yang diolah maupun tidak diolah yang diperuntukkan sebagai makanan atau minuman bagi konsumsi manusia, termasuk bahan tambahan pangan, bahan baku pangan, dan bahan lainnya yang digunakan dalam penyiapan, pengolahan, dan/atau pembuatan makanan atau minuman.",
DOC706,peraturan-bapanas-no-31-tahun-2023.txt,,,,2,,"**Ekspor Pangan** adalah kegiatan mengeluarkan Pangan dari daerah pabean negara Republik Indonesia yang meliputi wilayah darat, perairan, dan ruang udara di atasnya, tempat-tempat tertentu di zona ekonomi eksklusif, dan landas kontinen.",
DOC706,peraturan-bapanas-no-31-tahun-2023.txt,,,,3,,"**Impor Pangan** adalah kegiatan memasukkan Pangan ke dalam daerah pabean negara Republik Indonesia yang meliputi wilayah darat, perairan, dan ruang udara di atasnya, tempat-tempat tertentu di zona ekonomi eksklusif, dan landas kontinen.",
DOC706,peraturan-bapanas-no-31-tahun-2023.txt,,,,4,,**Kebutuhan Ekspor Pangan** adalah Pangan yang dibutuhkan untuk diekspor.,
DOC706,peraturan-bapanas-no-31-tahun-2023.txt,,,,5,,**Kebutuhan Impor Pangan** adalah Pangan yang dibutuhkan untuk diimpor.,
DOC706,peraturan-bapanas-no-31-tahun-2023.txt,,,,6,,**Cadangan Pangan Pemerintah** yang selanjutnya disingkat CPP adalah persediaan Pangan yang dikuasai dan dikelola oleh pemerintah.,
DOC706,peraturan-bapanas-no-31-tahun-2023.txt,,,,7,,**Badan Pangan Nasional** adalah lembaga pemerintah yang berada di bawah dan bertanggung jawab kepada Presiden yang mempunyai tugas melaksanakan tugas pemerintahan di bidang Pangan.,
DOC706,peraturan-bapanas-no-31-tahun-2023.txt,,,,8,,**Kepala Badan Pangan Nasional** yang selanjutnya disebut Kepala Badan adalah kepala lembaga pemerintah yang mempunyai tugas melaksanakan tugas pemerintahan di bidang Pangan. **Pasal 2** Penetapan Kebutuhan Ekspor Pangan dan Impor Pangan digunakan untuk: a. Usulan penetapan neraca komoditas; dan/atau b. Penyelenggaraan CPP. **Pasal 3** Jenis Pangan untuk penetapan Kebutuhan Ekspor Pangan dan Impor Pangan sebagaimana dimaksud dalam Pasal 2 meliputi:,
DOC706,peraturan-bapanas-no-31-tahun-2023.txt,,,,1,,Beras;,
DOC706,peraturan-bapanas-no-31-tahun-2023.txt,,,,2,,Jagung;,
DOC706,peraturan-bapanas-no-31-tahun-2023.txt,,,,3,,Kedelai;,
DOC706,peraturan-bapanas-no-31-tahun-2023.txt,,,,4,,Gula konsumsi;,
DOC706,peraturan-bapanas-no-31-tahun-2023.txt,,,,5,,Bawang;,
DOC706,peraturan-bapanas-no-31-tahun-2023.txt,,,,6,,Telur unggas;,
DOC706,peraturan-bapanas-no-31-tahun-2023.txt,,,,7,,Daging ruminansia;,
DOC706,peraturan-bapanas-no-31-tahun-2023.txt,,,,8,,Daging unggas;,
DOC706,peraturan-bapanas-no-31-tahun-2023.txt,,,,9,,Cabai;,
DOC706,peraturan-bapanas-no-31-tahun-2023.txt,,,,10,,Minyak goreng; dan,
