doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC708,peraturan-bi-no-7-tahun-2023.txt,,,Pasal 1,1,,Devisa Hasil Ekspor yang selanjutnya disebut DHE adalah devisa yang diterima oleh Eksportir dari hasil ekspor barang dan/atau jasa.,
DOC708,peraturan-bi-no-7-tahun-2023.txt,,,Pasal 1,2,,Devisa Pembayaran Impor yang selanjutnya disebut DPI adalah devisa yang digunakan untuk pembayaran impor barang dan/atau jasa.,
DOC708,peraturan-bi-no-7-tahun-2023.txt,,,Pasal 2,,1,Eksportir wajib menyampaikan informasi mengenai DHE kepada Bank Indonesia.,
DOC708,peraturan-bi-no-7-tahun-2023.txt,,,Pasal 2,,2,Informasi DHE sebagaimana dimaksud pada ayat (1) disampaikan secara daring melalui sistem yang ditetapkan oleh Bank Indonesia.,
DOC708,peraturan-bi-no-7-tahun-2023.txt,,,Pasal 3,,1,"Dalam hal terdapat perubahan data DHE, Eksportir harus melakukan pembetulan data DHE.",
DOC708,peraturan-bi-no-7-tahun-2023.txt,,,Pasal 3,,2,"Pembetulan data DHE sebagaimana dimaksud pada ayat (1) disampaikan kepada kementerian yang menyelenggarakan urusan pemerintahan di bidang keuangan negara sesuai dengan ketentuan kepabeanan. Ketentuan lebih lanjut mengenai penyampaian informasi dan laporan DHE oleh Eksportir diatur dalam Peraturan Anggota Dewan Gubernur. Bagian Kedua Pemasukan, Penempatan, dan Pemanfaatan DHE SDA",
DOC708,peraturan-bi-no-7-tahun-2023.txt,,,Pasal 5,,1,"Eksportir SDA yang memiliki DHE yang berasal dari Ekspor SDA dengan Nilai Ekspor paling sedikit USD250,000.00 (dua ratus lima puluh ribu dolar Amerika Serikat) atau ekuivalennya wajib memasukkan DHE tersebut ke dalam Rekening Khusus DHE SDA pada: a. LPEI; dan/atau b. Bank.",
DOC708,peraturan-bi-no-7-tahun-2023.txt,,,Pasal 5,,2,Pemasukan DHE SDA ke dalam Rekening Khusus DHE SDA pada LPEI sebagaimana dimaksud pada ayat (1) huruf a hanya dilakukan atas transaksi Ekspor Debitur LPEI.,
DOC708,peraturan-bi-no-7-tahun-2023.txt,,,Pasal 5,,3,"Dalam hal DHE SDA diterima dalam bentuk uang tunai di dalam negeri, Eksportir SDA wajib memasukkan DHE SDA tersebut melalui penyetoran ke dalam Rekening Khusus DHE SDA pada Bank.",
DOC708,peraturan-bi-no-7-tahun-2023.txt,,,Pasal 5,,4,Rekening Khusus DHE SDA pada Bank sebagaimana dimaksud pada ayat (1) huruf b dan ayat (3) dapat berupa: a. rekening giro; b. tabungan; atau c. rekening lainnya yang dapat digunakan untuk melakukan transaksi.,
DOC708,peraturan-bi-no-7-tahun-2023.txt,,,Pasal 5,,5,"Eksportir SDA dapat membuka lebih dari 1 (satu) Rekening Khusus DHE SDA pada: a. LPEI sebagaimana dimaksud pada ayat (1) huruf a; dan/atau b. Bank sebagaimana dimaksud pada ayat (1) huruf b, baik pada Bank yang sama maupun Bank yang berbeda. DHE SDA yang telah dimasukkan Eksportir ke dalam Rekening Khusus DHE SDA valuta asing sebagaimana dimaksud dalam Pasal 5 ayat (1) wajib tetap ditempatkan paling sedikit sebesar 30% (tiga puluh persen) dalam sistem keuangan Indonesia selama jangka waktu tertentu.",
DOC708,peraturan-bi-no-7-tahun-2023.txt,,,Pasal 6,,2,Jangka waktu tertentu sebagaimana dimaksud pada ayat (1) paling singkat 3 (tiga) bulan sejak pemasukan ke dalam Rekening Khusus DHE SDA.,
DOC708,peraturan-bi-no-7-tahun-2023.txt,,,Pasal 6,,3,"Eksportir SDA yang tidak memenuhi kewajiban sebagaimana dimaksud pada ayat (1) dikenai sanksi administratif sebagaimana diatur dalam ketentuan peraturan perundang-undangan. Eksportir SDA menempatkan DHE SDA sebagaimana dimaksud dalam Pasal 6 ayat (1) ke dalam instrumen berupa: a. Rekening Khusus DHE SDA di LPEI atau di Bank yang sama; b. instrumen perbankan; c. instrumen keuangan yang diterbitkan oleh LPEI; dan/atau d. instrumen yang diterbitkan oleh Bank Indonesia. Bank Indonesia menetapkan instrumen penempatan DHE SDA sebagaimana dimaksud pada ayat (1) dan pemanfaatan atas penempatan DHE SDA tersebut berdasarkan prinsip: a. sejalan dengan Peraturan Pemerintah mengenai devisa hasil ekspor dari kegiatan pengusahaan, pengelolaan, dan/atau pengolahan sumber daya alam; b. pemanfaatan DHE SDA untuk kebutuhan dalam negeri; dan c. dalam hal terdapat kebutuhan untuk menetapkan instrumen penempatan dan pemanfaatan penempatan DHE SDA lainnya, penetapan tersebut dilakukan oleh Bank Indonesia dengan mengacu pada prinsip sebagaimana dimaksud dalam huruf a dan huruf b. Ketentuan lebih lanjut mengenai pemasukan, penempatan, dan pemanfaatan DHE SDA serta tata cara pengenaan sanksi administratif diatur dalam Peraturan Anggota Dewan Gubernur.",
DOC708,peraturan-bi-no-7-tahun-2023.txt,BAB III KEWAJIBAN IMPORTIR,,Pasal 10,,1,Importir wajib melaporkan DPI kepada Bank Indonesia.,
DOC708,peraturan-bi-no-7-tahun-2023.txt,BAB III KEWAJIBAN IMPORTIR,,Pasal 10,,2,Laporan DPI sebagaimana dimaksud pada ayat (1) diterima Bank Indonesia paling lambat akhir bulan ketiga setelah Bulan PPI.,
DOC708,peraturan-bi-no-7-tahun-2023.txt,BAB III KEWAJIBAN IMPORTIR,,Pasal 10,,3,"Importir yang tidak memenuhi kewajiban sebagaimana dimaksud pada ayat (1) dikenai sanksi administratif berupa: a. teguran tertulis; dan b. penangguhan atas pelayanan impor sesuai dengan ketentuan peraturan perundang-undangan di bidang kepabeanan. GUBERNUR BANK INDONESIA [Nama Pejabat] Laporan DPI sebagaimana dimaksud dalam Pasal 29 ayat (2) terdiri atas: a. informasi Impor pada DPI yang dibayarkan melalui transaksi TT; b. informasi Impor pada DPI yang dibayarkan melalui transaksi Non-TT; c. perubahan informasi pada PPI yang memengaruhi DPI; d. perubahan informasi pada DPI; dan/atau e. informasi DPI yang tidak melalui Bank. Laporan DPI sebagaimana dimaksud dalam Pasal 30 huruf a dan huruf b disampaikan oleh Importir kepada Bank untuk diteruskan kepada Bank Indonesia. Laporan DPI sebagaimana dimaksud dalam Pasal 30 huruf c sampai dengan huruf e disampaikan oleh Importir kepada Bank Indonesia secara daring. Penyampaian Laporan DPI sebagaimana dimaksud dalam Pasal 30 huruf c sampai dengan huruf e berlaku untuk Nilai Impor yang lebih besar dari USD 10,000.00 (sepuluh ribu dolar Amerika Serikat) atau ekuivalennya. Importir harus menyampaikan Laporan DPI sebagaimana dimaksud dalam Pasal 30 huruf c sampai dengan huruf e paling lambat tanggal 5 bulan berikutnya setelah Bulan PPI dan/atau bulan pengeluaran DPI. Dalam hal batas akhir sebagaimana dimaksud pada ayat (2) jatuh pada hari libur, penyampaian Laporan DPI dilakukan pada hari berikutnya. Dalam hal terdapat perubahan data PPI, Importir harus melakukan perubahan data PPI. Perubahan data PPI sebagaimana dimaksud pada ayat (1) disampaikan kepada kementerian yang menyelenggarakan urusan pemerintahan di bidang keuangan negara sesuai dengan ketentuan kepabeanan. Importir wajib melaporkan Nilai DPI sesuai dengan Nilai Impor. Dalam hal nilai DPI lebih besar dari Nilai Impor dengan selisih paling banyak 5% (lima persen) dari Nilai Impor, nilai DPI yang dilaporkan dinyatakan sesuai dengan Nilai Impor sehingga Importir tidak perlu menyampaikan dokumen pendukung. Dalam hal nilai DPI lebih besar dari Nilai Impor dengan selisih melebihi 5% (lima persen) dari Nilai Impor, nilai DPI yang dilaporkan dinyatakan sesuai dengan Nilai Impor jika Importir menyampaikan dokumen pendukung yang memadai. Importir yang tidak memenuhi kewajiban sebagaimana dimaksud pada ayat (1) dikenai sanksi administratif berupa: a. teguran tertulis; dan b. penangguhan atas pelayanan impor sesuai dengan ketentuan peraturan perundang-undangan di bidang kepabeanan. Importir harus menyampaikan dokumen pendukung yang memadai kepada Bank Indonesia secara daring dalam hal: a. pengeluaran DPI dalam bentuk uang tunai; b. pengeluaran DPI melebihi akhir bulan ketiga setelah Bulan PPI; c. pengeluaran DPI tidak melalui Bank; d. DPI tidak dibayar; dan/atau e. selisih lebih Nilai DPI dengan Nilai Impor lebih besar dari 5% (lima persen) dari Nilai Impor. Importir harus menyampaikan dokumen pendukung sebagaimana dimaksud pada ayat (1) paling lambat tanggal 5 bulan berikutnya setelah Bulan PPI dan/atau bulan pengeluaran DPI. Dalam hal batas akhir sebagaimana dimaksud pada ayat (2) jatuh pada hari libur, penyampaian dokumen pendukung dilakukan pada hari berikutnya. Dalam hal pada hari terakhir penyampaian Laporan DPI sebagaimana dimaksud dalam Pasal 32 ayat (2) dan/atau dokumen pendukung sebagaimana dimaksud dalam Pasal 35 ayat (2) terjadi gangguan teknis di Bank Indonesia atau gangguan teknis di Importir yang menyebabkan Importir tidak dapat menyampaikan secara daring, Laporan DPI dan/atau dokumen pendukung tersebut disampaikan secara luring pada hari berikutnya. Dalam hal gangguan teknis sebagaimana dimaksud pada ayat (1) terjadi di Importir, Importir harus menyampaikan pemberitahuan secara tertulis disertai bukti pendukung dari instansi yang berwenang yang menjelaskan terjadinya gangguan teknis kepada Bank Indonesia. Dalam hal kegiatan impor dilakukan oleh PUT, ketentuan mengenai Importir berlaku terhadap Pemilik Barang. PJT harus menyampaikan informasi terkait PPI kepada Pemilik Barang. Ketentuan lebih lanjut mengenai kewajiban Importir dan tata cara pengenaan sanksi administratif diatur dalam Peraturan Anggota Dewan Gubernur. KEWAJIBAN BANK Bagian Kesatu Kewajiban Bank terhadap DHE Bank dapat melakukan pengkreditan pemasukan DHE pada rekening Eksportir jika Message FTMS untuk seluruh pemasukan DHE melalui transaksi TT telah dilengkapi informasi Ekspor sebagaimana dimaksud dalam Pasal 9 ayat (2). Bank melakukan penilaian terhadap kelengkapan informasi Ekspor yang terdapat pada Message FTMS sebagaimana dimaksud pada ayat (1). Bank wajib menyampaikan Laporan Transaksi Non-TT yang dilengkapi informasi Ekspor secara daring kepada Bank Indonesia. Penyampaian Laporan Transaksi Non-TT sebagaimana dimaksud pada ayat (1) wajib dilakukan paling lambat tanggal 5 bulan berikutnya setelah: a. Bulan PPE; dan/atau b. bulan pemasukan DHE. Dalam hal batas akhir sebagaimana dimaksud pada ayat (2) jatuh pada hari libur, penyampaian laporan dilakukan pada hari berikutnya. Tata cara penyampaian Laporan Transaksi Non-TT sebagaimana dimaksud pada ayat (2) mengacu pada ketentuan Bank Indonesia mengenai pemantauan kegiatan lalu lintas devisa Bank dan nasabah. Bagian Kedua Kewajiban Bank terkait Pemasukan, Penempatan, dan Pemanfaatan DHE SDA Bank wajib menyampaikan informasi dan laporan mengenai pemasukan DHE sebagaimana dimaksud dalam Pasal 18 dan penempatan DHE sebagaimana dimaksud dalam Pasal 19 secara lengkap, benar, dan tepat waktu kepada Bank Indonesia. Bank wajib memastikan pelaksanaan pemanfaatan DHE SDA oleh Eksportir sesuai dengan Pasal 20 ayat (1) sampai dengan ayat (9). Bank yang melanggar ketentuan sebagaimana dimaksud pada ayat (1) dan ayat (2) dikenai sanksi administratif berupa: a. teguran tertulis; dan b. kewajiban membayar. Ketentuan sanksi administratif berupa kewajiban membayar sebagaimana dimaksud pada ayat (3) untuk pelanggaran ketentuan sebagaimana dimaksud pada ayat (1) mengacu pada ketentuan Peraturan Bank Indonesia mengenai pemantauan kegiatan lalu lintas devisa Bank dan nasabah. Pengenaan sanksi administratif teguran tertulis sebagaimana dimaksud pada ayat (3) huruf a dan kewajiban membayar sebagaimana dimaksud pada ayat (3) huruf b untuk pelanggaran ketentuan sebagaimana dimaksud pada ayat (2) dilaksanakan sesuai dengan ketentuan yang ditetapkan oleh Bank Indonesia. Informasi pengenaan sanksi administratif kepada Bank sebagaimana dimaksud pada ayat (3) dapat disampaikan oleh Bank Indonesia kepada otoritas terkait. Bank harus memastikan Nasabah yang akan melakukan pembukaan Rekening Khusus DHE SDA sebagaimana dimaksud dalam Pasal 18 ayat (1) huruf b merupakan Eksportir SDA. Bank harus memberikan penanda khusus untuk setiap Rekening Khusus DHE SDA di sistem internal Bank. Bank harus memastikan Transfer Dana Masuk ke dalam Rekening Khusus DHE SDA hanya berasal dari sumber sebagaimana dimaksud dalam Pasal 23 ayat (1). Bank wajib memastikan dana yang akan ditempatkan ke dalam instrumen berupa: a. instrumen perbankan sebagaimana dimaksud dalam Pasal 20 ayat (1) huruf b; b. term deposit operasi pasar terbuka konvensional dalam valuta asing di Bank Indonesia sebagaimana dimaksud dalam Pasal 20 ayat (3) huruf d; dan/atau c. instrumen lainnya yang diterbitkan oleh Bank Indonesia sebagaimana dimaksud dalam Pasal 20 ayat (1) huruf d, berasal dari DHE SDA. Bank harus memberikan penanda khusus untuk: a. setiap instrumen sebagaimana dimaksud pada ayat (1); b. instrumen dana pihak ketiga yang digunakan Bank untuk penempatan ke dalam term deposit operasi pasar terbuka konvensional dalam valuta asing di Bank Indonesia sebagaimana dimaksud pada ayat (1) huruf b; dan/atau c. instrumen dana pihak ketiga yang digunakan Bank untuk penempatan ke dalam instrumen lainnya yang diterbitkan oleh Bank Indonesia sebagaimana dimaksud pada ayat (1) huruf c. Bank hanya dapat melakukan pengaksepan Perintah Transfer Dana untuk Transfer Dana Keluar sebagaimana dimaksud dalam Pasal 25 ayat (1) sepanjang dilengkapi dengan dokumen pendukung. Dokumen pendukung sebagaimana dimaksud pada ayat (1) harus diterima sebelum pelaksanaan penyelesaian transaksi. Bank harus meneruskan informasi kepada Bank Indonesia mengenai penyampaian dokumen pendukung untuk Transfer Dana Keluar sebagaimana dimaksud pada ayat (1). Ketentuan mengenai mekanisme pengaksepan Perintah Transfer Dana dan penyampaian dokumen pendukung untuk Transfer Dana Keluar mengacu pada ketentuan Bank Indonesia mengenai pemantauan kegiatan lalu lintas devisa Bank dan nasabah. Informasi sebagaimana dimaksud dalam Pasal 26 disampaikan oleh Bank kepada Bank Indonesia dalam laporan Rekening Khusus DHE SDA sebagaimana diatur dalam ketentuan Bank Indonesia mengenai pemantauan kegiatan lalu lintas devisa Bank dan nasabah. Ketentuan lebih lanjut mengenai kewajiban Bank terkait pemasukan, penempatan, dan pemanfaatan DHE SDA serta tata cara pengenaan sanksi administratif diatur dalam Peraturan Anggota Dewan Gubernur. Bagian Ketiga Kewajiban Bank terkait DPI Bank hanya dapat melakukan akseptasi Transfer Dana DPI dan mengirimkan Message FTMS untuk pengeluaran DPI melalui transaksi TT jika Perintah Transfer Dana telah dilengkapi dengan informasi Impor sebagaimana dimaksud dalam Pasal 30 huruf a. Bank wajib menyampaikan Laporan Transaksi Non-TT yang dilengkapi informasi Impor secara daring kepada Bank Indonesia. Penyampaian Laporan Transaksi Non-TT sebagaimana dimaksud pada ayat (1) dilakukan paling lambat tanggal 5 bulan berikutnya setelah: a. Bulan PPI; dan/atau b. bulan pengeluaran DPI. Dalam hal batas akhir sebagaimana dimaksud pada ayat (2) jatuh pada hari libur, penyampaian Laporan Transaksi Non-TT dilakukan pada hari berikutnya. Tata cara penyampaian Laporan Transaksi Non-TT sebagaimana dimaksud pada ayat (2) mengacu pada ketentuan Bank Indonesia mengenai pemantauan kegiatan lalu lintas devisa Bank dan nasabah. KEWAJIBAN LPEI LPEI wajib menyampaikan informasi dan laporan mengenai pemasukan DHE sebagaimana dimaksud dalam Pasal 18 dan penempatan DHE sebagaimana dimaksud dalam Pasal 19 secara lengkap, benar, dan tepat waktu kepada Bank Indonesia. LPEI wajib memastikan pelaksanaan pemanfaatan DHE SDA oleh Eksportir sesuai dengan Pasal 20 ayat (1), ayat (2), ayat (3), ayat (4), ayat (8), dan ayat (9). LPEI yang melanggar ketentuan sebagaimana dimaksud pada ayat (1) dan ayat (2) dikenai sanksi administratif berupa: a. teguran tertulis; dan b. kewajiban membayar. Pengenaan sanksi administratif sebagaimana dimaksud pada ayat (3) dilaksanakan sesuai dengan ketentuan yang ditetapkan oleh Bank Indonesia. Informasi pengenaan sanksi administratif kepada LPEI sebagaimana dimaksud pada ayat (3) dapat disampaikan oleh Bank Indonesia kepada otoritas terkait. LPEI harus memastikan Debitur yang akan melakukan pembukaan Rekening Khusus DHE SDA sebagaimana dimaksud dalam Pasal 18 ayat (1) huruf a merupakan Eksportir SDA. LPEI harus memberikan penanda khusus untuk setiap Rekening Khusus DHE SDA di sistem internal LPEI. LPEI harus memastikan Transfer Dana Masuk ke dalam Rekening Khusus DHE SDA hanya berasal dari sumber sebagaimana dimaksud dalam Pasal 23 ayat (1). LPEI hanya dapat menerima DHE SDA debitur LPEI melalui rekening LPEI pada kantor cabang Bank yang berkedudukan di luar negeri. LPEI wajib memindahkan DHE SDA sebagaimana dimaksud pada ayat (1) ke Bank dalam jangka waktu tertentu yang ditetapkan oleh Bank Indonesia. LPEI yang tidak memenuhi kewajiban sebagaimana dimaksud pada ayat (2) dikenai sanksi administratif berupa teguran tertulis. Dengan Rahmat Tuhan Yang Maha Esa",
DOC708,peraturan-bi-no-7-tahun-2023.txt,BAB V,,Pasal 52,1,,Bahwa Devisa Hasil Ekspor (DHE) dapat menjadi sumber dana yang berkesinambungan bagi pembangunan ekonomi nasional dan mendukung terciptanya pasar keuangan yang lebih kuat serta stabilitas ekonomi makro.,
DOC708,peraturan-bi-no-7-tahun-2023.txt,BAB V,,Pasal 52,2,,Bahwa manfaat DHE bagi perekonomian tersebut dapat dicapai dalam hal penempatannya dilakukan melalui sistem keuangan Indonesia.,
DOC708,peraturan-bi-no-7-tahun-2023.txt,BAB V,,Pasal 52,3,,"Bahwa diperlukan pemantauan DHE. Selain DHE, terdapat Devisa Pembayaran Impor (DPI) yang juga perlu dipantau penggunaannya guna mendukung optimalisasi perolehan informasi permintaan devisa pembayaran nasional.",
DOC708,peraturan-bi-no-7-tahun-2023.txt,BAB V,,Pasal 52,4,,"Bahwa untuk menjaga kesinambungan pembangunan nasional, mendukung peningkatan dan ketahanan ekonomi nasional, serta optimalisasi pemanfaatan sumber daya alam yang dipergunakan sebesar-besarnya untuk kemakmuran rakyat, Pemerintah telah menerbitkan kebijakan mengenai pemasukan dan penempatan DHE yang berasal dari kegiatan pengusahaan, pengelolaan, dan/atau pengolahan sumber daya alam ke dalam sistem keuangan Indonesia.",
DOC708,peraturan-bi-no-7-tahun-2023.txt,BAB V,,Pasal 52,5,,"Bahwa dalam rangka mencapai tujuan tersebut, diperlukan pengaturan yang dapat memastikan pemasukan, penempatan, dan pemanfaatan DHE SDA dalam sistem keuangan Indonesia, akurasi pelaporan DPI, serta efektivitas pelaksanaan pengawasannya.",
DOC708,peraturan-bi-no-7-tahun-2023.txt,BAB V,,Pasal 52,6,,Bahwa pengaturan tersebut tetap berlandaskan pada kaedah bahwa setiap Penduduk dapat dengan bebas memiliki dan menggunakan devisa sebagaimana dimaksud dalam Undang-Undang Nomor 24 Tahun 1999 tentang Lalu Lintas Devisa dan Sistem Nilai Tukar.,
DOC708,peraturan-bi-no-7-tahun-2023.txt,BAB V,,Pasal 52,7,,"Bahwa berdasarkan pertimbangan tersebut, perlu menetapkan Peraturan Bank Indonesia tentang Devisa Hasil Ekspor dan Devisa Pembayaran Impor. a. Undang-Undang Nomor 24 Tahun 1999 tentang Lalu Lintas Devisa dan Sistem Nilai Tukar. b. Peraturan Pemerintah Nomor 36 Tahun 2023 tentang Devisa Hasil Ekspor dari Kegiatan Pengusahaan, Pengelolaan dan/atau Pengolahan Sumber Daya Alam. c. Ketentuan peraturan perundang-undangan di bidang kepabeanan. Menetapkan: Peraturan Bank Indonesia Nomor 7 Tahun 2023 tentang Devisa Hasil Ekspor dan Devisa Pembayaran Impor.",
DOC708,peraturan-bi-no-7-tahun-2023.txt,BAB V,,Pasal 1,,1,Devisa Hasil Ekspor yang selanjutnya disingkat DHE adalah Devisa dari hasil kegiatan Ekspor.,
DOC708,peraturan-bi-no-7-tahun-2023.txt,BAB V,,Pasal 1,,2,"Devisa Hasil Ekspor dari Barang Ekspor Sumber Daya Alam yang selanjutnya disebut DHE SDA adalah Devisa hasil kegiatan ekspor barang yang berasal dari kegiatan pengusahaan, pengelolaan, dan/atau pengolahan sumber daya alam.",
DOC708,peraturan-bi-no-7-tahun-2023.txt,BAB V,,Pasal 1,,3,"Devisa Hasil Ekspor dari Barang Ekspor selain Sumber Daya Alam yang selanjutnya disebut DHE Non-SDA adalah Devisa hasil kegiatan ekspor barang dari kegiatan pengusahaan, pengelolaan, dan/atau pengolahan selain sumber daya alam.",
DOC708,peraturan-bi-no-7-tahun-2023.txt,BAB V,,Pasal 1,,4,"Eksportir adalah orang perseorangan atau lembaga atau badan usaha, baik yang berbentuk badan hukum maupun bukan badan hukum, yang melakukan Ekspor.",
DOC708,peraturan-bi-no-7-tahun-2023.txt,BAB V,,Pasal 1,,5,"Eksportir Sumber Daya Alam yang selanjutnya disebut Eksportir SDA adalah Eksportir dalam kegiatan pengusahaan, pengelolaan, dan/atau pengolahan sumber daya alam.",
DOC708,peraturan-bi-no-7-tahun-2023.txt,BAB V,,Pasal 1,,6,"Eksportir Non-Sumber Daya Alam yang selanjutnya disebut Eksportir Non-SDA adalah Eksportir dalam kegiatan pengusahaan, pengelolaan, dan/atau pengolahan selain sumber daya alam.",
DOC708,peraturan-bi-no-7-tahun-2023.txt,BAB V,,Pasal 1,,7,Impor adalah kegiatan memasukkan barang ke dalam daerah pabean sebagaimana dimaksud dalam Undang-Undang mengenai kepabeanan.,
