doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC709,peraturan-bkpm-no-1-tahun-2024.txt,,,,1,,Undang-Undang Nomor ... Tahun ... tentang Kepabeanan;,
DOC709,peraturan-bkpm-no-1-tahun-2024.txt,,,,2,,Undang-Undang Nomor ... Tahun ... tentang Perpajakan;,
DOC709,peraturan-bkpm-no-1-tahun-2024.txt,,,,3,,Undang-Undang Nomor ... Tahun ... tentang Penanaman Modal;,
DOC709,peraturan-bkpm-no-1-tahun-2024.txt,,,,4,,Peraturan Pemerintah Nomor 29 Tahun 2018 tentang Pemberdayaan Industri;,
DOC709,peraturan-bkpm-no-1-tahun-2024.txt,,,,5,,Peraturan Presiden Nomor 79 Tahun 2023 tentang Perubahan atas Peraturan Presiden Nomor 55 Tahun 2019 tentang Percepatan Program Kendaraan Bermotor Listrik Berbasis Baterai (Battery Electric Vehicle) untuk Transportasi Jalan;,
DOC709,peraturan-bkpm-no-1-tahun-2024.txt,,,,6,,"Peraturan Menteri Investasi/Kepala Badan Koordinasi Penanaman Modal Nomor 6 Tahun 2023 tentang Pedoman dan Tata Kelola Pemberian Insentif Impor dan/atau Penyerahan Kendaraan Bermotor Listrik Berbasis Baterai Roda Empat Dalam Rangka Percepatan Investasi sebagaimana telah diubah dengan Peraturan Menteri Investasi dan Hilirisasi/Kepala Badan Koordinasi Penanaman Modal Nomor ........ Menetapkan: KESATU: Peraturan Menteri ini mulai berlaku setelah 15 (lima belas) hari terhitung sejak tanggal diundangkan. KEDUA: Agar setiap orang mengetahuinya, memerintahkan pengundangan Peraturan Menteri ini dengan penempatannya dalam Berita Negara Republik Indonesia. MENTERI INVESTASI DAN HILIRISASI/ KEPALA BADAN KOORDINASI PENANAMAN MODAL REPUBLIK INDONESIA, ROSAN PERKASA ROESLANI Diundangkan di Jakarta pada tanggal 12 November 2024 PLT. DIREKTUR JENDERAL PERATURAN PERUNDANG-UNDANGAN KEMENTERIAN HUKUM REPUBLIK INDONESIA, ASEP N. MULYANA BERITA NEGARA REPUBLIK INDONESIA TAHUN 2024 NOMOR 4309 LAMPIRAN IV DAFTAR HS CODE DAN REFERENSI TARIF KENDARAAN BERMOTOR LISTRIK BERBASIS BATERAI RODA EMPAT | HS CODE | URAIAN | TARIF BEA MASUK | TARIF PREFERENSI | |---------|--------|----------------|------------------| | 8703.80.97 | Sedan | 15% | 50% | | 8703.80.98 | Mobil lainnya (termasuk station wagon dan mobil sport, tetapi tidak termasuk van) | 15% | 50% | | 8703.80.99 | Lain-lain | 15% | 50% | | 8703.80.17 | Sedan | 15% | 10% | | 8703.80.18 | Mobil lainnya (termasuk station wagon dan mobil sport, tetapi tidak termasuk van) | 15% | 10% | | 8703.80.19 | Lain-lain | 15% | 10% | LAMPIRAN IVA FORMAT LAPORAN REALISASI IMPOR KENDARAAN BERMOTOR LISTRIK BERBASIS BATERAI RODA EMPAT KEPADA INDUSTRI KENDARAAN BERMOTOR LISTRIK BERBASIS BATERAI Nama Pelaku Usaha/Perusahaan: Nomor Induk Berusaha: SURAT PERSETUJUAN PEMANFAATAN INSENTIF NO. ..... TANGGAL ...... YANG TERCANTUM DALAM SURAT PERSETUJUAN REALISASI IMPOR | NO | HS CODE | SPESIFIKASI | HARGA PER UNIT (US$) | TOTAL CIF (US$) | TUJUAN UNTUK IMPOR | |----|---------|-------------|----------------------|-----------------|-------------------| |    |         |             |                      |                 |                   | (Nama Kota), (Tanggal) Nama Jelas, Jabatan, Nomor Telepon, email MENTERI INVESTASI DAN HILIRISASI/ KEPALA BADAN KOORDINASI PENANAMAN MODAL REPUBLIK INDONESIA, ROSAN PERKASA ROESLANI LAMPIRAN VA FORMAT PERUBAHAN SURAT PERSETUJUAN PEMANFAATAN INSENTIF IMPOR DAN/ATAU PENYERAHAN KENDARAAN BERMOTOR LISTRIK BERBASIS BATERAI RODA EMPAT PEMERINTAH REPUBLIK INDONESIA SURAT PERSETUJUAN MENTERI INVESTASI DAN HILIRISASI/KEPALA BADAN KOORDINASI PENANAMAN MODAL REPUBLIK INDONESIA TENTANG PERUBAHAN SURAT PERSETUJUAN MENTERI INVESTASI DAN HILIRISASI/KEPALA BADAN KOORDINASI PENANAMAN MODAL REPUBLIK INDONESIA NOMOR......... TANGGAL ....... ATAS NAMA PT... DALAM RANGKA PENANAMAN MODAL a. bahwa perusahaan mengajukan permohonan perubahan surat persetujuan; b. bahwa perusahaan telah memenuhi persyaratan sesuai Peraturan Menteri Investasi/Kepala Badan Koordinasi Penanaman Modal Nomor 6 Tahun 2023 tentang Pedoman dan Tata Kelola Pemberian Insentif Impor dan/atau Penyerahan Kendaraan Bermotor Listrik Berbasis Baterai Roda Empat dalam Rangka Percepatan Investasi sebagaimana telah diubah dengan Peraturan Menteri Investasi dan Hilirisasi/Kepala Badan Koordinasi Penanaman Modal Nomor .......; c. bahwa perusahaan telah memiliki NIB No. .... tanggal ...; d. bahwa perusahaan telah memiliki Insentif Impor dan/atau Penyerahan Kendaraan Bermotor Listrik Berbasis Baterai Roda Empat dalam Rangka Percepatan Investasi sesuai dengan Surat Persetujuan Menteri Investasi/Kepala Badan Koordinasi Penanaman Modal Republik Indonesia Nomor ......... tanggal ......... tentang Pemanfaatan Insentif Impor dan/atau Penyerahan Kendaraan Bermotor Listrik Berbasis Baterai Roda Empat Kepada Industri Kendaraan Bermotor Listrik Berbasis Baterai atas nama ...... dalam Rangka Penanaman Modal.",
DOC709,peraturan-bkpm-no-1-tahun-2024.txt,,,,1,,Undang-Undang Nomor ... Tahun ... tentang Kepabeanan;,
DOC709,peraturan-bkpm-no-1-tahun-2024.txt,,,,2,,Undang-Undang Nomor ... Tahun ... tentang Perpajakan;,
DOC709,peraturan-bkpm-no-1-tahun-2024.txt,,,,3,,Undang-Undang Nomor ... Tahun ... tentang Penanaman Modal;,
DOC709,peraturan-bkpm-no-1-tahun-2024.txt,,,,4,,Peraturan Pemerintah Nomor 29 Tahun 2018 tentang Pemberdayaan Industri;,
