doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC710,peraturan-bpom-no-1-tahun-2024.txt,,,,1,,"bahwa ketentuan mengenai tata cara permohonan analisis hasil pengawasan dalam impor dan ekspor narkotika, psikotropika, dan prekursor farmasi sebagaimana telah diatur dalam Peraturan Badan Pengawas Obat dan Makanan Nomor 26 Tahun 2020 tentang Persyaratan dan Tata Cara Permohonan Analisa Hasil Pengawasan dalam rangka Impor dan Ekspor Narkotika, Psikotropika, dan Prekursor Farmasi sudah tidak sesuai dengan kebutuhan hukum sehingga perlu diganti;",
DOC710,peraturan-bpom-no-1-tahun-2024.txt,,,,2,,"bahwa berdasarkan ketentuan Pasal 3 ayat (1) huruf d Peraturan Presiden Nomor 80 Tahun 2017 tentang Badan Pengawas Obat dan Makanan, Badan Pengawas Obat dan Makanan memiliki fungsi pelaksanaan tugas pengawasan sebelum beredar dan pengawasan selama beredar;",
DOC710,peraturan-bpom-no-1-tahun-2024.txt,,,,3,,"bahwa berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a dan huruf b, perlu menetapkan Peraturan Badan Pengawas Obat dan Makanan tentang Persyaratan dan Tata Cara Permohonan Analisis Hasil Pengawasan dalam rangka Impor dan Ekspor Narkotika, Psikotropika, dan Prekursor Farmasi; Menetapkan: PERATURAN BADAN PENGAWAS OBAT DAN MAKANAN TENTANG PERSYARATAN DAN TATA CARA PERMOHONAN ANALISIS HASIL PENGAWASAN DALAM RANGKA IMPOR DAN EKSPOR NARKOTIKA, PSIKOTROPIKA, DAN PREKURSOR FARMASI. KETENTUAN UMUM Dalam Peraturan Badan ini yang dimaksud dengan:",
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB I,,Pasal 1,1,,"Narkotika adalah zat atau obat yang berasal dari tanaman atau bukan tanaman, baik sintetis maupun semi sintetis, yang dapat menyebabkan penurunan atau perubahan kesadaran, hilangnya rasa, mengurangi sampai menghilangkan rasa nyeri, dan dapat menimbulkan ketergantungan.",
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB I,,Pasal 1,2,,"Psikotropika adalah zat/bahan baku atau obat, baik alamiah maupun sintetis bukan Narkotika, yang berkhasiat psikoaktif melalui pengaruh selektif pada susunan saraf pusat yang menyebabkan perubahan khas pada aktivitas mental dan perilaku.",
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB I,,Pasal 1,3,,Prekursor Farmasi adalah zat atau bahan yang digunakan dalam proses pembuatan narkotika dan psikotropika. KETENTUAN PERMOHONAN AHP,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB II,,Pasal 2,,1,"Setiap permohonan analisis hasil pengawasan (AHP) dalam rangka impor dan ekspor narkotika, psikotropika, dan prekursor farmasi harus diajukan oleh pemohon yang telah memenuhi persyaratan administratif dan teknis.",
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB II,,Pasal 2,,2,Persyaratan administratif dan teknis sebagaimana dimaksud pada ayat (1) meliputi dokumen-dokumen yang ditentukan dalam lampiran peraturan ini. DOKUMEN PERSYARATAN,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB III,,Pasal 3,,1,"Dokumen persyaratan dalam permohonan AHP untuk keperluan impor dengan tujuan kepentingan pelayanan kesehatan adalah sebagai berikut: - Rencana kebutuhan tahunan dari Industri Farmasi yang telah diterbitkan Kementerian Kesehatan pada periode tahun berjalan. - Surat pernyataan belum pernah melakukan impor narkotika, psikotropika, atau prekursor farmasi atau informasi nomor SPI terakhir. - Laporan realisasi impor terakhir pada sistem SINSW. - Laporan realisasi penggunaan bahan baku, produk jadi, dan baku pembanding dari Industri Farmasi pada periode satu tahun sebelumnya dan pada tahun berjalan yang dilaporkan secara daring melalui laman resmi pelaporan kegiatan Industri Farmasi BPOM. - Rencana produksi Industri Farmasi periode tahun berjalan dan satu tahun ke depan yang dilaporkan secara daring melalui laman resmi pelaporan kegiatan Industri Farmasi BPOM. - Rencana kebutuhan periode tahun berjalan dan satu tahun ke depan untuk pengembangan produk yang ditandatangani oleh apoteker penanggung jawab produksi di Industri Farmasi atau pengguna akhir, bila impor dalam rangka pengembangan obat. - Rencana kebutuhan baku pembanding periode tahun berjalan dan satu tahun ke depan yang ditandatangani oleh apoteker penanggung jawab produksi, bila yang impor berupa baku pembanding. - Surat pesanan (purchasing order) dari Industri Farmasi sebagai pengguna akhir. - Surat pesanan (purchasing order) kepada eksportir di negara pengekspor. - Surat keterangan dari BPOM tentang persetujuan penggunaan bahan baku dan/atau baku pembanding untuk keperluan pengembangan produk.",
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB III,,Pasal 3,,2,"Bila belum pernah melakukan impor narkotika, psikotropika, atau prekursor farmasi, maka dokumen persyaratan tidak dipersyaratkan. KETENTUAN PENUTUP Pada saat Peraturan Badan ini mulai berlaku, Peraturan Badan Pengawas Obat dan Makanan Nomor 26 Tahun 2020 tentang Persyaratan dan Tata Cara Permohonan Analisa Hasil Pengawasan dalam rangka Impor dan Ekspor Narkotika, Psikotropika, dan Prekursor Farmasi (Berita Negara Republik Indonesia Tahun 2020 Nomor 1122), dicabut dan dinyatakan tidak berlaku. Peraturan Badan ini mulai berlaku setelah enam bulan terhitung sejak tanggal diundangkan. Agar setiap orang mengetahuinya, memerintahkan pengundangan Peraturan Badan ini dengan penempatannya dalam Berita Negara Republik Indonesia. Plt. KEPALA BADAN PENGAWAS OBAT DAN MAKANAN, ttd. LUCIA RIZKA ANDALUSIA Diundangkan di Jakarta pada tanggal 29 Januari 2024 DIREKTUR JENDERAL PERATURAN PERUNDANG-UNDANGAN KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA REPUBLIK INDONESIA, ttd. ASEP N. MULYANA BERITA NEGARA REPUBLIK INDONESIA TAHUN 2024 NOMOR 63 LAMPIRAN I PERATURAN BADAN PENGAWAS OBAT DAN MAKANAN NOMOR 1 TAHUN 2024 TENTANG PERSYARATAN DAN TATA CARA PERMOHONAN ANALISIS HASIL PENGAWASAN DALAM RANGKA IMPOR DAN EKSPOR NARKOTIKA, PSIKOTROPIKA, DAN PREKURSOR FARMASI A. KETENTUAN PERUBAHAN DATA PEMOHON AHP",
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,1,,Nama fasilitas: Mengajukan pendaftaran kembali sebagai pemohon dengan mengunggah dokumen persyaratan sebagaimana dimaksud dalam Pasal 5 ayat (3) atau ayat (4).,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,2,,Alamat kantor fasilitas: Mengajukan perubahan data pemohon dengan mengunggah dokumen perizinan berusaha terkini sesuai dengan perubahan yang dilakukan.,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,3,,Alamat pabrik fasilitas: Mengajukan perubahan data pemohon.,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,4,,Alamat gudang fasilitas: Mengajukan perubahan data pemohon.,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,5,,Nomor telepon/faksimili: Mengajukan perubahan data pemohon.,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,6,,E-mail: Mengajukan perubahan data pemohon.,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,7,,Nomor pokok wajib pajak (NPWP): Mengajukan perubahan data pemohon dengan mengunggah dokumen perizinan berusaha terkini sesuai dengan perubahan yang dilakukan dan nomor pokok wajib pajak baru.,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,8,,Izin sebagai IP/EP/IT/ET: Mengajukan perubahan data pemohon dengan mengunggah dokumen izin sebagai IP/EP/IT/ET terkini.,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,9,,Nama dan/atau jabatan penanggung jawab: Mengajukan perubahan data pemohon dengan mengunggah dokumen surat penunjukan sebagai penanggung jawab yang baru.,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,10,,Alamat penanggung jawab: Mengajukan perubahan data pemohon.,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,11,,Nomor telepon penanggung jawab: Mengajukan perubahan data pemohon.,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,12,,Email penanggung jawab: Mengajukan perubahan data pemohon. B. DOKUMEN PERSYARATAN DALAM PERMOHONAN AHP UNTUK KEPERLUAN IMPOR DENGAN TUJUAN KEPENTINGAN PELAYANAN KESEHATAN,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,1,,Rencana kebutuhan tahunan dari Industri Farmasi yang telah diterbitkan Kementerian Kesehatan pada periode tahun berjalan.,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,2,,"Surat pernyataan belum pernah melakukan impor narkotika, psikotropika, atau prekursor farmasi atau informasi nomor SPI terakhir.",
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,3,,Laporan realisasi impor terakhir pada sistem SINSW.,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,4,,"Laporan realisasi penggunaan bahan baku, produk jadi, dan baku pembanding dari Industri Farmasi pada periode satu tahun sebelumnya dan pada tahun berjalan yang dilaporkan secara daring melalui laman resmi pelaporan kegiatan Industri Farmasi BPOM.",
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,5,,Rencana produksi Industri Farmasi periode tahun berjalan dan satu tahun ke depan yang dilaporkan secara daring melalui laman resmi pelaporan kegiatan Industri Farmasi BPOM.,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,6,,"Rencana kebutuhan periode tahun berjalan dan satu tahun ke depan untuk pengembangan produk yang ditandatangani oleh apoteker penanggung jawab produksi di Industri Farmasi atau pengguna akhir, bila impor dalam rangka pengembangan obat.",
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,7,,"Rencana kebutuhan baku pembanding periode tahun berjalan dan satu tahun ke depan yang ditandatangani oleh apoteker penanggung jawab produksi, bila yang impor berupa baku pembanding.",
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,8,,Surat pesanan (purchasing order) dari Industri Farmasi sebagai pengguna akhir.,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,9,,Surat pesanan (purchasing order) kepada eksportir di negara pengekspor.,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,10,,Surat keterangan dari BPOM tentang persetujuan penggunaan bahan baku dan/atau baku pembanding untuk keperluan pengembangan produk. C. DOKUMEN PERSYARATAN DALAM PERMOHONAN AHP UNTUK KEPERLUAN EKSPOR,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,1,,"Surat pernyataan belum pernah melakukan ekspor narkotika, psikotropika, atau prekursor farmasi atau informasi nomor SPE terakhir.",
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,2,,Laporan realisasi ekspor periode satu tahun sebelumnya dan pada tahun berjalan pada sistem SINSW.,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,3,,Rencana ekspor selama satu tahun yang ditandatangani oleh apoteker penanggung jawab produksi dari Industri Farmasi.,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,4,,SPI dari negara pengimpor.,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,5,,Surat pesanan (purchasing order) dari importir. D. DOKUMEN PERSYARATAN DALAM PERMOHONAN AHP UNTUK KEPERLUAN IMPOR DENGAN TUJUAN PENGEMBANGAN ILMU PENGETAHUAN,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,1,,Rencana kebutuhan tahunan dari Industri Farmasi atau Lembaga Ilmu Pengetahuan yang telah diterbitkan Kementerian Kesehatan pada periode tahun berjalan.,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,2,,"Surat pernyataan belum pernah melakukan impor narkotika, psikotropika, atau prekursor farmasi atau informasi nomor SPI terakhir.",
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,3,,Laporan realisasi impor terakhir pada sistem SINSW.,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,4,,Laporan realisasi penggunaan dari Industri Farmasi atau Lembaga Ilmu Pengetahuan periode satu tahun sebelumnya dan pada tahun berjalan.,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,5,,Rencana kebutuhan periode tahun berjalan dan satu tahun ke depan yang ditandatangani oleh apoteker penanggung jawab Industri Farmasi atau penanggung jawab Lembaga Ilmu Pengetahuan.,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,6,,Surat pesanan (purchasing order) dari Industri Farmasi atau Lembaga Ilmu Pengetahuan sebagai pengguna akhir.,
DOC710,peraturan-bpom-no-1-tahun-2024.txt,BAB IV,,Pasal 21,7,,Surat pesanan (purchasing order) kepada eksportir di negara pengekspor.,
