doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC711,permen-lhk-no-7-tahun-2024.txt,,,,1,,bahwa salah satu upaya pemerintah dalam mengurangi dampak pemanasan global adalah dengan melakukan pengendalian konsumsi bahan perusak lapisan ozon dan hidrofluorokarbon yang memiliki nilai potensi pemanasan global yang tinggi;,
DOC711,permen-lhk-no-7-tahun-2024.txt,,,,2,,bahwa Indonesia sebagai negara pihak Protokol Montreal yang telah mengesahkan Amendemen Kigali berkewajiban untuk mengendalikan konsumsi bahan perusak lapisan ozon dan hidrofluorokarbon;,
DOC711,permen-lhk-no-7-tahun-2024.txt,,,,3,,"bahwa untuk memberikan kepastian hukum bagi importir bahan perusak lapisan ozon dan hidrofluorokarbon, perlu menyusun tata cara penerbitan rekomendasi persetujuan impor bahan perusak lapisan ozon dan hidrofluorokarbon;",
DOC711,permen-lhk-no-7-tahun-2024.txt,,,,4,,"bahwa berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a, huruf b, dan huruf c, perlu menetapkan Peraturan Menteri Lingkungan Hidup dan Kehutanan tentang Tata Cara Penerbitan Rekomendasi Persetujuan Impor Bahan Perusak Lapisan Ozon dan Hidrofluorokarbon;",
DOC711,permen-lhk-no-7-tahun-2024.txt,,,,1,,"Pasal 17 ayat (3) Undang-Undang Dasar Negara Republik Indonesia Tahun 1945; Menetapkan: PERATURAN MENTERI LINGKUNGAN HIDUP DAN KEHUTANAN TENTANG TATA CARA PENERBITAN REKOMENDASI PERSETUJUAN IMPOR BAHAN PERUSAK LAPISAN OZON DAN HIDROFLUOROKARBON. Importir HFC pemilik NIB yang berlaku sebagai API-U menyampaikan permohonan Rekomendasi Persetujuan Impor HFC dengan mengunggah hasil pindai dokumen asli melalui SINSW meliputi: a. data barang yang akan diimpor; b. rencana distribusi dari barang yang akan diimpor; c. realisasi Impor dan distribusi tahun sebelumnya; d. Persetujuan Impor HFC tahun sebelumnya; e. lembar data keselamatan (LDK) atau Safety Data Sheet (SDS); dan f. certificate of analysis (CoA). Dalam hal Importir pemilik NIB yang berlaku sebagai API-U mengajukan permohonan Rekomendasi Persetujuan Impor HFC untuk tahun takwim 2024 namun belum memiliki Persetujuan Impor HFC sebagaimana dimaksud pada ayat (1) huruf d, Importir pemegang API-U harus melampirkan dokumen Pemberitahuan Impor Barang (PIB) dan Surat Persetujuan Pengeluaran Barang (SPPB) HFC tahun sebelumnya. Jangka waktu penyampaian permohonan Rekomendasi Persetujuan Impor HFC sebagaimana dimaksud pada Pasal 1 dilakukan paling lama minggu pertama bulan Desember pada tahun sebelum masa berlaku Alokasi Impor Nasional HFC. Importir HFC pemilik NIB yang berlaku sebagai API-P menyampaikan permohonan Rekomendasi Persetujuan Impor HFC sebagaimana dimaksud dalam Pasal 14 ayat (3) huruf c dengan mengunggah hasil pindai dokumen asli melalui SINSW meliputi: a. data barang yang akan diimpor; b. data produksi barang menggunakan HFC selama 1 (satu) tahun sebelum dilakukan Impor; c. data rencana produksi barang menggunakan HFC selama 1 (satu) tahun ke depan; d. data fasilitas produksi; e. lembar data keselamatan (LDK) atau safety data sheet (SDS); dan f. certificate of analysis (CoA). Jangka waktu penyampaian permohonan Rekomendasi Persetujuan Impor HFC sebagaimana dimaksud pada Pasal 4 dilakukan paling lama minggu pertama bulan Desember pada tahun sebelum masa berlaku Alokasi Impor Nasional HFC. Penetapan Alokasi Impor Nasional HFC dilakukan setiap tahun melalui rapat teknis yang diselenggarakan oleh Direktur Jenderal. Rapat teknis sebagaimana dimaksud pada ayat (1) melibatkan kementerian/lembaga yang menyelenggarakan urusan pemerintahan di bidang: a. perdagangan; b. perindustrian; c. keuangan; d. kelautan dan perikanan; dan e. pengelolaan KPBPB Batam. Hasil rapat teknis sebagaimana dimaksud pada Pasal 6 ayat (2) dituangkan dalam Berita Acara sebagai dasar Penetapan Alokasi Impor Nasional HFC. Penetapan Alokasi Impor Nasional HFC sebagaimana dimaksud pada ayat (3) disampaikan kepada kementerian/lembaga sebagaimana dimaksud pada ayat (2). Jangka waktu Penetapan Alokasi Impor Nasional HFC sebagaimana dimaksud pada Pasal 7 dilakukan paling lama minggu kedua bulan Desember pada tahun sebelum masa berlaku Alokasi Impor Nasional HFC. Permohonan Rekomendasi Persetujuan Impor HFC yang diajukan oleh Importir HFC melalui SINSW sebagaimana dimaksud dalam Pasal 15 ayat (1) dan Pasal 16 ayat (1), terintegrasi ke REKOMBPO. Permohonan Rekomendasi Persetujuan Impor HFC sebagaimana dimaksud pada Pasal 9 ayat (1) diverifikasi oleh Direktur Jenderal dengan mempertimbangkan: a. persyaratan permohonan Rekomendasi Persetujuan Impor HFC sebagaimana dimaksud dalam Pasal 15 ayat (1) dan Pasal 16 ayat (1); b. Alokasi Impor Nasional HFC; dan c. data historis Impor HFC. Jangka waktu verifikasi permohonan Rekomendasi Persetujuan Impor HFC dilakukan paling lama 5 (lima) hari kerja setelah Penetapan Alokasi Impor Nasional HFC. Dalam hal permohonan Rekomendasi Persetujuan Impor HFC dinyatakan diterima secara lengkap dan benar, Direktur Jenderal menerbitkan Rekomendasi Persetujuan Impor HFC. Rekomendasi Persetujuan Impor HFC sebagaimana dimaksud pada ayat (5) diterbitkan melalui REKOMBPO yang terintegrasi dengan SINSW. Rekomendasi Persetujuan Impor HFC sebagaimana dimaksud pada Pasal 12 ayat (6) berlaku selama 1 (satu) tahun takwim. Dalam hal permohonan Rekomendasi Persetujuan Impor HFC dinyatakan ditolak, pemberitahuan penolakan disampaikan secara elektronik melalui SINSW kepada Importir. Importir sebagaimana dimaksud pada Pasal 13 ayat (8) dapat mengajukan kembali permohonan Rekomendasi Persetujuan Impor HFC setelah memperbaiki semua persyaratan sebagaimana dimaksud pada ayat (3) huruf a melalui SINSW. Importir HFC dapat mengajukan permohonan perubahan Rekomendasi Persetujuan Impor HFC yang telah diterbitkan selama dalam tahun takwim melalui SINSW. Permohonan perubahan Rekomendasi Persetujuan Impor HFC sebagaimana dimaksud pada ayat (1) dapat dilakukan dalam hal terjadi perubahan: a. jenis HFC, pos tarif/ harmonized system, uraian barang, dan jumlah barang; dan/atau b. negara asal, pelabuhan muat, dan/atau pelabuhan tujuan. Dalam hal Rekomendasi Persetujuan Impor HFC dilakukan perubahan sebagaimana dimaksud dalam Pasal 15 ayat (2) huruf a hanya untuk ke jenis HFC dengan nilai potensi pemanasan global lebih rendah sebagaimana tercantum dalam Lampiran II yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini. Permohonan perubahan Rekomendasi Persetujuan Impor HFC sebagaimana dimaksud pada ayat (1) memperhatikan sisa alokasi yang dimiliki dan waktu yang tersedia untuk merealisasikan perubahan. Permohonan perubahan Rekomendasi Persetujuan Impor HFC sebagaimana dimaksud pada ayat (1) hanya dapat dilakukan 1 (satu) kali dalam satu tahun takwim paling lambat minggu kedua bulan Juni. Perubahan Rekomendasi Persetujuan Impor HFC sebagaimana dimaksud pada ayat (1) dilakukan melalui mekanisme rapat teknis yang diselenggarakan oleh Direktur Jenderal. Dalam hal permohonan perubahan Rekomendasi Persetujuan Impor HFC sebagaimana dimaksud pada ayat (1) dinyatakan diterima, Direktur Jenderal menerbitkan perubahan Rekomendasi Persetujuan Impor HFC melalui REKOMBPO yang terintegrasi dengan SINSW. Dalam hal permohonan perubahan Rekomendasi Persetujuan Impor HFC sebagaimana dimaksud pada ayat (1) dinyatakan ditolak, pemberitahuan penolakan disampaikan secara elektronik melalui SINSW. Permohonan perubahan Rekomendasi Persetujuan Impor HFC sebagaimana dimaksud dalam Pasal 15 ayat (2) huruf b dilakukan selama tahun takwim. Dalam hal Rekomendasi Persetujuan Impor HFC dilakukan perubahan sebagaimana dimaksud pada ayat (1) dilakukan verifikasi oleh Direktur Jenderal. Dalam hal permohonan perubahan Rekomendasi Persetujuan Impor HFC sebagaimana dimaksud pada ayat (1) dinyatakan diterima, Direktur Jenderal menerbitkan perubahan Rekomendasi Persetujuan Impor HFC melalui REKOMBPO yang terintegrasi dengan SINSW. Dalam hal permohonan perubahan Rekomendasi Persetujuan Impor HFC sebagaimana dimaksud pada ayat (1) dinyatakan ditolak, pemberitahuan penolakan disampaikan secara elektronik melalui SINSW. Importir HFC harus melaporkan: a. realisasi Impor dan distribusi HFC yang terealisasi dan tidak terealisasi, bagi Importir pemilik NIB yang berlaku sebagai API-U; atau b. realisasi Impor dan penggunaan HFC sebagai bahan penolong produksi yang terealisasi dan tidak terealisasi, bagi Importir pemilik NIB yang berlaku sebagai API-P. Laporan sebagaimana dimaksud pada Pasal 19 ayat (1) dilakukan melalui SINSW. PEMANTAUAN DAN EVALUASI Dalam rangka menjamin: a. realisasi Impor dan distribusi BPO dan/atau HFC bagi Importir pemilik NIB yang berlaku sebagai API-U; b. realisasi Impor dan penggunaan BPO untuk pemeliharaan peralatan pendingin bagi Importir pemilik NIB yang berlaku sebagai API-P; dan/atau c. realisasi Impor dan penggunaan HFC sebagai bahan penolong produksi bagi Importir pemilik NIB yang berlaku sebagai API-P, tepat sasaran, Direktur Jenderal melakukan pemantauan lapangan dan/atau pertemuan daring dengan metode uji petik. Evaluasi realisasi Impor BPO diselenggarakan setiap kuartal oleh Direktur Jenderal dengan melibatkan kementerian/lembaga yang menyelenggarakan urusan pemerintahan di bidang: a. perdagangan; b. perindustrian; c. pertanian; d. perkarantinaan; dan e. keuangan. Evaluasi realisasi Impor HFC diselenggarakan setiap kuartal oleh Direktur Jenderal dengan melibatkan kementerian/lembaga yang menyelenggarakan urusan pemerintahan di bidang: a. perdagangan; b. perindustrian; c. keuangan; d. kelautan dan perikanan; dan e. pengelolaan KPBPB Batam. Direktur Jenderal menyampaikan laporan atas hasil pemantauan dan evaluasi sebagaimana dimaksud dalam Pasal 21 dan Pasal 22 kepada Menteri sebagai salah satu dasar pertimbangan dalam Penetapan Alokasi Impor Nasional BPO dan HFC tahun berikutnya. Laporan sebagaimana dimaksud pada ayat (1) disampaikan paling sedikit 1 (satu) kali dalam 1 (satu) tahun. KETENTUAN PENUTUP Peraturan Menteri ini mulai berlaku pada tanggal diundangkan. Agar setiap orang mengetahuinya, memerintahkan pengundangan Peraturan Menteri ini dengan penempatannya dalam Berita Negara Republik Indonesia. pada tanggal 14 Mei 2024 MENTERI LINGKUNGAN HIDUP DAN KEHUTANAN REPUBLIK INDONESIA, SITI NURBAYA Diundangkan di Jakarta pada tanggal 16 Mei 2024 DIREKTUR JENDERAL PERATURAN PERUNDANG-UNDANGAN KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA REPUBLIK INDONESIA, ASEP N. MULYANA BERITA NEGARA REPUBLIK INDONESIA TAHUN 2024 NOMOR 958 LAMPIRAN I PERATURAN MENTERI LINGKUNGAN HIDUP DAN KEHUTANAN REPUBLIK INDONESIA NOMOR 7 TAHUN 2024 TENTANG TATA CARA PENERBITAN REKOMENDASI PERSETUJUAN IMPOR BAHAN PERUSAK LAPISAN OZON DAN HIDROFLUOROKARBON BPO YANG DIKENDALIKAN A. METIL BROMIDA Barang Number Number Turunan halogenasi dari hidrokarbon - Turunan brominasi atau iodinasi dari hidrokarbon asiklik: 2903.61.00 - Metil Bromida (Bromometana) B. NON METIL BROMIDA Pos Tarif Uraian Barang ODP GWP Number SENYAWA TUNGGAL Turunan halogenasi dari hidrokarbon - Turunan halogenisasi dari hidrokarbon asiklik mengandung dua atau lebih halogen yang berbeda: 2903.71.0 - Klorodifluorometana (HCFC-22) 2903.72.0 - Diklorotrifluoroetana (HCFC-123) ex 2903.73.0 - Diklorofluoroetana (HCFC-141) ex 2903.74.0 - Klorodifluoroetana (HCFC-142, 142b) SENYAWA CAMPURAN (BLEND) YANG MENGANDUNG HCFC Dengan Rahmat Tuhan Yang Maha Esa",
DOC711,permen-lhk-no-7-tahun-2024.txt,BAB V,,Pasal 25,1,,"Bahwa untuk melaksanakan ketentuan dalam peraturan perundang-undangan yang berlaku, perlu menetapkan kebijakan dan pengaturan impor bahan yang dapat merusak lapisan ozon dan hidrofluorokarbon.",
DOC711,permen-lhk-no-7-tahun-2024.txt,BAB V,,Pasal 25,2,,"Bahwa pengendalian penggunaan bahan perusak lapisan ozon dan hidrofluorokarbon merupakan bagian dari upaya perlindungan lingkungan hidup. a. Undang-Undang Nomor 32 Tahun 2009 tentang Perlindungan dan Pengelolaan Lingkungan Hidup; b. Undang-Undang Nomor 11 Tahun 2020 tentang Cipta Kerja; c. Peraturan Pemerintah Nomor 74 Tahun 2001 tentang Pengelolaan Bahan Berbahaya dan Beracun; d. Peraturan Presiden Nomor 33 Tahun 2005 tentang Pengesahan Amendment Beijing to Montreal Protocol on Substances that Deplete the Ozone Layer; e. Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor 15 Tahun 2021 tentang Organisasi dan Tata Kerja Kementerian Lingkungan Hidup dan Kehutanan. Menetapkan Peraturan Menteri Lingkungan Hidup dan Kehutanan Republik Indonesia Nomor 7 Tahun 2024 tentang Tata Cara Penerbitan Rekomendasi Persetujuan Impor Bahan Perusak Lapisan Ozon dan Hidrofluorokarbon. Lampiran II Target Penghapusan Konsumsi Bahan Perusak Ozon (BPO): a. Jadwal pengurangan konsumsi BPO non metil bromida secara bertahap untuk Negara Artikel-5 (termasuk Indonesia): - Tahun baseline: 2009 dan 2010 - Freeze: 2013 - Tahap 1: 2015, pengurangan 10% - Tahap 2: 2020, pengurangan 35% - Tahap 3: 2025, pengurangan 67.5% - Tahap 4: 2030, pengurangan 97.5% b. Pengendalian produksi dan konsumsi BPO Metil bromida yang berlaku bagi Negara Artikel-5, kecuali untuk penggunaan pada kegiatan karantina dan pra-pengapalan (Quarantine and Pre-shipment, QPS): - Baseline Rata-rata konsumsi Metil Bromida tahun 1995-1998 - Freeze: 1 Januari 2002 - Pengurangan: 1 Januari 2005, pengurangan 20% - Pengurangan: 1 Januari 2015, dimungkinkan pengecualian untuk 100% penggunaan kritis. Lampiran III HFC yang Dikendalikan: A. HFC Senyawa Tunggal:",
DOC711,permen-lhk-no-7-tahun-2024.txt,BAB V,,Pasal 25,1,,"HFC-23 (Trifluorometan) - CAS Number: 75-46-7, Nilai GWP: 14800",
DOC711,permen-lhk-no-7-tahun-2024.txt,BAB V,,Pasal 25,2,,"HFC-32 (Difluorometan) - CAS Number: 75-10-5, Nilai GWP: 675",
DOC711,permen-lhk-no-7-tahun-2024.txt,BAB V,,Pasal 25,3,,"HFC-41 (Fluorometana) - CAS Number: 593-53-3, Nilai GWP: 92",
