doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC713,permendag-no-16-tahun-2024.txt,,,,1,,Pasal 17 ayat (3) Undang-Undang Dasar Negara Republik Indonesia Tahun 1945;,
DOC713,permendag-no-16-tahun-2024.txt,,,,7,,Peraturan Menteri Perdagangan Nomor 29 Tahun 2022 tentang Organisasi dan Tata Kerja Kementerian Perdagangan (Berita Negara Republik Indonesia Tahun 2022 Nomor 492); MENETAPKAN: PERATURAN MENTERI PERDAGANGAN TENTANG KETENTUAN ASAL BARANG DAN SURAT KETERANGAN ASAL UNTUK BARANG IMPOR DALAM PELAKSANAAN TINDAKAN PENGAMANAN PERDAGANGAN. Dalam Peraturan Menteri ini yang dimaksud dengan:,
DOC713,permendag-no-16-tahun-2024.txt,,,Pasal 1,1,,Ketentuan Asal Barang yang selanjutnya disingkat KAB adalah peraturan perundang-undangan dan/atau ketentuan administratif yang bersifat umum untuk menentukan negara asal barang.,
DOC713,permendag-no-16-tahun-2024.txt,,,Pasal 1,2,,Surat Keterangan Asal untuk barang asal negara pengekspor yang selanjutnya disebut SKA adalah dokumen yang diterbitkan oleh instansi penerbit surat keterangan asal di negara pengekspor untuk membuktikan bahwa barang yang diekspor dari negara pengekspor telah memenuhi KAB.,
DOC713,permendag-no-16-tahun-2024.txt,,,Pasal 1,3,,SKA Preferensi adalah dokumen yang digunakan oleh negara pengekspor atas barang asal negara pengekspor untuk memperoleh fasilitas pengurangan atau pembebasan tarif bea masuk yang diberikan oleh Indonesia berdasarkan perjanjian internasional.,
DOC713,permendag-no-16-tahun-2024.txt,,,Pasal 1,4,,SKA Non Preferensi adalah dokumen yang digunakan oleh negara pengekspor atas barang asal negara pengekspor tanpa memperoleh fasilitas pengurangan atau pembebasan tarif bea masuk yang diberikan oleh Indonesia berdasarkan perjanjian internasional.,
DOC713,permendag-no-16-tahun-2024.txt,,,Pasal 1,5,,Tindakan Pengamanan Perdagangan adalah tindakan yang diambil pemerintah untuk memulihkan kerugian serius atau mencegah ancaman kerugian serius yang diderita oleh industri dalam negeri sebagai akibat dari lonjakan jumlah barang impor baik secara absolut maupun relatif terhadap barang sejenis atau barang yang secara langsung bersaing.,
DOC713,permendag-no-16-tahun-2024.txt,,,Pasal 1,6,,Impor adalah kegiatan memasukkan barang ke dalam daerah pabean.,
DOC713,permendag-no-16-tahun-2024.txt,,,Pasal 1,7,,"Importir adalah orang perseorangan atau lembaga atau badan usaha, baik yang berbentuk badan hukum maupun bukan badan hukum, yang melakukan Impor.",
DOC713,permendag-no-16-tahun-2024.txt,,,Pasal 1,8,,"Barang adalah barang mentah, barang setengah jadi, atau barang jadi.",
DOC713,permendag-no-16-tahun-2024.txt,,,Pasal 1,9,,Menteri adalah menteri yang menyelenggarakan urusan pemerintahan di bidang perdagangan.,
DOC713,permendag-no-16-tahun-2024.txt,,,Pasal 1,10,,"Direktur Jenderal adalah Direktur Jenderal Perdagangan Luar Negeri, Kementerian Perdagangan.",
DOC713,permendag-no-16-tahun-2024.txt,,,Pasal 1,11,,Otoritas Kepabeanan adalah Direktorat Jenderal Bea dan Cukai Kementerian Keuangan.,
DOC713,permendag-no-16-tahun-2024.txt,,,Pasal 2,1,,Barang Impor yang berasal dari negara berkembang dapat dikecualikan dari pengenaan Tindakan Pengamanan Perdagangan sesuai dengan ketentuan peraturan perundang-undangan.,
