doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC005,188~PMK.010~2015Per.txt,,,Pasal 3,,1,"Pembebasan bea masuk atas impor mesin untuk pembangunan industri sebagaimana dimaksud dalam Pasal 2 ayat (1), diberikan untuk jangka waktu pengimporan selama 2 (dua) tahun terhitung sejak berlakunya keputusan pembebasan bea masuk.",
DOC005,188~PMK.010~2015Per.txt,,,Pasal 3,,2,"Jangka waktu pengimporan sebagaimana dimaksud pada ayat (1), dapat diperpanjang sesuai dengan jangka waktu pembangunan industri tersebut sebagaimana tercantum dalam surat persetujuan penanaman modal.",
DOC005,188~PMK.010~2015Per.txt,,,Pasal 3,,3,"Perusahaan yang telah menyelesaikan pembangunan industri sebagaimana dimaksud pada ayat (1) dan ayat (2) serta siap produksi, kecuali bagi industri yang menghasilkan jasa, dapat diberikan pembebasan bea masuk atas impor barang dan bahan untuk keperluan produksi paling lama 2 (dua) tahun, sesuai kapasitas terpasang dengan jangka waktu pengimporan selama 2 (dua) tahun terhitung sejak berlakunya keputusan pembebasan bea masuk.",
DOC005,188~PMK.010~2015Per.txt,,,Pasal 3,,4,"Perusahaan yang telah memperoleh fasilitas sebagaimana dimaksud pada ayat (3) tetapi belum merealisasikan seluruh importasi barang dan bahan dalam jangka waktu 2 (dua) tahun, dapat diberikan perpanjangan waktu importasi selama 1 (satu) tahun terhitung sejak tanggal berakhirnya fasilitas pembebasan bea masuk berdasarkan keputusan sebagaimana dimaksud pada ayat (3).",
DOC005,188~PMK.010~2015Per.txt,,,Pasal 3,,5,"Dalam hal perpanjangan jangka waktu importasi sebagaimana dimaksud pada ayat (4) dilakukan setelah berakhirnya masa berlaku jangka waktu importasi, jangka waktu importasi dapat diberikan sejak tanggal ditetapkan dengan masa importasi selama 1 (satu) tahun dikurangi masa keterlambatan pengajuan. Ketentuan Pasal 4 diubah dengan menambahkan 1 (satu) ayat yakni ayat (5), sehingga Pasal 4 berbunyi sebagai berikut:",
DOC005,188~PMK.010~2015Per.txt,,,Pasal 4,,1,"Pembebasan bea masuk atas impor mesin dalam rangka pengembangan industri, diberikan untuk jangka waktu pengimporan selama 2 (dua) tahun terhitung sejak berlakunya keputusan pembebasan bea masuk.",
DOC005,188~PMK.010~2015Per.txt,,,Pasal 4,,2,"Jangka waktu pengimporan sebagaimana dimaksud pada ayat (1), dapat diperpanjang sesuai dengan jangka waktu pengembangan industri tersebut sebagaimana tercantum dalam surat persetujuan penanaman modal.",
DOC005,188~PMK.010~2015Per.txt,,,Pasal 4,,3,"Perusahaan yang telah menyelesaikan pengembangan industri, kecuali bagi industri yang menghasilkan jasa, sepanjang menambah kapasitas paling sedikit 30% (tiga puluh persen) dari kapasitas terpasang, dapat diberikan pembebasan bea masuk atas barang dan bahan untuk keperluan tambahan produksi paling lama 2 (dua) tahun, untuk jangka waktu pengimporan selama 2 (dua) tahun sejak berlakunya keputusan pembebasan bea masuk.",
DOC005,188~PMK.010~2015Per.txt,,,Pasal 4,,4,"Perusahaan yang telah memperoleh fasilitas pembebasan bea masuk sebagaimana dimaksud pada ayat (3) tetapi belum merealisasikan seluruh importasinya dalam jangka waktu 2 (dua) tahun, dapat diberikan perpanjangan waktu importasi selama 1 (satu) tahun terhitung sejak tanggal berakhirnya fasilitas pembebasan bea masuk sebagaimana dimaksud pada ayat (3).",
DOC005,188~PMK.010~2015Per.txt,,,Pasal 4,,5,"Dalam hal perpanjangan jangka waktu importasi sebagaimana dimaksud pada ayat (4) dilakukan setelah berakhirnya masa berlaku jangka waktu importasi, jangka waktu importasi dapat diberikan sejak tanggal ditetapkan dengan masa importasi selama 1 (satu) tahun dikurangi masa keterlambatan pengajuan. Di antara Pasal 5A dan Pasal 6 disisipkan 1 (satu) pasal, yakni Pasal 5B yang berbunyi sebagai berikut:",
DOC005,188~PMK.010~2015Per.txt,,,Pasal 5B,,1,"Perusahaan yang melakukan pembangunan, kecuali bagi industri yang menghasilkan jasa, dengan menggunakan mesin produksi asal impor yang dibeli di dalam negeri, dapat diberikan pembebasan bea masuk atas impor barang dan bahan untuk keperluan produksi selama 2 (dua) tahun sesuai kapasitas terpasang, dengan jangka waktu pengimporan selama 2 (dua) tahun terhitung sejak tanggal berlakunya keputusan pembebasan bea masuk.",
DOC005,188~PMK.010~2015Per.txt,,,Pasal 5B,,2,"Perusahaan yang melakukan pengembangan, kecuali bagi industri yang menghasilkan jasa, dengan menggunakan mesin produksi asal impor yang dibeli di dalam negeri, sepanjang menambah kapasitas paling sedikit 30% (tiga puluh persen) dari kapasitas terpasang, dapat diberikan pembebasan bea masuk atas impor barang dan bahan untuk keperluan tambahan produksi selama 2 (dua) tahun sesuai kapasitas terpasang, dengan jangka waktu pengimporan selama 2 (dua) tahun terhitung sejak berlakunya keputusan pembebasan bea masuk.",
DOC005,188~PMK.010~2015Per.txt,,,Pasal 5B,,3,"Perusahaan yang telah memperoleh fasilitas pembebasan bea masuk sebagaimana dimaksud pada ayat (1) dan ayat (2) tetapi belum merealisasikan seluruh importasinya dalam jangka waktu 2 (dua) tahun, dapat diberikan perpanjangan waktu importasi selama 1 (satu) tahun terhitung sejak tanggal berakhirnya fasilitas pembebasan bea masuk.",
DOC005,188~PMK.010~2015Per.txt,,,Pasal 5B,,4,"Dalam hal perpanjangan jangka waktu importasi sebagaimana dimaksud pada ayat (3) dilakukan setelah berakhirnya masa berlaku jangka waktu importasi, jangka waktu importasi dapat diberikan sejak tanggal ditetapkan dengan masa importasi selama 1 (satu) tahun dikurangi masa keterlambatan pengajuan. Pasal II Peraturan Menteri ini mulai berlaku pada tanggal diundangkan. Agar setiap orang mengetahuinya, memerintahkan pengundangan Peraturan Menteri ini dengan penempatannya dalam Berita Negara Republik Indonesia. pada tanggal 30 September 2015 MENTERI KEUANGAN REPUBLIK INDONESIA, ttd. BAMBANG P. S. BRODJONEGORO Diundangkan di Jakarta Pada tanggal 30 September 2015 MENTERI HUKUM DAN HAK ASASI MANUSIA REPUBLIK INDONESIA, ttd. YASONNA H. LAOLY BERITA NEGARA REPUBLIK INDONESIA TAHUN 2015 NOMOR 1472",
