doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC006,2011 PMK 254.txt,BAB VI,,Pasal 17,,1,Perusahaan wajib mempertanggungjawabkan pelaksanaan Ekspor sebagaimana dimaksud dalam Pasal 15 dengan menyerahkan laporan pertanggungjawaban kepada Kepala Kantor Wilayah atau KPU secara berkala paling lama 6 (enam) bulan sekali selama dalam periode Pembebasan.,
DOC006,2011 PMK 254.txt,BAB VI,,Pasal 17,,2,"Laporan pertanggungjawaban sebagaimana dimaksud pada ayat (1) harus dilampiri dengan: a. dokumen pemberitahuan pabean impor yang telah mendapatkan persetujuan keluar pejabat bea dan cukai; b. dokumen pemberitahuan pabean ekspor yang telah mendapat persetujuan Ekspor; c. salinan bukti penerimaan transaksi Ekspor berupa buku piutang, letter of credit, rekening koran, telegraphic transfer dan/atau dokumen yang membuktikan adanya transaksi Ekspor; d. laporan pemeriksaan Ekspor; dan e. daftar konversi dari pemakaian Bahan Baku yang dimintakan Pembebasan sebagaimana dimaksud dalam Pasal 6 ayat (1) huruf e dan Pasal 13 ayat (1).",
DOC006,2011 PMK 254.txt,BAB VI,,Pasal 17,,3,"Terhadap Perusahaan yang tidak menyerahkan konversi sebagaimana dimaksud dalam Pasal 13 ayat (1), Bahan Baku yang digunakan oleh Perusahaan untuk memproduksi Hasil Produksi dimaksud tidak diberi Pembebasan.",
DOC006,2011 PMK 254.txt,BAB VI,,Pasal 17,,4,Ketentuan sebagaimana dimaksud pada ayat (2) huruf a dan huruf b tidak berlaku bagi Perusahaan yang melakukan Impor dan Ekspor barang melalui Kantor Pabean yang telah menerapkan ketentuan Pertukaran Data Elektronik (PDE).,
DOC006,2011 PMK 254.txt,BAB VI,,Pasal 17,,5,"Atas penyampaian laporan pertanggungjawaban sebagaimana dimaksud pada ayat (1), Kepala Kantor Wilayah atau KPU atau pejabat yang ditunjuk melakukan penelitian terhadap: a. kelengkapan dokumen sebagaimana dimaksud pada ayat (2); b. pemenuhan periode Pembebasan, Impor, dan kebenaran pengisian laporan pertanggungjawaban; dan c. kesesuaian konversi dengan jumlah pemakaian Bahan Baku, jumlah Hasil Produksi yang dilaporkan, dan sisa proses produksi (waste/scrap).",
DOC006,2011 PMK 254.txt,BAB VI,,Pasal 17,,6,"Terhadap Hasil Produksi yang wajib diekspor sebagaimana dimaksud dalam Pasal 15, diberikan Pembebasan.",
DOC006,2011 PMK 254.txt,BAB VI,,Pasal 17,,7,"Terhadap sisa proses produksi (waste/scrap) dari Hasil Produksi sebagaimana dimaksud pada ayat (6), dikenakan bea masuk sebesar: a. 5% (lima persen) dikalikan harga jual, apabila tarif bea masuk umum (Most Favoured Nation) Bahan Bakunya 5% (lima persen) atau lebih; atau b. tarif yang berlaku dikalikan harga jual, apabila tarif bea masuk umum (Most Favoured Nation) Bahan Bakunya kurang dari 5% (lima persen).",
DOC006,2011 PMK 254.txt,BAB VI,,Pasal 17,,8,"Terhadap Hasil Produksi, termasuk Hasil Produksi rusak atau reject, yang tidak diekspor atau tidak dilaporkan sampai dengan periode Pembebasan selesai, berlaku ketentuan sebagai berikut: a. jaminan dicairkan sebesar bea masuk atas Bahan Baku yang terkandung dalam Hasil Produksi dimaksud; dan b. Perusahaan dikenai sanksi administrasi berupa denda sesuai peraturan perundang-undangan di bidang kepabeanan.",
DOC006,2011 PMK 254.txt,BAB VI,,Pasal 17,,9,"Terhadap Bahan Baku, termasuk Bahan Baku rusak atau reject, yang sampai periode Pembebasan selesai tidak diolah, tidak dirakit, tidak dipasang, tidak diekspor, atau tidak dilaporkan dalam laporan pertanggungjawaban, berlaku ketentuan sebagai berikut: a. jaminan dicairkan sebesar bea masuk atas Bahan Baku dimaksud; dan b. Perusahaan dikenai sanksi administrasi berupa denda sesuai peraturan perundang-undangan di bidang kepabeanan.",
DOC006,2011 PMK 254.txt,BAB VI,,Pasal 17,,10,"Atas penyampaian laporan pertanggungjawaban sebagaimana dimaksud pada ayat (1), Kepala Kantor Wilayah atau KPU atau pejabat yang ditunjuk menyetujui atau menolak dalam jangka waktu paling lama 45 (empat puluh lima) hari kerja sejak laporan pertanggungjawaban diterima.",
DOC006,2011 PMK 254.txt,BAB VI,,Pasal 17,,11,"Dalam hal laporan pertanggungjawaban sebagaimana dimaksud pada ayat (1) disetujui, jaminan dikembalikan sebesar bea masuk dari Bahan Baku yang hasil produksinya diekspor.",
DOC006,2011 PMK 254.txt,BAB VI,,Pasal 17,,12,"Dalam hal laporan pertanggungjawaban sebagaimana dimaksud pada ayat (1) tidak diserahkan dalam jangka waktu periode Pembebasan sebagaimana dimaksud dalam Pasal 7 atau laporan pertanggungjawaban sebagaimana dimaksud pada ayat (1) ditolak, berlaku ketentuan sebagai berikut: a. jaminan dicairkan sebesar bea masuk atas Bahan Baku yang belum dipertanggungjawabkan atau yang ditolak pertanggungjawabannya; dan b. Perusahaan dikenai sanksi administrasi berupa denda sesuai peraturan perundang-undangan di bidang kepabeanan. MONITORING DAN EVALUASI",
DOC006,2011 PMK 254.txt,BAB VII,,Pasal 18,,1,Kepala Kantor Wilayah atau KPU atau pejabat yang ditunjuk melakukan monitoring dan evaluasi terhadap penerbitan NIPER Pembebasan secara periodik paling sedikit sekali dalam 1 (satu) tahun sejak tanggal Surat Keputusan Penerbitan NIPER.,
DOC006,2011 PMK 254.txt,BAB VII,,Pasal 18,,2,"Berdasarkan manajemen risiko, Kepala Kantor Wilayah atau KPU atau pejabat yang ditunjuk dapat melakukan pemeriksaan lapangan terhadap persediaan Bahan Baku, barang dalam proses, Hasil Produksi dan sisa proses produksi.",
DOC006,2011 PMK 254.txt,BAB VII,,Pasal 18,,3,"Dalam rangka pengawasan dan pelayanan fasilitas Pembebasan, Direktur Jenderal Bea dan Cukai dapat menentukan Kantor Wilayah atau KPU tempat pengawasan dan pelayanan fasilitas Pembebasan.",
DOC006,2011 PMK 254.txt,BAB VII,,Pasal 19,,1,Hasil pemeriksaan lapangan sebagaimana dimaksud dalam Pasal 18 ayat (2) dan laporan hasil audit kepabeanan dapat dijadikan dasar untuk melakukan evaluasi atas fasilitas Pembebasan yang telah diberikan dan pertanggungjawaban penyelesaian Bahan Baku.,
DOC006,2011 PMK 254.txt,BAB VII,,Pasal 19,,2,"Dalam hal berdasarkan hasil audit ditemukan selisih fisik Bahan Baku yang melebihi jumlah bahan baku sebagaimana tercantum dalam laporan Bahan Baku yang sudah dipertanggungjawabkan sebagaimana dimaksud dalam Pasal 17, Perusahaan wajib membayar bea masuk dan sanksi administrasi berupa denda sesuai peraturan perundang-undangan di bidang kepabeanan.",
DOC006,2011 PMK 254.txt,BAB VII,,Pasal 19,,3,Pelaksanaan audit dalam periode tertentu tidak menghilangkan: a. kewajiban Perusahaan untuk menyampaikan laporan pertanggungjawaban pada periode audit dimaksud; dan b. tidak menghilangkan proses pencairan jaminan atas pemberitahuan pabean impor yang diluar periode audit dimaksud. SANKSI Bagian Pertama Pembekuan dan Pencabutan NIPER Pembebasan,
DOC006,2011 PMK 254.txt,BAB VIII,,Pasal 20,,1,"NIPER Pembebasan dibekukan dalam hal Perusahaan: a. tidak mengajukan permohonan perubahan data NIPER Pembebasan sebagaimana dimaksud dalam Pasal 5; b. tidak melunasi utang bea masuk, pajak dalam rangka impor, dan/atau sanksi administrasi berupa denda sampai dengan jatuh tempo; c. tidak menyampaikan laporan pertanggungjawaban sebagaimana dimaksud dalam Pasal 17; d. tidak menyerahkan dokumen yang diperlukan dalam pelaksanaan monitoring dan evaluasi sebagaimana dimaksud dalam Pasal 18; dan/atau e. diduga melakukan tindak pidana di bidang kepabeanan dengan bukti permulaan yang cukup.",
DOC006,2011 PMK 254.txt,BAB VIII,,Pasal 20,,2,"Dalam hal NIPER Pembebasan dibekukan, Perusahaan tidak dapat memperoleh fasilitas Pembebasan atas Impor Bahan Baku sebagaimana dimaksud dalam Pasal 2 ayat (1). NIPER Pembebasan yang dibekukan sebagaimana dimaksud dalam Pasal 20 dapat diberlakukan kembali, dalam hal Perusahaan: a. telah mendapatkan persetujuan perubahan data NIPER Pembebasan; b. telah melunasi seluruh utang bea masuk, pajak dalam rangka impor, dan/atau sanksi administrasi berupa denda; c. telah menyampaikan laporan pertanggungjawaban sebagaimana dimaksud dalam Pasal 16; d. telah menyerahkan dokumen yang diperlukan dalam pelaksanaan monitoring dan evaluasi; dan/atau e. tidak terbukti melakukan tindak pidana kepabeanan.",
DOC006,2011 PMK 254.txt,BAB VIII,,Pasal 22,,1,"NIPER Pembebasan dicabut dalam hal Perusahaan: a. tidak mengajukan permohonan perubahan data NIPER Pembebasan sebagaimana dimaksud dalam Pasal 5 dalam jangka waktu 30 (tiga puluh) hari sejak tanggal pembekuan NIPER Pembebasan sebagaimana dimaksud dalam Pasal 20 ayat (1) huruf a; b. tidak melunasi seluruh utang bea masuk, pajak dalam rangka impor, dan/atau sanksi administrasi berupa denda sebagaimana dimaksud dalam Pasal 20 ayat (1) huruf b sampai dengan diterbitkannya surat paksa; c. tidak melakukan Impor atau Ekspor dengan fasilitas Pembebasan secara berturut-turut dalam jangka waktu sebagaimana dimaksud dalam Pasal 7 ayat (2) huruf a dan Pasal 7 ayat (2) huruf b; d. melakukan pembongkaran dan/atau penimbunan Bahan Baku di luar lokasi yang tercantum dalam NIPER Pembebasan sebagaimana dimaksud dalam Pasal 12 ayat (1) dan tidak diberikan persetujuan oleh Kepala Kantor Wilayah atau KPU sebagaimana dimaksud dalam Pasal 12 ayat (2); e. tidak melakukan sendiri kegiatan pengolahan, perakitan, dan/atau pemasangan sebagaimana dimaksud dalam Pasal 13; f. melakukan subkontrak tanpa memenuhi kriteria sebagaimana dimaksud dalam Pasal 14 ayat (1); g. melakukan subkontrak tanpa memenuhi persyaratan sebagaimana dimaksud dalam Pasal 14 ayat (2); h. bertindak tidak jujur dalam usahanya, antara lain membuat konversi yang tidak benar dan mengakibatkan kerugian negara; i. terbukti telah melakukan tindak pidana di bidang kepabeanan berdasarkan putusan pengadilan; j. berubah status menjadi Pengusaha Kawasan Berikat atau Pengusaha di Kawasan Berikat; k. dinyatakan pailit berdasarkan putusan pengadilan; l. tidak menyelenggarakan pembukuan berdasarkan prinsip-prinsip akuntansi yang berlaku umum di Indonesia; m. mempunyai laporan keuangan yang dinyatakan oleh Kantor Akuntan Publik dengan opini disclaimer atau adverse; n. tidak menyimpan dan memelihara dengan baik pada tempat usahanya buku dan catatan serta dokumen yang berkaitan dengan kegiatan usahanya selama 10 (sepuluh) tahun; o. tidak menyerahkan buku, catatan, dan/atau dokumen yang berkaitan dengan kegiatan usahanya berdasarkan Laporan Hasil Audit Kepabeanan dan/atau Cukai; p. tidak memenuhi persyaratan mempunyai reputasi yang sangat baik sebagaimana dimaksud dalam Pasal 3 ayat (2) huruf a; q. tidak memenuhi persyaratan untuk memperoleh NIPER Pembebasan sebagaimana dimaksud dalam Pasal 3 ayat (2) berdasarkan hasil evaluasi dan monitoring sebagaimana dimaksud dalam Pasal 18 ayat (1); dan/atau r. mengajukan permohonan untuk dilakukan pencabutan NIPER Pembebasan. Dalam hal NIPER Pembebasan dicabut, badan usaha wajib melunasi seluruh tagihan yang terutang sesuai peraturan perundang-undangan di bidang kepabeanan.",
DOC006,2011 PMK 254.txt,BAB VIII,,Pasal 22,,3,"Dalam hal NIPER Pembebasan dicabut karena perubahan status menjadi Pengusaha Kawasan Berikat atau Pengusaha di Kawasan Berikat sebagaimana dimaksud pada ayat (1) huruf j, atas Bahan Baku yang belum diselesaikan kewajiban kepabeanannya, sepanjang masih dalam periode Pembebasan, dapat dijadikan saldo awal Kawasan Berikat dan diperlakukan sebagai barang Impor dengan mendapat penangguhan Bea Masuk.",
