doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC009,253pmk042011.txt,,,Pasal 2,,1,"Pengembalian Bea Masuk dapat diberikan kepada Perusahaan yang memenuhi syarat sebagai berikut: a. telah melakukan ekspor barang yang diolah, dirakit, atau dipasang dari Bahan Baku yang diimpor; b. bea masuk atas Impor Bahan Baku dari Hasil Produksi yang diekspor telah dilunasi dengan bukti pembayaran menggunakan Akun Pendapatan Bea Masuk dalam rangka Fasilitas Pengembalian; c. telah menyerahkan laporan pemakaian Bahan Baku dan konversi setiap satuan Hasil Produksi sebagaimana dimaksud dalam Pasal 12; d. permohonan pengembalian bea masuk diajukan dalam jangka waktu paling lama 6 (enam) bulan sejak tanggal LPE; e. tanggal pemberitahuan pabean impor tidak dalam periode pembekuan NIPER Pengembalian; dan f. tidak mempunyai tunggakan utang bea masuk.",
DOC009,253pmk042011.txt,,,Pasal 2,,2,Pengembalian sebagaimana dimaksud pada ayat (1) tidak diberikan terhadap: a. Bahan Baku yang habis terpakai dalam proses produksi; dan/atau b. bahan penolong yang dipergunakan dalam proses produksi tetapi tidak menjadi bagian integral dari Hasil Produksi. Bagian Ketiga Permohonan Pengembalian,
DOC009,253pmk042011.txt,,,Pasal 14,,1,"Untuk mendapatkan Pengembalian sebagaimana dimaksud dalam Pasal 2 ayat (1), Perusahaan mengajukan permohonan kepada Kepala Kantor Wilayah atau KPU dengan melampirkan: a. Daftar Laporan Pemakaian Bahan Baku yang dimohonkan Pengembalian; b. dokumen Impor berupa: 1) dokumen pemberitahuan pabean impor yang telah mendapat persetujuan keluar oleh Pejabat Bea dan Cukai; dan 2) bukti pembayaran bea masuk yang menggunakan Akun Pendapatan Bea Masuk dalam rangka Fasilitas Pengembalian; c. dokumen Ekspor berupa: 1) dokumen pemberitahuan pabean ekspor; 2) persetujuan Ekspor dari Pejabat Bea dan Cukai; 3) LPE dari Kantor Pabean tempat pemuatan barang Ekspor; d. salinan bukti penerimaan transaksi Ekspor berupa buku piutang, letter of credit, rekening koran, telegraphic transfer, dan/atau dokumen yang membuktikan adanya transaksi Ekspor; dan e. daftar konversi dari pemakaian Bahan Baku yang dimintakan Pengembalian sebagaimana dimaksud dalam Pasal 12.",
DOC009,253pmk042011.txt,,,Pasal 14,,2,"Ketentuan sebagaimana dimaksud pada ayat (1) huruf b dan huruf c tidak berlaku bagi Perusahaan yang melakukan Impor dan Ekspor barang melalui Kantor Pabean yang telah menerapkan ketentuan Pertukaran Data Elektronik (PDE). Atas permohonan Pengembalian yang diajukan oleh Perusahaan sebagaimana dimaksud dalam Pasal 14, Kepala Kantor Wilayah atau KPU atau pejabat yang ditunjuk melakukan penelitian terhadap: a. kelengkapan laporan dan dokumen sebagaimana dimaksud dalam Pasal 14 ayat (1); b. pemenuhan persyaratan jangka waktu Ekspor dan pengajuan permohonan Pengembalian sebagaimana dimaksud dalam Pasal 13 ayat (3) huruf b dan huruf e; c. kesesuaian konversi dengan jumlah pemakaian Bahan Baku, jumlah Hasil Produksi yang dilaporkan, dan sisa proses produksi; dan d. dalam hal tertentu berdasarkan manajemen risiko, Kepala Kantor Wilayah atau KPU dapat meminta pengesahan konversi sebagaimana dimaksud pada Pasal 12 kepada instansi teknis terkait atau oleh lembaga profesional yang diakui oleh instansi teknis terkait.",
DOC009,253pmk042011.txt,,,Pasal 15,,2,Permohonan sebagaimana dimaksud dalam Pasal 14 diproses untuk diterima atau ditolak oleh Kepala Kantor Wilayah atau KPU dalam jangka waktu 30 (tiga puluh) hari kerja terhitung sejak permohonan diterima secara lengkap.,
DOC009,253pmk042011.txt,,,Pasal 15,,3,"Dalam hal permohonan sebagaimana dimaksud dalam Pasal 14 disetujui, Kepala Kantor Wilayah atau KPU menerbitkan Surat Ketetapan Pembayaran Fasilitas Pengembalian Bea Masuk (SKP.FPBM) sebagai dasar penerbitan Surat Perintah Membayar Kembali Fasilitas Pengembalian Bea Masuk.",
DOC009,253pmk042011.txt,,,Pasal 15,,4,"Dalam hal permohonan sebagaimana dimaksud dalam Pasal 14 ditolak, Kepala Kantor Wilayah atau KPU menyampaikan surat pemberitahuan dengan menyebutkan alasan penolakan. Lembar asli Surat Ketetapan Pembayaran Fasilitas Pengembalian Bea Masuk (SKP.FPBM) sebagaimana dimaksud dalam Pasal 15 ayat (3) disampaikan kepada Perusahaan dan dibuat salinan Surat Ketetapan Pembayaran Fasilitas Pengembalian Bea Masuk (SKP.FPBM) dengan peruntukan: a. Kantor Pelayanan Perbendaharaan Negara (KPPN) setempat; b. Direktorat Penerimaan dan Peraturan Kepabeanan dan Cukai Direktorat Jenderal Bea dan Cukai; c. Kantor Pabean atau KPU, tempat dipenuhinya kewajiban pabean impor; dan d. Kantor penerbit Surat Ketetapan Pembayaran Fasilitas Pengembalian Bea Masuk (SKP.FPBM) sebagai arsip.",
DOC009,253pmk042011.txt,,,Pasal 16,,2,"Penyampaian salinan Surat Ketetapan Pembayaran Fasilitas Pengembalian Bea Masuk (SKP.FPBM) kepada Kantor Pelayanan Perbendaharaan Negara (KPPN) setempat sebagaimana dimaksud pada ayat (1) huruf a disampaikan melalui Kantor Pabean atau KPU tempat dipenuhinya kewajiban pabean impor untuk diajukan bersamaan pada saat pengajuan Surat Perintah Membayar Kembali Fasilitas Pengembalian Bea Masuk. Bagian Keempat Tatacara Pembayaran Pengembalian Berdasarkan Surat Ketetapan Pembayaran Fasilitas Pengembalian Bea Masuk (SKP.FPBM) sebagaimana dimaksud dalam Pasal 15 ayat (3), Perusahaan mengajukan permohonan pembayaran Pengembalian Bea Masuk ke Kantor Pabean atau KPU tempat dipenuhinya kewajiban pabean impor.",
DOC009,253pmk042011.txt,,,Pasal 17,,2,"Berdasarkan permohonan Perusahaan sebagaimana dimaksud pada ayat (1), Kepala Kantor Pabean atau KPU atau pejabat yang ditunjuk melakukan pengujian dengan salinan Surat Ketetapan Pembayaran Fasilitas Pengembalian Bea Masuk (SKP.FPBM).",
DOC009,253pmk042011.txt,,,Pasal 17,,3,"Dalam hal hasil pengujian sebagaimana dimaksud pada ayat (2) telah sesuai, Kepala Kantor Pabean atau KPU atau pejabat yang ditunjuk menerbitkan Surat Permintaan Pembayaran (SPP).",
DOC009,253pmk042011.txt,,,Pasal 17,,4,"Dalam hal hasil pengujian sebagaimana dimaksud pada ayat (2) terdapat ketidaksesuaian, Kepala Kantor Pabean atau KPU menyampaikan surat pemberitahuan penolakan.",
DOC009,253pmk042011.txt,,,Pasal 17,,5,"Berdasarkan Surat Permintaan Pembayaran (SPP) sebagaimana dimaksud ayat (3), Kepala Kantor Pabean atau KPU atau pejabat yang ditunjuk menerbitkan Surat Perintah Membayar Kembali Fasilitas Pengembalian Bea Masuk dalam 5 (lima) rangkap dengan peruntukan: a. lembar ke-1 dan ke-2 untuk Kantor Pelayanan Perbendaharaan Negara (KPPN); b. lembar ke-3 untuk Perusahaan; c. lembar ke-4 untuk Kantor Wilayah penerbit Surat Ketetapan Pembayaran Fasilitas Pengembalian Bea Masuk (SKP.FPBM); dan d. lembar ke-5 sebagai arsip pada Kantor Pabean atau KPU penerbit Surat Perintah Membayar Kembali Fasilitas Pengembalian Bea Masuk.",
DOC009,253pmk042011.txt,,,Pasal 17,,6,Surat Perintah Membayar Kembali Fasilitas Pengembalian Bea Masuk sebagaimana dimaksud pada ayat (5) diterbitkan dalam jangka waktu paling lama 15 (lima belas) hari kerja sejak tanggal diterima permohonan Pengembalian dari Perusahaan.,
DOC009,253pmk042011.txt,,,Pasal 17,,7,Lembar ke-1 Surat Perintah Membayar Kembali Fasilitas Pengembalian Bea Masuk sebagaimana dimaksud pada ayat (5) huruf a disampaikan ke Kantor Pelayanan Perbendaharaan Negara (KPPN) secara langsung oleh petugas yang ditunjuk dalam jangka waktu paling lama 2 (dua) hari kerja sejak tanggal penerbitan Surat Perintah Membayar Kembali Fasilitas Pengembalian Bea Masuk.,
DOC009,253pmk042011.txt,,,Pasal 17,,8,"Berdasarkan Surat Perintah Membayar Kembali Fasilitas Pengembalian Bea Masuk, Kantor Pelayanan Perbendaharaan Negara (KPPN) menerbitkan Surat Perintah Pencairan Dana (SP2D) berdasarkan peraturan perundang-undangan. Penandatangan Surat Ketetapan Pembayaran Fasilitas Pengembalian Bea Masuk (SKP.FPBM) dan Surat Perintah Membayar Kembali Fasilitas Pengembalian Bea Masuk tidak boleh dirangkap oleh 1 (satu) orang pejabat. Spesimen tanda tangan pejabat penandatangan Surat Ketetapan Pembayaran Fasilitas Pengembalian Bea Masuk (SKP.FPBM) dan Surat Perintah Membayar Kembali Fasilitas Pengembalian Bea Masuk disampaikan ke Kantor Pelayanan Perbendaharaan Negara (KPPN) setiap tahun atau setiap ada perubahan pejabat penandatangan Surat Ketetapan Pembayaran Fasilitas Pengembalian Bea Masuk (SKP.FPBM) dan/atau Surat Perintah Membayar Kembali Fasilitas Pengembalian Bea Masuk. Bagian Kelima Kelebihan Pembayaran Pengembalian Dalam hal terdapat kelebihan pembayaran Pengembalian, Perusahaan wajib mengembalikan atas kelebihan pembayaran Pengembalian. Monitoring dan Evaluasi",
DOC009,253pmk042011.txt,BAB V,,Pasal 20,,1,Kepala Kantor Wilayah atau KPU atau pejabat yang ditunjuk melakukan monitoring dan evaluasi terhadap penerbitan NIPER Pengembalian secara periodik paling sedikit sekali dalam 1 (satu) tahun.,
DOC009,253pmk042011.txt,BAB V,,Pasal 20,,2,"Berdasarkan manajemen risiko, Kepala Kantor Wilayah atau KPU atau pejabat yang ditunjuk dapat melakukan pemeriksaan lapangan terhadap persediaan Bahan Baku, barang dalam proses produksi, Hasil Produksi, dan sisa proses produksi.",
