doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC011,63m-dagper122009.txt,,,Pasal 11,,1,Persetujuan impor yang telah dikeluarkan berdasarkan Peraturan Menteri Perdagangan Nomor 57/M-DAG/PER/12/2008 tentang Ketentuan Impor Barang Modal Bukan Baru dinyatakan tetap berlaku sampai berakhir masa berlakunya.,
DOC011,63m-dagper122009.txt,,,Pasal 11,,2,"Jika barang yang diimpor berdasarkan persetujuan impor sebagaimana dimaksud pada ayat (1) belum sampai pada saat persetujuan impor berakhir, maka pelaksanaan impornya dapat dilakukan sampai dengan tanggal 28 Februari 2010 dengan persyaratan telah dilakukan pemeriksaan oleh Surveyor sebelum tanggal 31 Desember 2009 yang dibuktikan dengan Certificate of Inspection.",
DOC011,63m-dagper122009.txt,,,Pasal 11,,3,"Ketentuan mengenai penerbitan persetujuan impor barang modal bukan baru yang dilimpahkan kepada BP Kawasan BBK sebagaimana diatur dalam Peraturan Menteri Perdagangan Nomor 12/M-DAG/PER/3/2009, dinyatakan tetap berlaku dan pelaksanaannya mengacu pada Peraturan Menteri ini. Penunjukan sebagai Surveyor yang telah dikeluarkan berdasarkan Keputusan Menteri Perindustrian dan Perdagangan Nomor 492/MPP/Kep/8/2004 tentang Penunjukan Surveyor Sebagai Pelaksana Survey Atas Impor Barang Modal Bukan Baru masih tetap berlaku untuk jangka waktu 30 (tiga puluh) hari sejak tanggal penetapan Peraturan Menteri ini. Peraturan ini mulai berlaku pada tanggal 1 Januari 2010 dan berakhir pada tanggal 31 Desember 2010. Agar setiap orang mengetahuinya, memerintahkan pengundangan Peraturan Menteri ini dengan penempatannya dalam Berita Negara Republik Indonesia. MENTERI PERDAGANGAN R.I., Salinan sesuai dengan aslinya ttd Sekretariat Jenderal Departemen Perdagangan MARI ELKA PANGESTU Kepala Biro Hukum, WIDODO LAMPIRAN PERATURAN MENTERI PERDAGANGAN REPUBLIK INDONESIA Nomor: 63/M-DAG/PER/12/2009 Tanggal: 22 Desember 2009 DAFTAR LAMPIRAN MENTERI PERDAGANGAN R.I., ttd Salinan sesuai dengan aslinya Sekretariat Jenderal Departemen Perdagangan MARI ELKA PANGESTU Kepala Biro Hukum, WIDODO LAMPIRAN I PERATURAN MENTERI PERDAGANGAN R.I NOMOR: TANGGAL: BARANG MODAL BUKAN BARU YANG BOLEH DIIMPOR POS TARIF/ NO. HS URAIAN BARANG KETERANGAN",
DOC011,63m-dagper122009.txt,,,Pasal 13,2. LAMPIRAN II: Bentuk Laporan Tertulis Realisasi Impor,1,"(2) (3) (4) -Mesin penggerak kendaraan air: --Keluaran tidak melebihi 60 kW: -Lain-lain: ---Untuk mesin pengolah tanah: -Turbin gas lainnya: --Lain-lain, dioperasikan secara elektrik: -Pompa lainnya; elevator cairan: -Katrol dan kerekan selain kerekan skip atau kerekan dari jenis yang digunakan untuk mengangkat kendaraan: -Derek lainnya; kapstan: -Overhead traveling crane, transporter crane, gantry crane, bridge crane, rangka pengangkat yang dapat berpindah dan straddle carrier: -Mesin lainnya, berdaya gerak sendiri: -Mesin lainnya: -Buldoser dan angledoser: -Sekop mekanik, excavator dan shovel loader: -Pemotong batu atau batubara dan mesin pembuat terowongan: -Mesin bor atau sinking lainnya: --Dari mesin yang dioperasikan secara elektrik: Dengan Rahmat Tuhan Yang Maha Esa a. Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan (Lembaran Negara Republik Indonesia Tahun 1995 Nomor 75, Tambahan Lembaran Negara Republik Indonesia Nomor 3612) sebagaimana telah diubah dengan Undang-Undang Nomor 17 Tahun 2006 (Lembaran Negara Republik Indonesia Tahun 2006 Nomor 93, Tambahan Lembaran Negara Republik Indonesia Nomor 4661); b. Undang-Undang Nomor 36 Tahun 2000 tentang Penetapan Peraturan Pemerintah Pengganti Undang-Undang Nomor 1 Tahun 2000 tentang Kawasan Perdagangan Bebas dan Pelabuhan Bebas Menjadi Undang-Undang (Lembaran Negara Republik Indonesia Tahun 2000 Nomor 251, Tambahan Lembaran Negara Republik Indonesia Nomor 4053) sebagaimana telah diubah dengan Undang-Undang Nomor 44 Tahun 2007 (Lembaran Negara Republik Indonesia Tahun 2007 Nomor 130, Tambahan Lembaran Negara Republik Indonesia Nomor 4775); c. Undang-Undang Nomor 25 Tahun 2007 tentang Penanaman Modal (Lembaran Negara Republik Indonesia Tahun 2007 Nomor 67, Tambahan Lembaran Negara Republik Indonesia Nomor 4724); d. Undang-Undang Nomor 39 Tahun 2008 tentang Kementerian Negara (Lembaran Negara Republik Indonesia Tahun 2008 Nomor 166, Tambahan Lembaran Negara Republik Indonesia Nomor 4916); e. Peraturan Pemerintah Nomor 17 Tahun 1986 tentang Kewenangan Pengaturan, Pembinaan dan Pengembangan Industri (Lembaran Negara Republik Indonesia Tahun 1986 Nomor 23, Tambahan Lembaran Negara Republik Indonesia Nomor 3330); f. Peraturan Pemerintah Nomor 13 Tahun 1995 tentang Izin Usaha Industri (Lembaran Negara Republik Indonesia Tahun 1995 Nomor 25, Tambahan Lembaran Negara Republik Indonesia Nomor 3596); g. Keputusan Presiden Nomor 260 Tahun 1967 tentang Penegasan Tugas dan Tanggung Jawab Menteri Perdagangan Dalam Bidang Perdagangan Luar Negeri; h. Keputusan Presiden Nomor 84/P Tahun 2009 tentang Pembentukan Kabinet Indonesia Bersatu II. Menetapkan Peraturan Menteri Perdagangan tentang Ketentuan Impor Barang.",
DOC011,63m-dagper122009.txt,,,Pasal 1,,1,"Ketentuan impor barang diatur berdasarkan klasifikasi barang yang tercantum dalam tabel berikut: - Mesin untuk membuat kantong, sak atau amplop (HS Code: 8441.20) dioperasikan secara elektrik. - Mesin untuk membuat kardus, kotak, peti, tabung, drum atau kemasan semacam itu, selain dengan pencetakan (HS Code: 8441.30) dioperasikan secara elektrik. - Mesin untuk mencetak barang dari pulp kertas, kertas atau kertas karton (HS Code: 8441.40) dioperasikan secara elektrik. - Mesin lainnya (HS Code: 8441.80) dioperasikan secara elektrik.",
DOC011,63m-dagper122009.txt,,,Pasal 2,,1,"Mesin, aparatus dan perlengkapan untuk menyiapkan atau membuat pelat, silinder cetak atau komponen cetak lainnya (HS Code: 8442.30) dioperasikan secara elektrik.",
DOC011,63m-dagper122009.txt,,,Pasal 3,,1,"Mesin cetak digunakan untuk mencetak dengan memakai pelat, silinder dan komponen cetak lainnya dari pos 84.42 (HS Code: 8443.11) dioperasikan secara elektrik.",
DOC011,63m-dagper122009.txt,,,Pasal 4,,1,"Mesin untuk mengekstrusi, menarik, mentekstur memotong bahan tekstil buatan (HS Code: 8444.10) dioperasikan secara elektrik.",
DOC011,63m-dagper122009.txt,,,Pasal 5,,1,"Mesin untuk pengolahan serat tekstil; mesin pemintal, penggandaan atau pemilinan dan mesin lainnya untuk memproduksi benang tekstil (HS Code: 8445.11) dioperasikan secara elektrik.",
DOC011,63m-dagper122009.txt,,,Pasal 6,,1,Mesin tenun (loom) untuk menenun kain dengan lebar tidak melebihi 30 cm (HS Code: 8446.10) dioperasikan secara elektrik.,
