doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC022,BN+1293-2019.txt,,,Pasal 2,,1,Setiap perusahaan yang akan melakukan impor limbah nonbahan berbahaya dan beracun sebagai bahan baku industri wajib memiliki PI.,
DOC022,BN+1293-2019.txt,,,Pasal 2,,2,PI sebagaimana dimaksud pada ayat (1) diterbitkan oleh Direktur Jenderal.,
DOC022,BN+1293-2019.txt,,,Pasal 3,,1,PI hanya dapat diberikan kepada perusahaan yang memenuhi persyaratan sebagai berikut: a. memiliki izin usaha yang sah; b. memiliki fasilitas pengolahan limbah yang memenuhi standar; c. memenuhi persyaratan teknis dan administratif lainnya sesuai dengan ketentuan peraturan perundang-undangan. Setiap impor limbah nonbahan berbahaya dan beracun sebagai bahan baku industri oleh perusahaan hanya dapat dilakukan melalui pelabuhan tujuan yang telah ditentukan.,
DOC022,BN+1293-2019.txt,,,Pasal 5,,1,PI berlaku selama 1 (satu) tahun sejak tanggal diterbitkan.,
DOC022,BN+1293-2019.txt,,,Pasal 5,,2,Masa berlaku PI dapat diperpanjang untuk jangka waktu paling lama 30 (tiga puluh) hari kalender.,
DOC022,BN+1293-2019.txt,,,Pasal 6,,1,"Untuk memperoleh perpanjangan masa berlaku PI, perusahaan harus mengajukan permohonan secara elektronik kepada Direktur Jenderal.",
DOC022,BN+1293-2019.txt,,,Pasal 6,,2,Permohonan perpanjangan masa berlaku PI harus disampaikan paling lambat 14 (empat belas) hari kalender sebelum masa berlaku PI berakhir.,
DOC022,BN+1293-2019.txt,,,Pasal 7,,1,"Perusahaan pemilik PI dapat mengajukan permohonan perubahan PI dalam hal terdapat rencana perubahan mengenai identitas perusahaan, jenis barang, klasifikasi barang, negara asal, dan/atau pelabuhan tujuan.",
DOC022,BN+1293-2019.txt,,,Pasal 7,,2,Permohonan perubahan PI harus disampaikan secara elektronik kepada Direktur Jenderal.,
DOC022,BN+1293-2019.txt,,,Pasal 8,,1,Setiap pelaksanaan impor limbah nonbahan berbahaya dan beracun sebagai bahan baku industri oleh perusahaan wajib dilakukan verifikasi atau penelusuran teknis di negara muat sebelum dikapalkan.,
DOC022,BN+1293-2019.txt,,,Pasal 8,,2,Verifikasi atau penelusuran teknis dilakukan oleh surveyor yang ditetapkan oleh Menteri.,
DOC022,BN+1293-2019.txt,,,Pasal 9,,1,"Dalam hal Limbah Non B3 yang diimpor tidak memenuhi persyaratan, importir wajib mengekspor kembali limbah tersebut paling lama 90 (sembilan puluh) hari sejak kedatangan barang.",
DOC022,BN+1293-2019.txt,,,Pasal 9,,2,Biaya atas pelaksanaan ekspor kembali menjadi tanggung jawab importir.,
DOC022,BN+1293-2019.txt,,,Pasal 10,,1,PI dapat dibekukan apabila perusahaan pemilik PI melanggar ketentuan yang berlaku.,
DOC022,BN+1293-2019.txt,,,Pasal 10,,2,"PI yang telah dibekukan dapat diaktifkan kembali setelah perusahaan memenuhi kewajiban yang ditetapkan. PI dicabut apabila perusahaan tidak melaksanakan kewajiban yang telah ditetapkan dalam peraturan ini. Peraturan ini mulai berlaku pada tanggal ditetapkan. MENTERI PERDAGANGAN REPUBLIK INDONESIA, [Nama Pejabat] BERITA NEGARA REPUBLIK INDONESIA No. 1293, 2019. Dengan Rahmat Tuhan Yang Maha Esa a. Undang-Undang Nomor 7 Tahun 1994 tentang Pengesahan Agreement Establishing The World Trade Organization (Persetujuan Pembentukan Organisasi Perdagangan Dunia) (Lembaran Negara Republik Indonesia Tahun 1994 Nomor 57, Tambahan Lembaran Negara Republik Indonesia Nomor 3564); b. Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan (Lembaran Negara Republik Indonesia Tahun 1995 Nomor 75, Tambahan Lembaran Negara Republik Indonesia Nomor 3612) sebagaimana telah diubah dengan Undang-Undang Nomor 17 Tahun 2006 (Lembaran Negara Republik Indonesia Tahun 2006 Nomor 93, Tambahan Lembaran Negara Republik Indonesia Nomor 4661); c. Undang-Undang Nomor 18 Tahun 2008 tentang Pengelolaan Sampah (Lembaran Negara Republik Indonesia Tahun 2008 Nomor 69, Tambahan Lembaran Negara Republik Indonesia Nomor 69); d. Undang-Undang Nomor 39 Tahun 2008 tentang Kementerian Negara (Lembaran Negara Republik Indonesia Tahun 2008 Nomor 166, Tambahan Lembaran Negara Republik Indonesia Nomor 4916); e. Undang-Undang Nomor 32 Tahun 2009 tentang Perlindungan dan Pengelolaan Lingkungan Hidup (Lembaran Negara Republik Indonesia Tahun 2009 Nomor 140, Tambahan Lembaran Negara Republik Indonesia Nomor 5059); f. Undang-Undang Nomor 3 Tahun 2014 tentang Perindustrian (Lembaran Negara Republik Indonesia Tahun 2014 Nomor 4, Tambahan Lembaran Negara Republik Indonesia Nomor 5492); g. Undang-Undang Nomor 7 Tahun 2014 tentang Perdagangan (Lembaran Negara Republik Indonesia Tahun 2014 Nomor 45, Tambahan Lembaran Negara Republik Indonesia Nomor 5512); h. Peraturan Pemerintah Nomor 101 Tahun 2014 tentang Pengelolaan Limbah Bahan Berbahaya dan Beracun. Pembekuan dan pengaktifan kembali PI sebagaimana dimaksud dalam Pasal 22 dan Pasal 23 dilakukan secara sistem elektronik melalui http://inatrade.kemendag.go.id. Pencabutan PI sebagaimana dimaksud dalam Pasal 24 ditetapkan oleh Direktur Jenderal untuk dan atas nama Menteri. Perusahaan pemilik PI yang dikenai sanksi pencabutan dengan dasar sebagaimana dimaksud dalam Pasal 24 huruf f hanya dapat mengajukan permohonan untuk mendapatkan PI kembali setelah 1 (satu) tahun terhitung sejak tanggal pencabutan PI diterbitkan. Perusahaan pemilik PI yang dikenai sanksi pencabutan dengan dasar sebagaimana dimaksud dalam Pasal 24 huruf a, huruf b, huruf c, huruf d, huruf e, huruf g, huruf h, huruf i, huruf j, dan huruf k tidak dapat mengajukan permohonan untuk mendapatkan PI kembali.",
DOC022,BN+1293-2019.txt,,,Pasal 27,,1,Surveyor yang melanggar ketentuan kewajiban penyampaian laporan sebagaimana dimaksud dalam Pasal 19 diberikan peringatan tertulis oleh Direktur Jenderal.,
DOC022,BN+1293-2019.txt,,,Pasal 27,,2,"Dalam waktu 15 (lima belas) hari sejak pemberian peringatan tertulis sebagaimana dimaksud pada ayat (1), Surveyor wajib menyampaikan laporan tertulis.",
DOC022,BN+1293-2019.txt,,,Pasal 27,,3,"Dalam hal Surveyor tidak menyampaikan laporan tertulis sebagaimana dimaksud pada ayat (2), Surveyor diberikan sanksi administratif berupa pembekuan status penetapan sebagai Surveyor oleh Menteri.",
DOC022,BN+1293-2019.txt,,,Pasal 27,,4,"Dalam waktu 15 (lima belas) hari sejak pembekuan sebagaimana dimaksud pada ayat (3), Surveyor wajib menyampaikan laporan tertulis.",
DOC022,BN+1293-2019.txt,,,Pasal 27,,5,"Dalam hal Surveyor telah menyampaikan laporan tertulis sebagaimana dimaksud pada ayat (4), Menteri mengaktifkan status penetapan sebagai Surveyor dari sanksi pembekuan sebagaimana dimaksud pada ayat (3).",
