doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC030,BN+845-2019+DisII.txt,BAB IV KEWAJIBAN PELAKU USAHA,,Pasal 25,,1,Pelaku Usaha yang mendapatkan RIPH wajib menyampaikan RIPH kepada menteri yang menyelenggarakan urusan pemerintahan di bidang perdagangan untuk penerbitan izin Impor Produk Hortikultura paling lama 2 (dua) bulan sejak RIPH diterbitkan secara daring (online).,
DOC030,BN+845-2019+DisII.txt,BAB IV KEWAJIBAN PELAKU USAHA,,Pasal 25,,2,"Pelaku usaha yang tidak menyampaikan RIPH sebagaimana dimaksud pada ayat (1), RIPH tidak berlaku. Dalam hal terjadi permasalahan hukum terkait penerbitan RIPH, permohonan RIPH tidak diterbitkan sampai dengan adanya putusan pengadilan yang berkekuatan hukum tetap. Pelaku Usaha yang melanggar ketentuan sebagaimana dimaksud dalam Pasal 9 dikenakan sanksi tidak diterbitkan RIPH selama 1 (satu) tahun. Pelaku Usaha yang melanggar ketentuan sebagaimana dimaksud pada Pasal 11 huruf e, dikenakan sanksi tidak diterbitkan RIPH selama 1 (satu) tahun dan menarik Produk Hortikultura dari peredaran. Pelaku Usaha yang melanggar ketentuan sebagaimana dimaksud pada Pasal 11 huruf g, dikenakan sanksi tidak diterbitkan RIPH selama 3 (tiga) tahun. Lembaga sosial yang melanggar ketentuan sebagaimana dimaksud pada Pasal 13 huruf f, dikenakan sanksi tidak diterbitkan RIPH selama 2 (dua) tahun dan menarik Produk Hortikultura dari peredaran. Lembaga sosial yang melanggar ketentuan sebagaimana dimaksud pada Pasal 13 huruf g, dikenakan sanksi tidak diterbitkan RIPH selama 3 (tiga) tahun. Pelaku Usaha yang melanggar ketentuan sebagaimana dimaksud dalam Pasal 15 ayat (1) huruf f, dikenakan sanksi berupa tidak diterbitkan RIPH selama 2 (dua) tahun. Pelaku Usaha yang melanggar ketentuan sebagaimana dimaksud pada Pasal 25 ayat (1) dilakukan 2 (dua) kali dalam satu tahun, dikenakan sanksi berupa tidak diterbitkan RIPH selama 2 (dua) tahun.",
DOC030,BN+845-2019+DisII.txt,BAB VI KETENTUAN PERALIHAN,,Pasal 28,,1,"RIPH yang telah diterbitkan sebelum Peraturan Menteri ini mulai berlaku, dinyatakan tetap berlaku sampai berakhirnya RIPH.",
DOC030,BN+845-2019+DisII.txt,BAB VI KETENTUAN PERALIHAN,,Pasal 28,,2,"Permohonan RIPH yang diajukan sebelum Peraturan Menteri ini mulai berlaku, diproses sesuai dengan Peraturan Menteri Pertanian Nomor 38/PERMENTAN/HR.060/11/2017 tentang Rekomendasi Impor Produk Hortikultura sebagaimana telah diubah dengan Peraturan Menteri Pertanian Nomor 24/PERMENTAN/HR.060/5/2018 tentang Perubahan atas Peraturan Menteri Pertanian Nomor 38/PERMENTAN/HR.060/11/2017 tentang Rekomendasi Impor Produk Hortikultura.",
DOC030,BN+845-2019+DisII.txt,BAB VI KETENTUAN PERALIHAN,,Pasal 28,,3,"Pada saat Peraturan Menteri ini berlaku, Produk Hortikultura dengan Pos Tarif/HS 0904.21.10 Cabe (buah dari genus Capsicum) dikeringkan sebagaimana tercantum dalam Lampiran I Peraturan Menteri ini diberlakukan 1 (satu) bulan setelah Peraturan Menteri ini diundangkan. Pada saat Peraturan Menteri ini mulai berlaku, Peraturan Menteri Pertanian Nomor 38/PERMENTAN/HR.060/11/2017 tentang Rekomendasi Impor Produk Hortikultura (Berita Negara Republik Indonesia Tahun 2017 Nomor 1674) sebagaimana telah diubah dengan Peraturan Menteri Pertanian Nomor 24/PERMENTAN/HR.060/5/2018 tentang Perubahan atas Peraturan Menteri Pertanian Nomor 38/PERMENTAN/HR.060/11/2017 tentang Rekomendasi Impor Produk Hortikultura (Berita Negara Republik Indonesia tahun 2018 nomor 743), dicabut dan dinyatakan tidak berlaku. Peraturan Menteri ini mulai berlaku pada tanggal diundangkan. Agar setiap orang mengetahuinya, memerintahkan pengundangan Peraturan Menteri ini dengan penempatannya dalam Berita Negara Republik Indonesia. MENTERI PERTANIAN REPUBLIK INDONESIA, ttd AMRAN SULAIMAN Diundangkan di Jakarta pada tanggal 31 Juli 2019 DIREKTUR JENDERAL PERATURAN PERUNDANG-UNDANGAN KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA REPUBLIK INDONESIA, ttd WIDODO EKATJAHJANA LAMPIRAN I PERATURAN MENTERI PERTANIAN REPUBLIK INDONESIA NOMOR 39 TAHUN 2019 TENTANG REKOMENDASI IMPOR PRODUK HORTIKULTURA No. Kode HS Uraian Barang Keterangan Dengan Rahmat Tuhan Yang Maha Esa PERATURAN MENTERI PERTANIAN REPUBLIK INDONESIA NOMOR 39 TAHUN 2019 TENTANG REKOMENDASI IMPOR PRODUK HORTIKULTURA a. Undang-Undang Nomor 16 Tahun 1992 tentang Karantina Hewan, Ikan, dan Tumbuhan (Lembaran Negara Republik Indonesia Tahun 1992 Nomor 56, Tambahan Lembaran Negara Republik Indonesia Nomor 3482); b. Undang-Undang Nomor 7 Tahun 1994 tentang Pengesahan Agreement Establishing the World Trade Organization (Persetujuan Pembentukan Organisasi Perdagangan Dunia) (Lembaran Negara Republik Indonesia Tahun 1994 Nomor 57, Tambahan Lembaran Negara Republik Indonesia Nomor 3564); c. Undang-Undang Nomor 19 Tahun 2003 tentang Badan Usaha Milik Negara (Lembaran Negara Republik Indonesia Tahun 2003 Nomor 70, Tambahan Lembaran Negara Republik Indonesia Nomor 4297); d. Undang-Undang Nomor 13 Tahun 2010 tentang Hortikultura (Lembaran Negara Republik Indonesia Tahun 2010 Nomor 132, Tambahan Lembaran Negara Republik Indonesia Nomor 5170); e. Undang-Undang Nomor 18 Tahun 2012 tentang Pangan (Lembaran Negara Republik Indonesia Tahun 2012 Nomor 227, Tambahan Lembaran Negara Republik Indonesia Nomor 5360); f. Undang-Undang Nomor 19 Tahun 2013 tentang Perlindungan dan Pemberdayaan Petani (Lembaran Negara Republik Indonesia Tahun 2013 Nomor 131, Tambahan Lembaran Negara Republik Indonesia Nomor 5433); g. Undang-Undang Nomor 7 Tahun 2014 tentang Perdagangan (Lembaran Negara Republik Indonesia Tahun 2014 Nomor 45, Tambahan Lembaran Negara Republik Indonesia Nomor 5512); h. Peraturan Pemerintah Nomor 14 Tahun 2002 tentang Karantina Tumbuhan (Lembaran Negara Republik Indonesia Tahun 2002 Nomor 35, Tambahan Lembaran Negara Republik Indonesia Nomor 4196); i. Peraturan Pemerintah Nomor 28 Tahun 2004 tentang Keamanan, Mutu dan Gizi Pangan (Lembaran Negara Republik Indonesia Tahun 2004 Nomor 107, Tambahan Lembaran Negara Republik Indonesia Nomor 4424); j. Peraturan Pemerintah Nomor 24 Tahun 2018 tentang Pelayanan Perizinan Berusaha Terintegrasi Secara Elektronik (Lembaran Negara Republik Indonesia Tahun 2018 Nomor 90, Tambahan Lembaran Negara Republik Indonesia Nomor 6215); k. Peraturan Presiden Nomor 7 Tahun 2015 tentang Organisasi Kementerian Negara (Lembaran Negara Republik Indonesia Tahun 2015 Nomor 8); l. Peraturan Presiden Nomor 45 Tahun 2015 tentang Kementerian Pertanian (Lembaran Negara Republik Indonesia Tahun 2015 Nomor 85); m. Peraturan Menteri Pertanian Nomor 09/Permentan/OT.140/2/2009 tentang Persyaratan dan Tata Cara Tindakan Karantina Tumbuhan Terhadap Pemasukan Media Pembawa Organisme Pengganggu Tumbuhan Karantina ke dalam wilayah Negara Republik Indonesia (Berita Negara Republik Indonesia Tahun 2009 Nomor 35); n. Peraturan Menteri Pertanian Nomor 93/Permentan/OT.140/12/2011 tentang Jenis Organisme Pengganggu Tumbuhan Karantina (Berita Negara Republik Indonesia Tahun 2011 Nomor 6) sebagaimana telah beberapa kali diubah terakhir. Menetapkan: PERATURAN MENTERI PERTANIAN TENTANG REKOMENDASI IMPOR PRODUK HORTIKULTURA. LAMPIRAN I No. Kode HS Uraian Barang Keterangan MENTERI PERTANIAN REPUBLIK INDONESIA, ttd AMRAN SULAIMAN www.peraturan.go.id 2019, No.845 Format-1 KOP SURAT SURAT PERNYATAAN MENGGUNAKAN PRODUK IMPOR HORTIKULTURA SESUAI DENGAN PERMOHONAN RIPH Kami yang bertandatangan di bawah ini: Nama: Jabatan: Perusahaan: No. NIB yang berlaku sebagai API-P: Alamat: Dengan ini menyatakan bahwa produk yang diimpor hanya digunakan sebagai bahan baku produksi atau bahan penolong untuk kebutuhan produksi industri yang kami miliki dan tidak akan memperdagangkan dan/atau memindahtangankan produk yang diimpor kepada pihak lain. Apabila di kemudian hari mesin produksi kami mengalami kerusakan berat sehingga tidak dapat digunakan dan/atau mesin produksi hilang tanpa ada unsur kesengajaan, maka kami hanya akan memperdagangkan dan/atau memindahtangankan produk yang diimpor tersebut ke perusahaan pemilik NIB yang berlaku sebagai API-P lain saja. Demikian surat pernyataan ini kami buat dengan sebenarnya untuk dipergunakan sebagaimana mestinya, jika di kemudian hari ternyata melanggar atau pernyataan ini tidak benar, maka kami siap menerima sanksi sesuai dengan ketentuan yang ada. Tempat, Tanggal Yang Membuat Pernyataan, Materai Rp. 6.000,- Pemohon Format-2 KOP SURAT LAPORAN REALISASI IMPOR PRODUK HORTIKULTURA UNTUK RIPH SEBELUMNYA Oe eaas onnenysnereenaynngsaes Nomor RIPH ssa Ache Tgl/Bin/Thn Jenis RIPH foleumal} Rectebtien Ve Tgieythn Segar Utk BBI* | RIPH Dst. Demikian laporan ini kami buat dengan sebenarnya untuk dipergunakan sebagaimana mestinya. Ket. : * = Pilih salah satu/ coret yang tidak perlu Tempat, Tanggal Yang Membuat Pernyataan, Materai Rp. 6.000,- Pemohon Format-3 KOP SURAT SURAT PERNYATAAN DOKUMEN YANG DISAMPAIKAN BENAR DAN SAH Kami yang bertandatangan di bawah ini: Nama: Jabatan: Perusahaan: Alamat: Dengan ini menyatakan bahwa semua dokumen yang disampaikan sebagai persyaratan permohonan Rekomendasi Impor Produk Hortikultura (RIPH) adalah benar dan sah. Apabila di kemudian hari ternyata melanggar atau pernyataan ini tidak benar, maka kami siap menerima sanksi yang berlaku. Demikian surat pernyataan ini kami buat dengan sebenarnya untuk dipergunakan sebagaimana mestinya. Tempat, Tanggal Yang Membuat Pernyataan, Materai Rp. 6.000,- Pemohon Format-4 KOP SURAT Nomor: Lampiran: 1 Berkas Perihal: Permohonan Rekomendasi Impor Produk Hortikultura Segar Untuk Konsumsi Yth. Menteri Pertanian RI C.q. Kepala Pusat Perlindungan Varietas Tanaman dan Perizinan Pertanian Jl. Harsono RM No. 3 Ragunan Pasar Minggu, Jakarta Selatan Dengan ini kami: Nama: Nama Perusahaan: Alamat: Bentuk Usaha: Nomor Pokok Wajib Pajak: Mengajukan permohonan Rekomendasi Produk Hortikultura (RIPH) Segar Untuk Konsumsi dengan perincian sebagai berikut: No. Nama Negara | Volume Impor | Tempat Pemasukan | Waktu Impor (Bulan) Dst. | | | | Demikian kami sampaikan agar kiranya dapat diproses. Pelaku Usaha, Materai Rp. 6.000,- Tembusan: Menteri Pertanian RI. Format-5 KOP SURAT Nomor: Lampiran: 1 Berkas Perihal: Permohonan Rekomendasi Impor Produk Hortikultura Segar Untuk Bahan Baku Industri Yth. Menteri Pertanian RI C.q. Kepala Pusat Perlindungan Varietas Tanaman dan Perizinan Pertanian Jl. Harsono RM No. 3 Ragunan Pasar Minggu, Jakarta Selatan Dengan ini kami: Nama: Nama Perusahaan: Alamat: Bentuk Usaha: Nomor Pokok Wajib Pajak: Mengajukan permohonan Rekomendasi Produk Hortikultura (RIPH) Segar Untuk Bahan Baku Industri dengan perincian sebagai berikut: No. Nama Negara | Volume Impor | Tempat Pemasukan | Waktu Impor (Bulan) Dst. | | | | Demikian kami sampaikan agar kiranya dapat diproses. Pelaku Usaha, Materai Rp. 6.000,- Tembusan: Menteri Pertanian RI. Format-6 KOP SURAT Nomor: Jakarta, ........ Lampiran: 1 Berkas Perihal: Rekomendasi Impor Produk Hortikultura Segar Yth. Direktur Jenderal Hortikultura Kementerian Pertanian di Jakarta Sehubungan dengan permohonan Rekomendasi Impor Produk Hortikultura (RIPH) yang diajukan oleh PT/CV ..... dengan surat nomor ..... tanggal ..... perihal sebagaimana tersebut di atas yang diterima di Pusat Perlindungan Varietas Tanaman dan Perizinan Pertanian secara online, setelah dilakukan verifikasi terhadap dokumen yang diajukan, permohonan tersebut telah memenuhi persyaratan administratif. Selanjutnya agar dilakukan verifikasi persyaratan teknis. Adapun Produk Hortikultura Segar ..... yang diajukan sebagai berikut: No. Nama Pos Produk | Tarif/HS | Negara Asal | Volume Impor | Tempat Pemasukan | Waktu Impor (Bulan) Dst. | | | | | Sehubungan dengan hal tersebut, permohonan ini dapat diproses lebih lanjut sesuai dengan peraturan perundang-undangan yang berlaku. Atas perhatian dan kerja sama Saudara disampaikan terima kasih. Kepala Pusat PVTPP, QR CODE Tembusan: Menteri Pertanian RI. Format-7 (Baru) KOP SURAT Nomor: Jakarta, ........ Lampiran: Perihal: Rekomendasi Impor Produk Hortikultura Yth. Menteri Perdagangan RI C.q. Direktur Jenderal Kementerian Perdagangan di Jakarta Sehubungan dengan permohonan nomor ..... tanggal ..... perihal permohonan Rekomendasi Impor Produk Hortikultura (RIPH) Segar Untuk ..... atas nama PT/CV ....., dengan mempertimbangkan Peraturan Menteri Pertanian Nomor ... dan Peraturan Menteri Perdagangan Nomor ....., serta memperhatikan surat Kepala Pusat PVTPP nomor ..... tanggal ..... perihal Rekomendasi Impor Produk Hortikultura (RIPH) Segar Untuk ....., dengan rincian Produk Hortikultura Segar Untuk ..... yang diimpor sebagai berikut: No. Nama Pos Produk | Tarif/HS | Negara Asal | Tempat Pemasukan | Waktu Impor (Bulan) Dst. | | | | | Maka kami pada prinsipnya dapat memberikan Rekomendasi Impor Produk Hortikultura (RIPH) Segar Untuk ..... bagi PT/CV ..... dengan ketentuan sebagai berikut: MENTERI PERTANIAN REPUBLIK INDONESIA, ttd AMRAN SULAIMAN www.peraturan.go.id 2019, No.845 Dengan Rahmat Tuhan Yang Maha Esa a. Rekomendasi ini sebagai persyaratan untuk mengajukan izin impor Produk Hortikultura kepada Menteri Perdagangan RI. b. Pelaksanaan impor Produk Hortikultura WAJIB mengikuti Waktu Impor yang tertera di dalam tabel rincian Produk Hortikultura di atas, yang merupakan bagian tidak terpisahkan dari Rekomendasi ini. c. Rekomendasi ini berlaku sejak diterbitkan dan tidak berlaku lagi jika rekomendasi berikutnya diterbitkan. d. Dalam hal Produk Hortikultura sepanjang telah dimuat pada alat angkut dari negara asal paling lambat tanggal 31 Desember, dibuktikan dengan cargo manifest dan Bill of Lading (B/L) atau Air Way Bill (AWB), Rekomendasi ini dinyatakan masih berlaku. e. Produk Hortikultura yang telah dimuat pada alat angkut dari negara asal sebagaimana poin nomor 4 di atas, tiba di Indonesia paling lambat 60 (enam puluh) hari kalender, dibuktikan dengan dokumen Pemberitahuan Impor Barang (PIB). f. Apabila dalam waktu 2 (dua) bulan sejak diterbitkan Rekomendasi ini tidak disampaikan kepada Menteri Perdagangan untuk mendapatkan izin impor Produk Hortikultura, maka Rekomendasi dinyatakan tidak berlaku. Atas perhatian dan kerja sama Saudara disampaikan terima kasih. a.n. Menteri Pertanian Direktur Jenderal Hortikultura --- Format-7 (Perubahan) KOP SURAT Nomor: Jakarta, ........ Lampiran Perihal: Rekomendasi Impor Produk Hortikultura Yth. Menteri Perdagangan RI C.q. Direktur Jenderal Kementerian Perdagangan di Jakarta Sehubungan dengan permohonan nomor ..... tanggal ..... perihal permohonan Rekomendasi Impor Produk Hortikultura (RIPH) Segar Untuk ..... atas nama PT/CV ....., dengan mempertimbangkan Peraturan Menteri Pertanian Nomor ... dan Peraturan Menteri Perdagangan Nomor ....., serta memperhatikan surat Kepala Pusat PVTPP nomor ..... tanggal ..... perihal Rekomendasi Impor Produk Hortikultura (RIPH) Segar Untuk ....., dengan rincian Produk Hortikultura Segar Untuk ..... yang diimpor sebagai berikut: - Nama Pos: - Tarif/HS: - Negara Asal: - Tempat Pemasukan (Bulan): Maka kami pada prinsipnya dapat memberikan Rekomendasi Impor Produk Hortikultura (RIPH) Segar Untuk ..... bagi PT/CV ..... dengan ketentuan sebagai berikut: Atas perhatian dan kerja sama Saudara disampaikan terima kasih. a.n. Menteri Pertanian Direktur Jenderal Hortikultura --- Menetapkan: PERATURAN MENTERI PERTANIAN TENTANG Rekomendasi Impor Produk Hortikultura. KETENTUAN UMUM Dalam Peraturan Menteri ini yang dimaksud dengan: Ruang lingkup Peraturan Menteri ini meliputi: a. persyaratan penerbitan RIPH; b. tata cara penerbitan RIPH; c. kewajiban Pelaku Usaha; dan d. ketentuan sanksi. PERSYARATAN PENERBITAN RIPH Bagian Kesatu Umum",
DOC030,BN+845-2019+DisII.txt,BAB II,,Pasal 3,,1,"RIPH diterbitkan untuk Produk Hortikultura: a. segar untuk konsumsi; dan b. segar untuk bahan baku industri. Produk Hortikultura sebagaimana dimaksud pada ayat (1) tercantum dalam Lampiran I yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini. Impor Produk Hortikultura dapat dilakukan oleh: a. Pelaku Usaha; b. lembaga sosial; atau c. perwakilan negara asing/lembaga internasional. Pelaku Usaha, lembaga sosial, atau perwakilan negara asing/lembaga internasional sebagaimana dimaksud pada ayat (1) dapat melakukan Impor Produk Hortikultura setelah mendapat izin impor dari menteri yang menyelenggarakan urusan pemerintahan di bidang perdagangan setelah mendapat RIPH dari Direktur Jenderal atas nama Menteri. RIPH sebagaimana dimaksud pada ayat (2) menjadi lampiran yang tidak terpisahkan dengan izin impor. Pelaku Usaha, lembaga sosial, atau perwakilan negara asing/lembaga internasional dapat mengajukan permohonan RIPH sewaktu-waktu. Permohonan RIPH sebagaimana dimaksud pada ayat (1) diproses pada hari kerja. Permohonan RIPH untuk tahun berikutnya dapat diajukan mulai bulan November tahun berjalan. Dalam hal untuk stabilisasi pasokan dan harga, Impor Produk Hortikultura hanya dapat dilakukan oleh Badan Usaha Milik Negara. Badan Usaha Milik Negara dalam melakukan Impor Produk Hortikultura sebagaimana dimaksud pada ayat (1) harus mendapat penugasan dari menteri yang menyelenggarakan urusan pemerintahan di bidang Badan Usaha Milik Negara. Menteri yang menyelenggarakan urusan pemerintahan di bidang Badan Usaha Milik Negara dalam memberikan penugasan sebagaimana dimaksud pada ayat (2) berdasarkan hasil rapat koordinasi terbatas bidang perekonomian tingkat menteri.",
DOC030,BN+845-2019+DisII.txt,BAB II,,Pasal 7,,1,Lembaga sosial sebagaimana dimaksud dalam Pasal 4 ayat (1) harus berbadan hukum yang didirikan menurut hukum Indonesia dan berkedudukan di Indonesia.,
DOC030,BN+845-2019+DisII.txt,BAB II,,Pasal 7,,2,"Perwakilan negara asing/lembaga internasional sebagaimana dimaksud dalam Pasal 4 ayat (1) harus berkedudukan di Indonesia. Impor Produk Hortikultura untuk: a. keperluan pengujian, penelitian, dan pengembangan ilmu pengetahuan; b. contoh yang tidak untuk diperdagangkan; dan/atau c. pribadi penumpang, awak sarana pengangkut, dikecualikan dari Peraturan Menteri ini.",
DOC030,BN+845-2019+DisII.txt,BAB II,,Pasal 9,,1,Pelaku usaha yang melakukan impor Produk Hortikultura strategis wajib melakukan pengembangan komoditas hortikultura strategis di dalam negeri.,
DOC030,BN+845-2019+DisII.txt,BAB II,,Pasal 9,,2,Kewajiban pengembangan komoditas hortikultura strategis sebagaimana dimaksud pada ayat (1) sesuai dengan jenis komoditas hortikultura strategis yang dimohonkan dalam RIPH.,
