doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC049,Permendag No. 62 Tahun 2015.txt,,,Pasal 6,,3,"Dalam hal permohonan tertulis sebagaimana dimaksud pada ayat (1) tidak lengkap dan benar, Direktur Jenderal menyampaikan pemberitahuan penolakan permohonan paling lama 5 (lima) hari kerja terhitung sejak permohonan diterima. Pengakuan sebagai IP-NC sebagaimana dimaksud dalam Pasal 6 ayat (2) berlaku selama 1 (satu) tahun. Pengakuan sebagai IP-NC sebagaimana dimaksud dalam Pasal 6 ayat (2) memuat informasi paling sedikit mengenai jenis barang, jumlah barang, klasifikasi barang/Pos Tarif/HS 10 (sepuluh) digit, negara muat dan pelabuhan tujuan.",
DOC049,Permendag No. 62 Tahun 2015.txt,,,Pasal 9,,1,"Untuk memperoleh penetapan sebagai IT-NC sebagaimana dimaksud dalam Pasal 5 ayat (1), perusahaan harus mengajukan permohonan tertulis kepada Direktur Jenderal dengan melampirkan dokumen sebagai berikut: a. fotokopi akta pendirian perusahaan, beserta perubahannya jika ada; b. fotokopi Surat Izin Usaha Perdagangan (SIUP) atau izin usaha yang sejenis dari instansi teknis yang berwenang; c. fotokopi Tanda Daftar Perusahaan (TDP); d. fotokopi Nomor Pokok Wajib Pajak (NPWP); e. fotokopi Angka Pengenal Importir Umum (API-U) yang mencantumkan bagian (section) VII; f. fotokopi Nomor Identitas Kepabeanan (NIK); g. bukti penguasaan tempat penyimpanan/gudang sesuai dengan karakteristik produk; dan h. Rekomendasi dari Dirjen Pothan.",
DOC049,Permendag No. 62 Tahun 2015.txt,,,Pasal 9,,2,Atas permohonan tertulis sebagaimana dimaksud pada ayat (1) Direktur Jenderal menerbitkan penetapan sebagai IT-NC paling lama 5 (lima) hari kerja terhitung sejak permohonan diterima secara lengkap dan benar. Perusahaan yang melakukan impor NC tidak sesuai dengan ketentuan dalam Peraturan Menteri ini dikenakan sanksi sesuai dengan ketentuan peraturan perundang-undangan.,
DOC049,Permendag No. 62 Tahun 2015.txt,,,Pasal 10,,2,NC yang diimpor tidak sesuai dengan ketentuan dalam Peraturan Menteri ini harus diekspor kembali sesuai ketentuan peraturan perundang-undangan.,
DOC049,Permendag No. 62 Tahun 2015.txt,,,Pasal 10,,3,Biaya atas pelaksanaan ekspor kembali sebagaimana dimaksud pada ayat (2) ditanggung oleh importir. Pelaksanaan impor NC selain tunduk pada ketentuan Peraturan Menteri ini juga tunduk pada ketentuan peraturan perundang-undangan lain mengenai NC. Pengawasan terhadap importasi NC dilakukan sesuai ketentuan peraturan perundang-undangan.,
DOC049,Permendag No. 62 Tahun 2015.txt,,,Pasal 12,,2,"Direktur Jenderal dapat membentuk tim terpadu yang terdiri dari wakil instansi terkait untuk melakukan: a. pengawasan terhadap importasi NC; dan/atau b. evaluasi pelaksanaan kebijakan impor NC. Petunjuk teknis pelaksanaan Peraturan Menteri ini dapat ditetapkan oleh Direktur Jenderal. Pengecualian dari ketentuan yang diatur dalam Peraturan Menteri ini ditetapkan oleh Menteri dengan mempertimbangkan usulan dari instansi terkait. Pelaksanaan Peraturan Menteri ini dilakukan evaluasi setiap 6 (enam) bulan. Pada saat Peraturan Menteri ini mulai berlaku, pengakuan sebagai IP-NC dan Persetujuan Impor NC yang diterbitkan berdasarkan Keputusan Menteri Perindustrian dan Perdagangan Nomor 418/MPP/Kep/6/2003 tentang Ketentuan Impor Nitrocellulose (NC) sebagaimana telah diubah dengan Keputusan Menteri Perindustrian dan Perdagangan Nomor 662/MPP/Kep/10/2003, dinyatakan tetap berlaku sampai masa berlakunya berakhir. Pada saat Peraturan Menteri ini mulai berlaku, Keputusan Menteri Perindustrian dan Perdagangan Nomor 418/MPP/Kep/6/2003 tentang Ketentuan Impor Nitrocellulose (NC) sebagaimana telah diubah dengan Keputusan Menteri Perindustrian dan Perdagangan Nomor 662/MPP/Kep/10/2003, dicabut dan dinyatakan tidak berlaku. Peraturan Menteri ini mulai berlaku pada tanggal 1 Januari 2016. Agar setiap orang mengetahuinya, memerintahkan pengundangan Peraturan Menteri ini dengan penempatannya dalam Berita Negara Republik Indonesia. MENTERI PERDAGANGAN REPUBLIK INDONESIA, Ttd. RACHMAT GOBEL LAMPIRAN PERATURAN MENTERI PERDAGANGAN REPUBLIK INDONESIA NOMOR 62/M-DAG/PER/8/2015 TENTANG KETENTUAN IMPOR NITROCELLULOSE JENIS NITROCELLULOSE YANG DIBATASI IMPORNYA - Tidak diplastisasi: - Diplastisasi nitrogen dibawah 12,6%. MENTERI PERDAGANGAN REPUBLIK INDONESIA, Ttd. RACHMAT GOBEL Salinan sesuai dengan aslinya Sekretariat Jenderal Kementerian Perdagangan Dengan Rahmat Tuhan Yang Maha Esa Peraturan Menteri Perdagangan R.I. Nomor 62/M-DAG/PER/8/2015 a. Undang-Undang Nomor 7 Tahun 2014 tentang Perdagangan; b. Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan; c. Peraturan Pemerintah Nomor 85 Tahun 2015 tentang Perubahan atas Peraturan Pemerintah Nomor 10 Tahun 1995 tentang Kepabeanan; d. Peraturan Menteri Perdagangan Nomor 62/M-DAG/PER/8/2015 tentang Ketentuan Umum dan Tata Cara Impor. Menetapkan Peraturan Menteri Perdagangan tentang Ketentuan Umum dan Tata Cara Impor.",
DOC049,Permendag No. 62 Tahun 2015.txt,,,Pasal 10,,1,Penetapan sebagai IT-NC sebagaimana dimaksud dalam Pasal 9 ayat (2) berlaku selama 1 (satu) tahun.,
DOC049,Permendag No. 62 Tahun 2015.txt,,,Pasal 11,,1,Setiap pelaksanaan impor NC oleh IT-NC wajib mendapat Persetujuan Impor dari Menteri.,
DOC049,Permendag No. 62 Tahun 2015.txt,,,Pasal 11,,2,Menteri melimpahkan kewenangan penerbitan Persetujuan Impor sebagaimana dimaksud pada ayat (1) kepada Direktur Jenderal.,
DOC049,Permendag No. 62 Tahun 2015.txt,,,Pasal 12,,1,"Untuk mendapat Persetujuan Impor sebagaimana dimaksud dalam Pasal 11 ayat (1), IT-NC harus mengajukan permohonan tertulis kepada Direktur Jenderal dengan melampirkan dokumen sebagai berikut: a. fotokopi penetapan sebagai IT-NC; b. fotokopi kontrak penjualan NC antara pemilik IT-NC dengan perusahaan produsen atau pengguna akhir, dengan menunjukkan asli kontrak kerjasama penjualan NC; c. Rekomendasi dari Kepala BAIS TNI; dan d. Rekomendasi dari Kepala BAINTELKAM POLRI.",
