doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC053,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 18A,,1,"Pemeriksaan atas Persetujuan Impor yang digunakan untuk Impor Barang Manufaktur sebagai Barang Komplementer, Barang untuk Keperluan Tes Pasar, dan Pelayanan Purna Jual yang tidak terkena ketentuan pembatasan Impor sebagaimana dimaksud dalam Pasal 18 dilakukan oleh Direktorat Jenderal Perlindungan Konsumen dan Tertib Niaga.",
DOC053,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 18A,,2,"Importir Barang Manufaktur sebagaimana dimaksud pada ayat (1) wajib menyimpan dokumen Persetujuan Impor dan dokumen pemberitahuan pabean impor paling singkat 5 (lima) tahun untuk keperluan pemeriksaan sebagaimana dimaksud pada ayat (1). Dalam rangka pengawasan kebijakan Impor, Menteri melalui Direktur Jenderal Perlindungan Konsumen dan Tertib Niaga melakukan pemeriksaan dan pengawasan secara berkala dan/atau sewaktu-waktu jika diperlukan. Pemeriksaan sebagaimana dimaksud pada ayat (1) dilakukan terhadap: a. Persetujuan Impor; dan b. dokumen pendukung Impor lain. Pengawasan sebagaimana dimaksud pada ayat (1) dilakukan terhadap: a. kebenaran laporan realisasi Impor; b. kesesuaian Barang Manufaktur yang diimpor dengan data yang tercantum dalam Persetujuan Impor; dan c. kepatuhan atas peraturan perundang-undangan yang terkait di bidang Barang Manufaktur sebagai Barang Komplementer, Barang untuk Keperluan Tes Pasar, dan Pelayanan Purna Jual. Ketentuan Pasal 20 diubah sehingga berbunyi sebagai berikut:",
DOC053,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,,1,"Untuk kepentingan evaluasi pelaksanaan Peraturan Menteri ini, Direktorat Jenderal Perdagangan Luar Negeri bersama dengan kementerian yang menyelenggarakan urusan pemerintahan di bidang perindustrian dan lembaga pemerintah yang menyelenggarakan urusan pemerintahan di bidang obat dan makanan dapat membentuk Tim Evaluasi Pelaksanaan Impor Barang Manufaktur sebagai Barang Komplementer, Barang untuk Keperluan Tes Pasar, dan Pelayanan Purna Jual.",
DOC053,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 20,,2,"Pelaksanaan Peraturan Menteri ini dievaluasi paling sedikit 1 (satu) kali dalam 1 (satu) tahun dan/atau sewaktu-waktu jika diperlukan. Pasal II Peraturan Menteri ini mulai berlaku pada tanggal diundangkan. Agar setiap orang mengetahuinya, memerintahkan pengundangan Peraturan Menteri ini dengan penempatannya dalam Berita Negara Republik Indonesia. MENTERI PERDAGANGAN REPUBLIK INDONESIA, ttd. AGUS SUPARMANTO Diundangkan di Jakarta pada tanggal 29 Juni 2020 DIREKTUR JENDERAL PERATURAN PERUNDANG-UNDANGAN KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA REPUBLIK INDONESIA, ttd. WIDODO EKATJAHJANA BERITA NEGARA REPUBLIK INDONESIA TAHUN 2020 NOMOR 670 Salinan sesuai dengan aslinya Sekretaris Jenderal Kementerian Perdagangan ZOE. H LAMPIRAN I PERATURAN MENTERI PERDAGANGAN REPUBLIK INDONESIA NOMOR 59 TAHUN 2020 TENTANG PERUBAHAN ATAS PERATURAN MENTERI PERDAGANGAN NOMOR 118/M-DAG/PER/12/2015 TENTANG KETENTUAN IMPOR BARANG KOMPLEMENTER, BARANG UNTUK KEPERLUAN TES PASAR, DAN PELAYANAN PURNA JUAL DAFTAR SEKTOR/SUBSEKTOR YANG DAPAT MENGIMPOR BARANG MANUFAKTUR, DAN BARANG MANUFAKTUR YANG DAPAT DIIMPOR SEBAGAI BARANG KOMPLEMENTER - Industri Perakitan Kendaraan Bermotor - Industri Komponen Kendaraan Bermotor - Industri Alat/Mesin Pertanian - Industri Mesin Perkakas - Carbon Black - Asam Amino - Vegetable Protein - Bahan Pewarna Organik Sintetis dan Bahan Celup - Bahan untuk penyempurnaan proses pencelupan - Pigmen - Natural Polymer - Glycol Fatty Acid - Polymers Fatty Acid - Fatty Derivatives - Bahan Kimia Khusus Untuk Tekstil dan Kertas - Resin - Bahan Kimia Khusus Untuk Proses Permesinan - Karet dan Plastik Hilir - Cat, Kimia Pembersih dan pelumas - Farmasi - Hand Sanitizer - Disinfektan - Alat Pelindung Diri dan Masker - Industri Kertas dan Barang dari Kertas - Industri Furniture - Industri Pengolahan Susu Segar dan Krim - Industri Pengolahan Susu Bubuk dan Susu Kental - Industri Pengolahan Es Krim - Industri Pengolahan Produk dari Susu Lainnya - Industri Kakao - Industri Makanan dari Coklat dan Kembang Gula - Industri Pengolahan Kopi - Industri Pengolahan Teh - Industri Makanan Bayi - Industri Krimer Nabati - Industri Minuman Ringan - Industri Air Minum dan Air Mineral - Industri Rokok Putih - Industri Rokok Lainnya - Industri Hasil Pengolahan Tembakau Lainnya - Industri Bumbu Masak dan Penyedap Masakan - Industri Produk Roti dan Kue - Industri Kembang Gula dan Lainnya - Industri Ransum Makanan Hewan - Industri Kimia Dasar Organik yang bersumber dari Hasil Pertanian - Industri makanan sereal - Industri makanan bayi - Industri Makanan dari Cokelat dan Kembang Gula - Industri Minyak Mentah dan Lemak Nabati - Industri pengolahan gula lainnya bukan sirop - Industri Tepung Beras dan Tepung Jagung - Papan Gypsum - Pewarna Keramik - Industri Serat - Industri Tekstil Lainnya - Industri Obat Tradisional - Industri Suplemen Kesehatan - Industri Kosmetika MENTERI PERDAGANGAN REPUBLIK INDONESIA, ttd. AGUS SUPARMANTO LAMPIRAN II PERATURAN MENTERI PERDAGANGAN REPUBLIK INDONESIA NOMOR 59 TAHUN 2020 TENTANG PERUBAHAN ATAS PERATURAN MENTERI PERDAGANGAN NOMOR 118/M-DAG/PER/12/2015 TENTANG KETENTUAN IMPOR BARANG KOMPLEMENTER, BARANG UNTUK KEPERLUAN TES PASAR, DAN PELAYANAN PURNA JUAL DAFTAR SEKTOR/SUBSEKTOR YANG DAPAT MENGIMPOR BARANG MANUFAKTUR, DAN BARANG MANUFAKTUR YANG DAPAT DIIMPOR UNTUK KEPERLUAN TES PASAR - Industri Perakitan Kendaraan Bermotor - Industri Komponen Kendaraan Bermotor - Elektronika dan Telematika - Produk Industri Kimia Hulu - Karet dan Plastik Hilir - Cat, Kimia Pembersih dan pelumas - Farmasi - Disinfektan - Alat Pelindung Diri dan Masker - Industri Serat - Industri Kain - Industri Pakaian Jadi - Industri Tekstil Lainnya - Industri Kertas dan Barang dari Kertas - Industri Pengolahan Susu Segar dan Krim - Industri Pengolahan Susu Bubuk dan Susu Kental - Industri Pengolahan Es Krim - Industri Pengolahan Produk dari Susu Lainnya - Industri Kakao - Industri Makanan dari Coklat dan Kembang Gula - Industri Pengolahan Kopi - Industri Pengolahan Teh - Industri Makanan Bayi - Industri Krimer Nabati - Industri Minuman Ringan - Industri Air Minum dan Air Mineral - Industri Rokok Putih - Industri Rokok Lainnya - Industri Bumbu Masak dan Penyedap Masakan - Industri Tepung Beras dan Tepung Jagung - Industri Ransum Makanan Hewan - Industri Produk Roti dan Kue - Industri Kimia Dasar Organik yang bersumber dari Hasil Pertanian - Industri makanan bayi - Industri makanan sereal - Industri makanan dari coklat dan kembang gula - Industri Minyak Mentah dan Lemak Nabati - Industri pengolahan gula lainnya bukan sirop - Industri Kembang Gula dan lainnya MENTERI PERDAGANGAN REPUBLIK INDONESIA, ttd. AGUS SUPARMANTO LAMPIRAN III PERATURAN MENTERI PERDAGANGAN REPUBLIK INDONESIA NOMOR 59 TAHUN 2020 TENTANG PERUBAHAN ATAS PERATURAN MENTERI PERDAGANGAN NOMOR 118/M-DAG/PER/12/2015 TENTANG KETENTUAN IMPOR BARANG KOMPLEMENTER, BARANG UNTUK KEPERLUAN TES PASAR, DAN PELAYANAN PURNA JUAL DAFTAR SEKTOR/SUBSEKTOR YANG DAPAT MENGIMPOR BARANG MANUFAKTUR, DAN BARANG MANUFAKTUR YANG DAPAT DIIMPOR UNTUK KEPERLUAN PELAYANAN PURNA JUAL - Industri Perakitan Kendaraan Bermotor - Industri Komponen Kendaraan Bermotor - Elektronika dan Telematika - Industri Alat/Mesin Pertanian - Industri Mesin/Peralatan Pabrik - Industri Alat Berat - Industri Mesin Perkakas - Karet dan Plastik Hilir - Industri Ventilator - Industri Komponen Ventilator MENTERI PERDAGANGAN REPUBLIK INDONESIA, ttd. AGUS SUPARMANTO Undang-Undang Nomor 7 Tahun 1994 tentang Pengesahan Agreement Establishing The World Trade Organization (Persetujuan Pembentukan Organisasi Perdagangan Dunia) (Lembaran Negara Republik Indonesia Tahun 1994 Nomor 57, Tambahan Lembaran Negara Republik Indonesia Nomor 3564); Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan (Lembaran Negara Republik Indonesia Tahun 1995 Nomor 75, Tambahan Lembaran Negara Republik Indonesia Nomor 3612) sebagaimana telah diubah dengan Undang-Undang Nomor 17 Tahun 2006 tentang Perubahan atas Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan (Lembaran Negara Republik Indonesia Tahun 2006 Nomor 93, Tambahan Lembaran Negara Republik Indonesia Nomor 4661); Undang-Undang Nomor 5 Tahun 1999 tentang Larangan Praktek Monopoli dan Persaingan Usaha Tidak Sehat (Lembaran Negara Republik Indonesia Tahun 1999 Nomor 33, Tambahan Lembaran Negara Republik Indonesia Nomor 3817); Undang-Undang Nomor 8 Tahun 1999 tentang Perlindungan Konsumen (Lembaran Negara Republik Indonesia Tahun 1999 Nomor 42, Tambahan Lembaran Negara Republik Indonesia Nomor 3821); Undang-Undang Nomor 39 Tahun 2008 tentang Kementerian Negara (Lembaran Negara Republik Indonesia Tahun 2008 Nomor 166, Tambahan Lembaran Negara Republik Indonesia Nomor 4916); Undang-Undang Nomor 3 Tahun 2014 tentang Perindustrian (Lembaran Negara Republik Indonesia Tahun 2014 Nomor 4, Tambahan Lembaran Negara Republik Indonesia Nomor 5492); Undang-Undang Nomor 7 Tahun 2014 tentang Perdagangan (Lembaran Negara Republik Indonesia Tahun 2014 Nomor 45, Tambahan Lembaran Negara Republik Indonesia Nomor 5512); Undang-Undang Nomor 20 Tahun 2014 tentang Standardisasi dan Penilaian Kesesuaian (Lembaran Negara Republik Indonesia Tahun 2014 Nomor 216, Tambahan Lembaran Negara Republik Indonesia Nomor 5575). Dengan Rahmat Tuhan Yang Maha Esa a. Undang-Undang Nomor 7 Tahun 2014 tentang Perdagangan (Lembaran Negara Republik Indonesia Tahun 2014 Nomor 45, Tambahan Lembaran Negara Republik Indonesia Nomor 5492); b. Undang-Undang Nomor 39 Tahun 2009 tentang Kementerian Negara (Lembaran Negara Republik Indonesia Tahun 2009 Nomor 147, Tambahan Lembaran Negara Republik Indonesia Nomor 5063); c. Peraturan Pemerintah Nomor 72 Tahun 1998 tentang Pengamanan Sediaan Farmasi dan Alat Kesehatan (Lembaran Negara Republik Indonesia Tahun 1998 Nomor 138, Tambahan Lembaran Negara Republik Indonesia Nomor 3781); d. Peraturan Pemerintah Nomor 10 Tahun 2012 tentang Perlakuan Kepabeanan, Perpajakan, dan Cukai serta Tata Laksana Pemasukan dan Pengeluaran Barang ke dan dari serta Berada di Kawasan yang Telah Ditetapkan sebagai Kawasan Perdagangan Bebas dan Pelabuhan Bebas (Lembaran Negara Republik Indonesia Tahun 2012 Nomor 17, Tambahan Lembaran Negara Republik Indonesia Nomor 5277); e. Peraturan Pemerintah Nomor 24 Tahun 2018 tentang Pelayanan Perizinan Berusaha Terintegrasi secara Elektronik atau Online Single Submission di Bidang Perdagangan (Lembaran Negara Republik Indonesia Tahun 2018 Nomor 90, Tambahan Lembaran Negara Republik Indonesia Nomor 6215); f. Peraturan Presiden Nomor 48 Tahun 2015 tentang Kementerian Perdagangan (Lembaran Negara Republik Indonesia Tahun 2015 Nomor 90); g. Peraturan Menteri Perdagangan Nomor 48/M-DAG/PER/7/2015 tentang Ketentuan Umum di Bidang Impor (Berita Negara Republik Indonesia Tahun 2015 Nomor 1006); h. Peraturan Menteri Perdagangan Nomor 118/M-DAG/PER/12/2015 tentang Ketentuan Impor Barang Komplementer, Barang untuk Keperluan Tes Pasar, dan Pelayanan Purna Jual (Berita Negara Republik Indonesia Tahun 2015 Nomor 2001); i. Peraturan Menteri Perdagangan Nomor 08/M-DAG/PER/2/2016 tentang Organisasi dan Tata Kerja Kementerian Perdagangan (Berita Negara Republik Indonesia Tahun 2016 Nomor 202); j. Peraturan Menteri Perdagangan Nomor 75 Tahun 2018 tentang Angka Pengenal Importir (Berita Negara Republik Indonesia Tahun 2018 Nomor 936). Menetapkan: PERATURAN MENTERI PERDAGANGAN TENTANG PERUBAHAN ATAS PERATURAN MENTERI PERDAGANGAN NOMOR 118/M-DAG/PER/12/2015 TENTANG KETENTUAN IMPOR BARANG KOMPLEMENTER, BARANG UNTUK KEPERLUAN TES PASAR, DAN PELAYANAN PURNA JUAL. Pasal I Beberapa ketentuan dalam Peraturan Menteri Perdagangan Nomor 118/M-DAG/PER/12/2015 tentang Ketentuan Impor Barang Komplementer, Barang untuk Keperluan Tes Pasar, dan Pelayanan Purna Jual (Berita Negara Republik Indonesia Tahun 2015 Nomor 2001) diubah sebagai berikut: Dalam Peraturan Menteri ini yang dimaksud dengan:",
DOC053,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 2A,,1,"Sektor/Subsektor yang dapat mengimpor Barang Manufaktur, dan Barang Manufaktur yang dapat diimpor sebagai Barang Komplementer sebagaimana tercantum dalam Lampiran I yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini.",
DOC053,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 2A,,2,"Sektor/Subsektor yang dapat mengimpor Barang Manufaktur, dan Barang Manufaktur yang dapat diimpor untuk Keperluan Tes Pasar sebagaimana tercantum dalam Lampiran II yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini.",
DOC053,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 2A,,3,"Sektor/Subsektor yang dapat mengimpor Barang Manufaktur, dan Barang Manufaktur yang dapat diimpor untuk keperluan Pelayanan Purna Jual sebagaimana tercantum dalam Lampiran III yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini.",
DOC053,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 8,,1,"Untuk mendapatkan Persetujuan Impor sebagaimana dimaksud dalam Pasal 7, perusahaan pemilik NIB yang berlaku sebagai API-P dan Izin Usaha Industri harus mengajukan permohonan secara elektronik kepada Direktur Jenderal melalui sistem INATRADE yang terintegrasi dengan: a. sistem SIINAS, untuk mendapatkan pertimbangan dari kementerian yang menyelenggarakan urusan pemerintahan di bidang perindustrian; dan/atau b. sistem E-BPOM, untuk mendapatkan pertimbangan dari lembaga pemerintah yang menyelenggarakan urusan pemerintahan di bidang obat dan makanan, dengan melampirkan hasil pindai dokumen asli bukti Hubungan Istimewa dengan perusahaan di luar negeri, untuk Barang Komplementer.",
DOC053,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 8,,2,Pengajuan permohonan sebagaimana dimaksud pada ayat (1) hanya dapat dilakukan setelah mendapatkan Hak Akses.,
DOC053,Permendag Nomor 59 Tahun 2020.txt,,,Pasal 9,,1,Dihapus.,
