doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC124,bn1207-2013.txt,,,Pasal 6,,1,"Setiap impor Produk Tertentu oleh IT-Produk Tertentu hanya dapat dilakukan melalui pelabuhan tujuan: a. pelabuhan laut: Belawan di Medan, Tanjung Priok di Jakarta, Tanjung Emas di Semarang, Tanjung Perak di Surabaya, Soekarno Hatta di Makassar, Dumai di Dumai, Jayapura di Jayapura, Tarakan di Tarakan, dan Krueng Geukuh di Aceh Utara; dan/atau b. bandar udara: Kualanamu di Deli Serdang, Soekarno Hatta di Tangerang, Ahmad Yani di Semarang, Juanda di Surabaya, dan Hasanuddin di Makassar.",
DOC124,bn1207-2013.txt,,,Pasal 6,,2,"Impor Produk Tertentu oleh IT-Produk Tertentu yang dilakukan melalui pelabuhan laut Dumai di Dumai, pelabuhan laut Jayapura di Jayapura, dan pelabuhan laut Tarakan di Tarakan hanya untuk produk makanan dan minuman.",
DOC124,bn1207-2013.txt,,,Pasal 6,,3,"Impor Produk Tertentu oleh IT-Produk Tertentu yang dilakukan melalui pelabuhan laut Krueng Geukuh di Aceh Utara hanya untuk produk makanan dan minuman, pakaian jadi, alas kaki, dan elektronika. Ketentuan Pasal 9 ayat (1) diubah sehingga Pasal 9 berbunyi sebagai berikut:",
DOC124,bn1207-2013.txt,,,Pasal 9,,1,"Verifikasi atau penelusuran teknis impor sebagaimana dimaksud dalam Pasal 8 dilakukan terhadap impor Produk Tertentu, meliputi data atau keterangan paling sedikit mengenai: a. Negara dan pelabuhan muat; b. Waktu pengapalan; c. Pelabuhan tujuan; d. Pos Tarif/HS dan uraian barang; e. Nomor Sertifikasi Produk Penggunaan Tanda SNI (SPPT SNI) untuk Produk Tertentu yang SNI-nya diberlakukan secara wajib; dan f. Nomor Certificate of Analysis (CoA) untuk Produk Tertentu yang dipersyaratkan.",
DOC124,bn1207-2013.txt,,,Pasal 9,,2,Hasil verifikasi atau penelusuran teknis impor sebagaimana dimaksud pada ayat (1) dituangkan dalam bentuk Laporan Surveyor (LS) untuk digunakan sebagai dokumen pelengkap pabean dalam penyelesaian kepabeanan di bidang impor.,
DOC124,bn1207-2013.txt,,,Pasal 9,,3,"Atas pelaksanaan verifikasi atau penelusuran teknis impor sebagaimana dimaksud pada ayat (1), Surveyor memungut imbalan jasa dari IT-Produk Tertentu, yang besarannya ditentukan dengan memperhatikan azas manfaat. Ketentuan Pasal 12 diubah sehingga berbunyi sebagai berikut:",
DOC124,bn1207-2013.txt,,,Pasal 12,,1,Perusahaan yang telah mendapatkan penetapan sebagai IT-Produk Tertentu wajib menyampaikan laporan secara tertulis atas pelaksanaan impor Produk Tertentu melalui http://inatrade.kemendag.go.id.,
DOC124,bn1207-2013.txt,,,Pasal 12,,2,Penyampaian laporan sebagaimana dimaksud pada ayat (1) dilakukan dalam hal importasinya terealisasi atau tidak terealisasi.,
DOC124,bn1207-2013.txt,,,Pasal 12,,3,"Laporan sebagaimana dimaksud pada ayat (1) disampaikan setiap 3 (tiga) bulan paling lambat tanggal 15 (lima belas) triwulan berikutnya kepada Koordinator dan Pelaksana UPP, dan Direktur. Ketentuan Pasal 19 diubah sehingga berbunyi sebagai berikut:",
DOC124,bn1207-2013.txt,,,Pasal 19,,1,"Ketentuan dalam Peraturan Menteri ini tidak berlaku terhadap impor: a. Produk Tertentu yang tercakup dalam Pasal 25 ayat (1) dan Pasal 26 ayat (1) Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan sebagaimana telah diubah dengan Undang-Undang Nomor 17 Tahun 2006; b. Produk Tertentu pakaian jadi berupa barang kiriman paling banyak 10 (sepuluh) pieces per pengiriman dan barang pribadi penumpang atau awak sarana pengangkut yang bernilai paling banyak FOB US$ 1.000,00 (seribu dolar Amerika) per orang, dengan menggunakan pesawat udara; c. Produk Tertentu elektronika berupa barang kiriman paling banyak 2 (dua) unit per pengiriman dan barang pribadi penumpang atau awak sarana pengangkut yang bernilai paling banyak FOB US$ 1.500,00 (seribu lima ratus dolar Amerika) per orang, dengan menggunakan pesawat udara; d. Produk Tertentu selain sebagaimana dimaksud pada huruf b dan c berupa barang kiriman atau barang pribadi penumpang atau awak sarana pengangkut yang bernilai paling banyak FOB US$ 1.500,00 (seribu lima ratus dolar Amerika) per orang, dengan menggunakan pesawat udara; e. Produk Tertentu untuk keperluan kegiatan operasi hulu minyak dan gas bumi, panas bumi dan mineral serta sektor energi lainnya; f. Produk Tertentu yang diimpor oleh importir produsen yang digunakan sebagai barang modal dan/atau bahan baku yang terkait dengan industrinya; dan g. Produk Tertentu yang bersifat impor sementara.",
DOC124,bn1207-2013.txt,,,Pasal 19,,2,"Impor Produk Tertentu sebagaimana dimaksud pada ayat (1) huruf b, huruf c, dan huruf d yang melebihi jumlah dan/atau nilai yang ditentukan, terhadap kelebihan jumlah dan/atau nilai Produk Tertentu dikenakan sanksi sebagaimana dimaksud dalam Pasal 18. Di antara Pasal 22 dan Pasal 23 disisipkan 1 (satu) pasal, yakni Pasal 22A sehingga berbunyi sebagai berikut: Pengecualian dari ketentuan yang diatur dalam Peraturan Menteri ini ditetapkan oleh Menteri. Di antara Pasal 23 dan Pasal 24 disisipkan 1 (satu) pasal, yakni Pasal 23A sehingga berbunyi sebagai berikut:",
DOC124,bn1207-2013.txt,,,Pasal 23A,,1,LS sebagai dokumen pelengkap pabean dalam penyelesaian kepabeanan di bidang impor sebagaimana dimaksud dalam Pasal 9 ayat (2) untuk kosmetik mulai berlaku pada tanggal 1 Januari 2014.,
DOC124,bn1207-2013.txt,,,Pasal 23A,,2,"LS sebagaimana dimaksud pada ayat (1) dibuktikan dengan dokumen pabean berupa manifest (BC.1.1). Lampiran Peraturan Menteri Perdagangan Nomor 83/M-DAG/PER/12/2012 tentang Ketentuan Impor Produk Tertentu diubah sehingga menjadi sebagaimana tercantum dalam Lampiran yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini. Pasal II Peraturan Menteri ini mulai berlaku pada tanggal diundangkan. Agar setiap orang mengetahuinya, memerintahkan pengundangan Peraturan Menteri ini dengan penempatannya dalam Berita Negara Republik Indonesia. MENTERI PERDAGANGAN REPUBLIK INDONESIA, GITA IRAWAN WIRJAWAN Diundangkan di Jakarta pada tanggal 7 Oktober 2013 MENTERI HUKUM DAN HAK ASASI MANUSIA REPUBLIK INDONESIA AMIR SYAMSUDIN",
