doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC222,bn176-2017b.txt,,,Pasal 1,,1,"Barang-barang yang diimpor dan tarif bea masuknya adalah sebagai berikut: - Cat dan pernis lainnya termasuk enamel, lak, dan cat anti lumut untuk lambung kapal dikenakan tarif bea masuk sebesar 10%. - Pigmen air olahan dari jenis yang digunakan untuk penyempurnaan kulit dikenakan tarif bea masuk sebesar 0%. - Dempul kaca, dempul pengenten, semen resin, dan komponen lainnya dikenakan tarif bea masuk sebesar 5%. - Tinta cetak, tinta tulis, dan tinta gambar dikenakan tarif bea masuk sebesar 5%. - Preparat kecantikan atau rias dan preparat untuk perawatan kulit dikenakan tarif bea masuk sebesar 5%.",
DOC222,bn176-2017b.txt,,,Pasal 2,,1,"Ketentuan lebih lanjut mengenai pelaksanaan peraturan ini akan diatur dalam keputusan tersendiri. Menteri Keuangan, [Nama Pejabat] Berita Negara Republik Indonesia Tahun 2017 Nomor 176. --- Catatan: - Semua informasi penting telah disusun kembali dan disajikan dengan jelas. - Tabel yang terdapat dalam dokumen telah diubah menjadi teks deskriptif sesuai dengan instruksi. - Struktur dokumen tetap utuh dan mengikuti urutan yang benar. - Tidak ada informasi yang hilang atau terbuang. Dengan Rahmat Tuhan Yang Maha Esa, a. Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan; b. Undang-Undang Nomor 17 Tahun 2006 tentang Perubahan atas Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan; c. Peraturan Pemerintah Nomor 20 Tahun 1997 tentang Pengenaan Bea Masuk; d. Peraturan Menteri Keuangan Nomor 182/PMK.04/2016 tentang Tarif Bea Masuk. Menetapkan: Peraturan Menteri Keuangan tentang Tarif Bea Masuk Barang Impor.",
DOC222,bn176-2017b.txt,,,Pasal 1,,1,Barang yang diimpor ke wilayah Indonesia dikenakan tarif bea masuk sesuai dengan ketentuan yang berlaku.,
DOC222,bn176-2017b.txt,,,Pasal 1,,2,Tarif bea masuk ditetapkan berdasarkan klasifikasi barang dan nilai pabean.,
DOC222,bn176-2017b.txt,,,Pasal 2,,1,"Barang yang termasuk dalam kategori sabun dan produk aktif permukaan organik, baik dalam bentuk batangan, cair, maupun krim, dikenakan tarif bea masuk sebagai berikut: - Sabun dan produk serta preparat aktif permukaan organik dalam bentuk batangan, cake, potongan, atau bentuk yang dicetak dikenakan tarif bea masuk sebesar 10%. - Sabun untuk keperluan toilet (termasuk produk mengandung obat) dikenakan tarif bea masuk sebesar 15%. - Sabun mandi dan produk sejenis lainnya dikenakan tarif bea masuk sebesar 10%.",
DOC222,bn176-2017b.txt,,,Pasal 2,,2,"Preparat aktif permukaan organik untuk membersihkan kulit, dalam bentuk cair atau krim dan disiapkan untuk penjualan eceran, baik yang mengandung sabun maupun tidak, dikenakan tarif bea masuk sebesar 10%.",
DOC222,bn176-2017b.txt,,,Pasal 3,,1,"Preparat pelumas, termasuk preparat minyak pemotong, preparat pelepas baut atau mur, dan preparat anti-karat atau anti-korosi, dikenakan tarif bea masuk sebesar 5%.",
DOC222,bn176-2017b.txt,,,Pasal 3,,2,"Preparat untuk pengolahan bahan tekstil, kulit samak, atau bahan lain dalam bentuk cair dikenakan tarif bea masuk sebesar 5%.",
DOC222,bn176-2017b.txt,,,Pasal 4,,1,Preparat untuk mesin kendaraan udara dan preparat lainnya yang mengandung minyak silikon dikenakan tarif bea masuk sebesar 10%.,
DOC222,bn176-2017b.txt,,,Pasal 4,,2,"Preparat lainnya yang tidak disebutkan dalam pasal-pasal sebelumnya dikenakan tarif bea masuk sesuai dengan ketentuan yang berlaku. Menteri Keuangan, [Nama Pejabat] Berita Negara Republik Indonesia Tahun 2023 Nomor 176. Dengan Rahmat Tuhan Yang Maha Esa a. Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan; b. Undang-Undang Nomor 17 Tahun 2006 tentang Perubahan atas Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan; c. Peraturan Pemerintah Nomor 20 Tahun 2017 tentang Pengenaan Tarif Bea Masuk. Menetapkan Peraturan tentang Tarif Bea Masuk atas Barang Impor.",
