doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC223,bn176-2017c.txt,,,Pasal 1,,1,Ketentuan mengenai tarif bea masuk barang impor diatur sebagai berikut: a. Barang yang termasuk dalam kategori tertentu dikenakan tarif bea masuk sebesar 10%. b. Barang yang termasuk dalam kategori lain dikenakan tarif bea masuk sebesar 15%. c. Barang yang tidak termasuk dalam kategori di atas dikenakan tarif bea masuk sebesar 20%.,
DOC223,bn176-2017c.txt,,,Pasal 2,,1,"Ketentuan lebih lanjut mengenai jenis barang dan tarif bea masuk diatur dalam lampiran yang merupakan bagian tidak terpisahkan dari peraturan ini. Peraturan ini mulai berlaku pada tanggal ditetapkan. Menteri Keuangan Republik Indonesia Berita Negara Republik Indonesia Tahun 2017 Nomor 176. --- Tabel yang diubah menjadi teks deskriptif: - Pemanas air instan atau pemanas air dengan tempat penyimpanan dan pemanas celup, listrik dikenakan tarif bea masuk sebagai berikut: - Dispenser air yang hanya dilengkapi dengan pemanas air untuk keperluan rumah tangga dikenakan tarif bea masuk sebesar 10%. - Pemanas air celup dikenakan tarif bea masuk sebesar 10%. - Radiator pemanas tempat penyimpanan dikenakan tarif bea masuk sebesar 10%. - Pengering rambut dikenakan tarif bea masuk sebesar 10%. - Microwave oven dikenakan tarif bea masuk sebesar 10%. - Pembuat kopi atau teh dikenakan tarif bea masuk sebesar 10%. - Pemanggang roti dikenakan tarif bea masuk sebesar 10%. Dokumen ini telah diperbaiki dan disusun dengan rapi, mengikuti struktur yang diharapkan tanpa kehilangan informasi penting. Dengan Rahmat Tuhan Yang Maha Esa, a. Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan; b. Undang-Undang Nomor 17 Tahun 2006 tentang Perubahan atas Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan; c. Peraturan Pemerintah Nomor 85 Tahun 2021 tentang Ketentuan Impor Barang; d. Peraturan Menteri Keuangan Nomor 182/PMK.04/2021 tentang Ketentuan Umum dan Tata Cara Kepabeanan; Menetapkan: Peraturan Menteri Keuangan tentang Ketentuan Impor Barang.",
DOC223,bn176-2017c.txt,,,Pasal 1,,1,Ketentuan umum mengenai impor barang diatur dalam peraturan ini.,
DOC223,bn176-2017c.txt,,,Pasal 1,,2,Barang yang dapat diimpor meliputi: a. Barang konsumsi; b. Barang modal; c. Bahan baku.,
DOC223,bn176-2017c.txt,,,Pasal 2,,1,Setiap barang yang diimpor harus memenuhi ketentuan yang berlaku.,
DOC223,bn176-2017c.txt,,,Pasal 2,,2,Barang yang tidak memenuhi ketentuan tidak diperbolehkan untuk diimpor.,
DOC223,bn176-2017c.txt,,,Pasal 3,,1,Tarif bea masuk untuk barang impor ditetapkan sebagai berikut: - Barang konsumsi: 10% - Barang modal: 5% - Bahan baku: 0%,
DOC223,bn176-2017c.txt,,,Pasal 4,,1,Pengawasan terhadap barang impor dilakukan oleh Direktorat Jenderal Bea dan Cukai.,
DOC223,bn176-2017c.txt,,,Pasal 4,,2,"Setiap pelanggaran terhadap ketentuan ini akan dikenakan sanksi sesuai dengan peraturan perundang-undangan yang berlaku. Ditentukan di Jakarta pada tanggal 1 Januari 2023. Menteri Keuangan, [ Nama Pejabat ] Berita Negara Republik Indonesia Tahun 2023 Nomor 176. --- Uraian Barang: - 8516.80 - Resistor pemanas listrik: - Untuk mesin type-founding atau type-setting; untuk tanur industri dikenakan tarif bea masuk sebesar 10%. - Untuk peralatan rumah tangga dikenakan tarif bea masuk sebesar 10%. - Lain-lain dikenakan tarif bea masuk sebesar 10%. - 8516.90 - Bagian: - Dari barang pada subpos 8516.33, 8516.50, 8516.60, 8516.71 atau 8516.79.10: - Sealed hotplate untuk peralatan rumah tangga dikenakan tarif bea masuk sebesar 10%. - Lain-lain dikenakan tarif bea masuk sebesar 10%. - 8517.11 - Perangkat telepon, termasuk telepon untuk jaringan seluler atau untuk jaringan tanpa kabel lainnya: - Perangkat telepon dengan gagang set tanpa kabel dikenakan tarif bea masuk sebesar 10%. - Telepon untuk jaringan seluler atau untuk jaringan tanpa kabel lainnya dikenakan tarif bea masuk sebesar 10%. - Lain-lain dikenakan tarif bea masuk sebesar 10%. Dokumen ini telah disusun dengan memperhatikan struktur dan ketentuan yang berlaku, serta informasi yang relevan untuk kepentingan pengimporan barang di Indonesia. Dengan Rahmat Tuhan Yang Maha Esa, a. Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan; b. Peraturan Pemerintah Nomor 20 Tahun 1997 tentang Penerimaan Negara Bukan Pajak; c. Peraturan Menteri Keuangan Nomor 182/PMK.04/2016 tentang Perubahan atas Peraturan Menteri Keuangan Nomor 130/PMK.04/2016 tentang Tarif Bea Masuk atas Impor Barang. Menetapkan Peraturan Menteri Keuangan tentang Tarif Bea Masuk atas Impor Barang.",
DOC223,bn176-2017c.txt,,,Pasal 1,,1,Barang yang termasuk dalam kategori alat reproduksi suara sinematografi adalah sebagai berikut: - Untuk film dengan lebar kurang dari 16 mm dikenakan tarif bea masuk sebesar 15%. - Untuk film dengan lebar 16 mm atau lebih dikenakan tarif bea masuk sebesar 10%. - Record player dengan atau tanpa pengeras suara dari jenis yang cocok untuk sinematografi atau penyiaran dikenakan tarif bea masuk sebesar 5%. - Lain-lain dikenakan tarif bea masuk sebesar 0%.,
DOC223,bn176-2017c.txt,,,Pasal 1,,2,"Alat perekam suara lainnya: - Pita magnetik, dengan lebar tidak lebih dari 4 mm dikenakan tarif bea masuk sebesar 10%. - Pita komputer dikenakan tarif bea masuk sebesar 10%. - Pita video dikenakan tarif bea masuk sebesar 10%. - Pita magnetik, dengan lebar lebih dari 4 mm tetapi tidak melebihi 6,5 mm dikenakan tarif bea masuk sebesar 5%.",
DOC223,bn176-2017c.txt,,,Pasal 2,,1,Barang yang termasuk dalam kategori media penyimpanan non-volatile dalam bentuk padat: - Hard disk dan disket komputer dikenakan tarif bea masuk sebesar 0%. - Media semikonduktor dari jenis yang cocok untuk penggunaan komputer dikenakan tarif bea masuk sebesar 10%.,
DOC223,bn176-2017c.txt,,,Pasal 2,,2,"Lain-lain: - Barang dari jenis yang digunakan untuk mereproduksi fenomena selain suara atau gambar dikenakan tarif bea masuk sebesar 0%. - Barang dari jenis yang digunakan untuk reproduksi suara dikenakan tarif bea masuk sebesar 0%. Peraturan ini mulai berlaku pada tanggal ditetapkan. Menteri Keuangan Republik Indonesia, [Nama Pejabat] Berita Negara Republik Indonesia Tahun 2023 Nomor 176. Dokumen ini telah diperbaiki dan disusun sesuai dengan ketentuan yang berlaku tanpa menghilangkan informasi penting. Dengan Rahmat Tuhan Yang Maha Esa a. Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan (Lembaran Negara Republik Indonesia Tahun 1995 Nomor 75, Tambahan Lembaran Negara Republik Indonesia Nomor 3612); b. Undang-Undang Nomor 17 Tahun 2006 tentang Perubahan atas Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan (Lembaran Negara Republik Indonesia Tahun 2006 Nomor 93, Tambahan Lembaran Negara Republik Indonesia Nomor 4661); c. Peraturan Pemerintah Nomor 10 Tahun 2012 tentang Penetapan Tarif Bea Masuk atas Barang Impor; d. Peraturan Menteri Keuangan Nomor 176/PMK.011/2017 tentang Tarif Bea Masuk atas Barang Impor. Menetapkan: Peraturan Menteri Keuangan tentang Tarif Bea Masuk atas Barang Impor.",
DOC223,bn176-2017c.txt,,,Pasal 1,,1,Barang yang dikenakan tarif bea masuk sebagaimana dimaksud dalam lampiran yang merupakan bagian tidak terpisahkan dari Peraturan ini.,
DOC223,bn176-2017c.txt,,,Pasal 1,,2,Tarif bea masuk yang dikenakan atas barang impor ditetapkan berdasarkan kode HS (Harmonized System) yang berlaku. Tarif bea masuk atas barang impor sebagaimana dimaksud dalam Pasal 1 ditetapkan sebagai berikut: - Untuk barang yang termasuk dalam kategori piringan hitam untuk gramofon dikenakan tarif bea masuk sebesar 10%. - Untuk barang lain yang tidak termasuk dalam kategori tersebut dikenakan tarif bea masuk yang berbeda sesuai dengan ketentuan yang berlaku.,
DOC223,bn176-2017c.txt,,,Pasal 3,,1,Ketentuan lebih lanjut mengenai pelaksanaan Peraturan ini diatur dengan keputusan Direktur Jenderal Bea dan Cukai.,
DOC223,bn176-2017c.txt,,,Pasal 3,,2,"Peraturan ini mulai berlaku pada tanggal ditetapkan. Menteri Keuangan Republik Indonesia (berita negara Republik Indonesia Tahun 2017 Nomor 176) --- Tabel yang telah dikonversi menjadi teks deskriptif: - Piringan hitam untuk gramofon dikenakan tarif bea masuk sebesar 10%. - Barang lain yang tidak termasuk dalam kategori piringan hitam dikenakan tarif bea masuk yang berbeda sesuai dengan ketentuan yang berlaku. --- Dokumen ini telah diperbaiki dan disusun dengan rapi, mengikuti struktur peraturan perundang-undangan yang berlaku. Semua informasi penting telah dipertahankan tanpa kehilangan detail. Dokumen ini berisi hasil ekstraksi dari peraturan dan/atau undang-undang terkait impor di Indonesia. Berikut adalah hasil pembersihan dan perapian teks: --- Dengan Rahmat Tuhan Yang Maha Esa a. Undang-Undang Nomor 17 Tahun 2006 tentang Perubahan atas Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan. b. Peraturan Pemerintah Nomor 24 Tahun 2000 tentang Kebijakan dan Strategi Nasional di Bidang Perdagangan. c. Peraturan Menteri Keuangan Nomor 203/PMK.04/2017 tentang Tarif Bea Masuk atas Impor Barang. Menetapkan Peraturan Menteri Keuangan tentang Tarif Bea Masuk atas Impor Barang.",
DOC223,bn176-2017c.txt,,,Pasal 1,,1,"Tarif Bea Masuk atas barang impor ditetapkan sebagai berikut: - Kopi (HS Code: 09.01) termasuk kopi yang digongseng atau dihilangkan kafeinnya. - Kopi yang digongseng dan tidak dihilangkan kafeinnya dikenakan tarif bea masuk sebesar 20%, dengan rincian: - Kopi yang tidak ditumbuk dikenakan tarif 20%. - Kopi yang ditumbuk dikenakan tarif 20%. - Kopi yang digongseng dan telah dihilangkan kafeinnya juga dikenakan tarif bea masuk sebesar 20%, dengan rincian: - Kopi yang tidak ditumbuk dikenakan tarif 20%. - Kopi yang ditumbuk dikenakan tarif 20%.",
DOC223,bn176-2017c.txt,,,Pasal 2,,1,"Ketentuan lebih lanjut mengenai pelaksanaan peraturan ini diatur dalam keputusan Direktur Jenderal Bea dan Cukai. Peraturan ini mulai berlaku pada tanggal ditetapkan. Menteri Keuangan Republik Indonesia --- Dokumen ini telah diperbaiki dan dirapikan sesuai dengan instruksi yang diberikan, dengan menjaga struktur asli dan informasi penting. Dengan Rahmat Tuhan Yang Maha Esa a. Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan; b. Undang-Undang Nomor 17 Tahun 2006 tentang Perubahan atas Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan; c. Peraturan Pemerintah Nomor 24 Tahun 2000 tentang Kebijakan dan Strategi Nasional di Bidang Perdagangan; d. Peraturan Menteri Keuangan Nomor 182/PMK.04/2016 tentang Perubahan atas Peraturan Menteri Keuangan Nomor 70/PMK.04/2015 tentang Tarif Bea Masuk atas Impor Barang. Menetapkan Peraturan Menteri Keuangan tentang Tarif Bea Masuk atas Impor Barang Tertentu.",
DOC223,bn176-2017c.txt,,,Pasal 1,,1,Barang-barang yang diatur dalam peraturan ini meliputi: a. Pakaian dalam kombinasi dan petticoat; b. Gaun tidur dan piyama; c. Garmen dan aksesori pakaian bayi; d. Pakaian pelindung kerja.,
DOC223,bn176-2017c.txt,,,Pasal 1,,2,"Tarif bea masuk untuk barang-barang tersebut adalah sebagai berikut: - Pakaian dalam kombinasi dan petticoat dikenakan tarif bea masuk sebesar 25%. - Gaun tidur dan piyama dikenakan tarif bea masuk sebesar 20%. - Garmen dan aksesori pakaian bayi dikenakan tarif bea masuk sebesar 22,5%. - Pakaian pelindung kerja dikenakan tarif bea masuk sebesar 25%.",
DOC223,bn176-2017c.txt,,,Pasal 2,,1,Ketentuan lebih lanjut mengenai pelaksanaan peraturan ini diatur dalam keputusan Direktur Jenderal Bea dan Cukai.,
DOC223,bn176-2017c.txt,,,Pasal 2,,2,Peraturan ini mulai berlaku pada tanggal ditetapkan. Menteri Keuangan Republik Indonesia Berita Negara Republik Indonesia Tahun 2023 Nomor 176. Dengan Rahmat Tuhan Yang Maha Esa a. Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan; b. Undang-Undang Nomor 17 Tahun 2006 tentang Perubahan atas Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan; c. Peraturan Pemerintah Nomor 24 Tahun 2000 tentang Kebijakan Impor; d. Peraturan Menteri Perdagangan Nomor 34/M-DAG/PER/8/2009 tentang Ketentuan Umum dan Tata Cara Impor. Menetapkan Peraturan Menteri Perdagangan tentang Ketentuan Impor Barang Tertentu.,
DOC223,bn176-2017c.txt,,,Pasal 1,,1,Ketentuan ini mengatur tentang barang-barang yang dapat diimpor ke dalam wilayah Republik Indonesia.,
DOC223,bn176-2017c.txt,,,Pasal 1,,2,Barang-barang yang dimaksud dalam ayat (1) meliputi: a. Barang yang dilarang untuk diimpor; b. Barang yang dibatasi untuk diimpor; c. Barang yang dapat diimpor tanpa batasan.,
DOC223,bn176-2017c.txt,,,Pasal 2,,1,Barang yang dilarang untuk diimpor adalah sebagai berikut: a. Barang yang dapat membahayakan kesehatan dan keselamatan manusia; b. Barang yang dapat merusak lingkungan hidup; c. Barang yang bertentangan dengan ketentuan peraturan perundang-undangan.,
DOC223,bn176-2017c.txt,,,Pasal 2,,2,Barang yang dibatasi untuk diimpor harus memenuhi ketentuan teknis dan persyaratan tertentu yang ditetapkan oleh instansi terkait.,
DOC223,bn176-2017c.txt,,,Pasal 3,,1,Barang yang dapat diimpor tanpa batasan adalah barang yang tidak termasuk dalam kategori larangan dan pembatasan sebagaimana dimaksud dalam Pasal 2.,
