doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC512,peraturan-bapanas-no-31-tahun-2023.txt,,,Pasal 2,,1,Penetapan Kebutuhan Ekspor Pangan dan Impor Pangan dilakukan berdasarkan analisis neraca pangan.,
DOC512,peraturan-bapanas-no-31-tahun-2023.txt,,,Pasal 2,,2,Neraca pangan sebagaimana dimaksud pada ayat (1) merupakan perbandingan antara ketersediaan pangan dan kebutuhan pangan.,
DOC512,peraturan-bapanas-no-31-tahun-2023.txt,,,Pasal 3,,1,Kebutuhan Ekspor Pangan dan Impor Pangan ditetapkan setiap tahun.,
DOC512,peraturan-bapanas-no-31-tahun-2023.txt,,,Pasal 3,,2,Penetapan Kebutuhan Ekspor Pangan dan Impor Pangan sebagaimana dimaksud pada ayat (1) dilakukan oleh Kepala Badan.,
DOC512,peraturan-bapanas-no-31-tahun-2023.txt,,,Pasal 4,,1,Penetapan Kebutuhan Ekspor Pangan dan Impor Pangan dilakukan dengan mempertimbangkan: a. kondisi ketersediaan pangan; b. permintaan pasar; c. kondisi cuaca; d. kebijakan pemerintah.,
DOC512,peraturan-bapanas-no-31-tahun-2023.txt,,,Pasal 4,,2,Penetapan Kebutuhan Ekspor Pangan dan Impor Pangan sebagaimana dimaksud pada ayat (1) harus dilakukan secara transparan dan akuntabel. Penetapan Kebutuhan Ekspor Pangan dan Impor Pangan sebagaimana dimaksud dalam Pasal 4 ayat (1) paling sedikit memuat: a. jenis pangan; b. pos tarif/harmonized system; c. volume pangan; dan d. satuan pangan.,
DOC512,peraturan-bapanas-no-31-tahun-2023.txt,,,Pasal 5,,2,"Bentuk dan format penetapan Kebutuhan Ekspor Pangan dan Impor Pangan sebagaimana dimaksud pada ayat (1) tercantum dalam Lampiran yang merupakan bagian tidak terpisahkan dari Peraturan Badan ini. Hasil penghitungan neraca pangan sebagaimana dimaksud dalam Pasal 4 ayat (3) huruf a, berupa: a. pangan dalam kondisi surplus; dan b. pangan dalam kondisi defisit. Hasil penghitungan CPP sebagaimana dimaksud dalam Pasal 4 ayat (3) huruf b, berupa: a. CPP lebih dari syarat minimal; dan b. CPP kurang dari syarat minimal. Ketentuan lebih lanjut mengenai Tata Cara Penetapan Kebutuhan Ekspor Pangan dan Impor Pangan diatur dalam petunjuk teknis yang ditetapkan oleh Kepala Badan. TAHAPAN PENETAPAN Tahapan penetapan Kebutuhan Ekspor Pangan dan Impor Pangan meliputi: a. penganalisisan data neraca pangan; b. penganalisisan kebutuhan CPP; c. penentuan jumlah Kebutuhan Ekspor Pangan dan Impor Pangan; dan d. penetapan Kebutuhan Ekspor Pangan dan Impor Pangan oleh Kepala Badan. PELAKSANAAN",
DOC512,peraturan-bapanas-no-31-tahun-2023.txt,BAB IV,,Pasal 10,,1,Kepala Badan dalam menetapkan Kebutuhan Ekspor Pangan dan Impor Pangan dapat membentuk tim.,
DOC512,peraturan-bapanas-no-31-tahun-2023.txt,BAB IV,,Pasal 10,,2,Tim sebagaimana dimaksud pada ayat (1) paling sedikit terdiri atas: a. Badan Pangan Nasional; b. kementerian yang mengoordinasikan urusan pemerintah di bidang perekonomian; c. kementerian yang menyelenggarakan urusan pemerintahan di bidang pertanian; d. kementerian yang menyelenggarakan urusan pemerintahan di bidang perdagangan; e. kementerian yang menyelenggarakan urusan pemerintahan di bidang kelautan dan perikanan; f. kementerian yang menyelenggarakan urusan pemerintahan di bidang perindustrian; g. kementerian yang menyelenggarakan urusan pemerintahan di bidang badan usaha milik negara; h. lembaga pemerintah nonkementerian yang menyelenggarakan tugas pemerintahan di bidang kegiatan statistik; dan i. lembaga pemerintah yang berada di bawah dan bertanggung jawab kepada Presiden yang mempunyai tugas melaksanakan tugas pemerintahan di bidang karantina.,
DOC512,peraturan-bapanas-no-31-tahun-2023.txt,BAB IV,,Pasal 10,,3,"Tim sebagaimana dimaksud pada ayat (1) mempunyai tugas: a. menganalisis Kebutuhan Ekspor Pangan dan Impor Pangan berdasarkan neraca pangan dan kebutuhan CPP; dan b. memberikan masukan atau pertimbangan kepada Kepala Badan dalam menetapkan Kebutuhan Ekspor Pangan dan Impor Pangan. PENDANAAN Pendanaan untuk pelaksanaan penetapan Kebutuhan Ekspor Pangan dan Impor Pangan bersumber pada anggaran pendapatan dan belanja negara. KETENTUAN PENUTUP Peraturan Badan ini mulai berlaku pada tanggal diundangkan. Agar setiap orang mengetahuinya, memerintahkan pengundangan Peraturan Badan ini dengan penempatannya dalam Berita Negara Republik Indonesia. KEPALA BADAN PANGAN NASIONAL REPUBLIK INDONESIA, ttd. ARIEF PRASETYO ADI Diundangkan di Jakarta pada tanggal 27 Desember 2023 DIREKTUR JENDERAL PERATURAN PERUNDANG-UNDANGAN KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA REPUBLIK INDONESIA, ttd. ASEP N. MULYANA",
