doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC515,peraturan-bkpm-no-1-tahun-2024.txt,,,Pasal 2,,1,"Pelaku Usaha dapat diberikan insentif atas impor KBL Berbasis Baterai CBU Roda Empat, dengan jumlah tertentu, dalam jangka waktu pemanfaatan insentif, berupa: a. Bea masuk tarif 0% (nol persen) dan PPnBM ditanggung pemerintah; atau b. PPnBM ditanggung pemerintah.",
DOC515,peraturan-bkpm-no-1-tahun-2024.txt,,,Pasal 2,,2,"Pelaku Usaha dapat diberikan insentif atas KBL Berbasis Baterai CKD Roda Empat, dengan jumlah tertentu yang akan dirakit di Indonesia dengan capaian TKDN paling rendah 20% (dua puluh persen) dan paling tinggi kurang dari 40% (empat puluh persen), dalam jangka waktu pemanfaatan insentif, berupa: a. Bea masuk tarif 0% (nol persen) atas impor KBL Berbasis Baterai CKD Roda Empat dan PPnBM ditanggung pemerintah atas penyerahan KBL Berbasis Baterai Roda Empat yang diproduksi dari KBL Berbasis Baterai CKD Roda Empat yang diberikan insentif bea masuk tarif 0% (nol persen) atas impor KBL Berbasis Baterai CKD Roda Empat; atau b. PPnBM ditanggung pemerintah atas penyerahan KBL Berbasis Baterai Roda Empat yang diproduksi.",
DOC515,peraturan-bkpm-no-1-tahun-2024.txt,,,Pasal 2,,3,Insentif sebagaimana dimaksud pada ayat (1) huruf b dan ayat (2) huruf b hanya dapat diberikan kepada Pelaku Usaha yang melakukan impor dari negara yang memiliki perjanjian atau kesepakatan internasional dengan Indonesia. Pelaku usaha sebagaimana dimaksud pada ayat (2a) dapat mengajukan bea masuk tarif preferensi. Tarif preferensi sebagaimana dimaksud pada ayat (2b) merupakan tarif bea masuk berdasarkan perjanjian atau kesepakatan internasional yang besarnya ditetapkan dalam Peraturan Menteri Keuangan mengenai penetapan tarif bea masuk berdasarkan perjanjian atau kesepakatan internasional.,
DOC515,peraturan-bkpm-no-1-tahun-2024.txt,,,Pasal 2,,4,"Insentif sebagaimana dimaksud pada ayat (1), ayat (2), dan ayat (2a) dilaksanakan sesuai dengan peraturan menteri yang menyelenggarakan urusan pemerintahan di bidang keuangan negara.",
DOC515,peraturan-bkpm-no-1-tahun-2024.txt,,,Pasal 2,,5,"Untuk mendapatkan insentif sebagaimana dimaksud pada ayat (1) dan ayat (2), Pelaku Usaha harus berkomitmen untuk memproduksi KBL Berbasis Baterai Roda Empat di Indonesia yang memenuhi spesifikasi teknis sebagaimana diatur dalam peraturan menteri yang menyelenggarakan urusan pemerintahan di bidang perindustrian.",
DOC515,peraturan-bkpm-no-1-tahun-2024.txt,,,Pasal 2,,6,"Pelaku Usaha sebagaimana dimaksud pada ayat (1) dan ayat (2) harus memenuhi kriteria investasi sebagai berikut: a. Perusahaan industri yang akan membangun fasilitas manufaktur KBL Berbasis Baterai Roda Empat di Indonesia; b. Perusahaan industri yang sudah melakukan investasi fasilitas manufaktur kendaraan bermotor berbasis motor bakar (internal combustion engine) roda empat di Indonesia yang akan melakukan alih produksi menjadi KBL Berbasis Baterai Roda Empat, baik sebagian atau keseluruhan; dan/atau c. Perusahaan industri yang sudah melakukan investasi fasilitas manufaktur KBL Berbasis Baterai Roda Empat di Indonesia dalam rangka pengenalan produk baru dengan cara peningkatan rencana dan/atau kapasitas produksi, tidak termasuk dalam rangka penganekaan produk tanpa peningkatan rencana dan/atau kapasitas produksi.",
DOC515,peraturan-bkpm-no-1-tahun-2024.txt,,,Pasal 2,,7,"Jangka waktu pemanfaatan insentif sebagaimana dimaksud pada ayat (1) dan ayat (2) berlaku terhitung sejak tanggal peraturan ini diundangkan sampai dengan tanggal 31 Desember 2025. Ketentuan ayat (1), ayat (2), dan ayat (3) Pasal 3 diubah dan ditambah 1 (satu) ayat yakni ayat (4), sehingga Pasal 3 berbunyi sebagai berikut:",
DOC515,peraturan-bkpm-no-1-tahun-2024.txt,,,Pasal 3,,1,"Untuk mendapatkan insentif sebagaimana dimaksud dalam Pasal 2 ayat (1) dan ayat (2), Pelaku Usaha mengajukan permohonan melalui Sistem OSS untuk: a. Surat usulan pemberian insentif; b. Surat persetujuan pemanfaatan insentif; dan/atau c. Perubahan surat persetujuan pemanfaatan insentif, impor dan/atau penyerahan KBL Berbasis Baterai Roda Empat.",
DOC515,peraturan-bkpm-no-1-tahun-2024.txt,,,Pasal 3,,2,"Insentif sebagaimana dimaksud pada ayat (1) dilaksanakan dengan ketentuan: a. Permohonan surat usulan sebagaimana dimaksud pada ayat (1) huruf (a) disampaikan paling lambat tanggal 31 Maret 2025; b. Permohonan surat persetujuan sebagaimana dimaksud pada ayat (1) huruf (b) disampaikan paling lambat tanggal 31 Maret 2025. Diterbitkan di Jakarta, dd/mm/yyyy Menteri Investasi dan Hilirisasi/Kepala Badan Koordinasi Penanaman Modal Republik Indonesia, (Nama) Ditandatangani secara elektronik Salinan disampaikan kepada: Dokumen ini diterbitkan sistem OSS berdasarkan data dari pelaku usaha, tersimpan dalam sistem OSS, yang menjadi tanggung jawab pelaku usaha. Dalam hal terjadi kekeliruan isi dokumen ini akan dilakukan perubahan sebagaimana mestinya. Dokumen ini telah ditandatangani secara elektronik menggunakan sertifikat elektronik yang diterbitkan oleh BSrE-BSSN. Dengan Rahmat Tuhan Yang Maha Esa a. Undang-Undang Nomor 17 Tahun 2006 tentang Perubahan atas Undang-Undang Nomor 10 Tahun 1995 tentang Kepabeanan; b. Peraturan Presiden Nomor 55 Tahun 2019 tentang Percepatan Program Kendaraan Bermotor Listrik Berbasis Baterai untuk Transportasi Jalan; c. Peraturan Menteri Keuangan Nomor 199/PMK.010/2019 tentang Pemberian Insentif Bea Masuk dan Pajak Penjualan atas Barang Mewah untuk Kendaraan Bermotor Listrik Berbasis Baterai. Menetapkan Peraturan Menteri tentang Pemberian Insentif Impor KBL Berbasis Baterai Roda Empat. Dalam Peraturan Menteri ini yang dimaksud dengan:",
DOC515,peraturan-bkpm-no-1-tahun-2024.txt,,,Pasal 2,,1,Pelaku Usaha yang ingin mendapatkan insentif impor KBL Berbasis Baterai Roda Empat harus mengajukan permohonan surat persetujuan kepada Menteri dengan melengkapi dokumen persyaratan sebagai berikut: a. NIB yang berlaku sebagai angka pengenal impor produsen (API-P); b. Perizinan Berusaha di bidang industri kendaraan bermotor roda empat atau lebih; c. Rencana investasi; d. Jumlah total unit KBL Berbasis Baterai Roda Empat yang dimohonkan insentif; e. Rincian terkait KBL Berbasis Baterai Roda Empat yang dimohonkan untuk diberikan insentif per periode pengimporan meliputi: f. Surat komitmen untuk: a) Siap berproduksi komersial paling lambat tanggal 1 Januari 2026; b) Diproduksi paling lambat tanggal 31 Desember 2027; c) Memenuhi target minimum capaian TKDN sebagaimana ketentuan dalam peraturan presiden mengenai percepatan program kendaraan bermotor listrik berbasis baterai untuk transportasi jalan;,
