doc_id,nama_dokumen,bab,bagian,pasal,angka,ayat,isi,penjelasan
DOC518,permendag-3-2015.txt,,,Pasal 2,,1,"Setiap pelaksanaan ekspor dan impor minyak bumi, gas bumi, dan bahan bakar lain harus memenuhi ketentuan yang diatur dalam Peraturan Menteri ini.",
DOC518,permendag-3-2015.txt,,,Pasal 2,,2,Pelaksana ekspor dan impor wajib memiliki izin yang ditetapkan oleh Menteri.,
DOC518,permendag-3-2015.txt,,,Pasal 3,,1,"Izin untuk melakukan ekspor dan impor minyak bumi, gas bumi, dan bahan bakar lain disebut sebagai Izin Ekspor dan Izin Impor.",
DOC518,permendag-3-2015.txt,,,Pasal 3,,2,Izin Ekspor dan Izin Impor diterbitkan oleh Menteri berdasarkan permohonan yang diajukan oleh pelaksana ekspor dan impor.,
DOC518,permendag-3-2015.txt,,,Pasal 4,,1,Pelaksana ekspor dan impor wajib menyampaikan laporan pelaksanaan ekspor atau impor secara tertulis kepada Menteri.,
DOC518,permendag-3-2015.txt,,,Pasal 4,,2,Laporan pelaksanaan ekspor dan impor harus disampaikan setiap bulan paling lambat tanggal 15 bulan berikutnya.,
DOC518,permendag-3-2015.txt,,,Pasal 5,,1,Setiap pelaksana ekspor dan impor yang tidak memenuhi ketentuan dalam Peraturan Menteri ini akan dikenakan sanksi sesuai dengan ketentuan peraturan perundang-undangan yang berlaku.,
DOC518,permendag-3-2015.txt,,,Pasal 5,,2,"Sanksi dapat berupa teguran tertulis, pencabutan izin, atau sanksi administratif lainnya. Peraturan Menteri ini mulai berlaku pada tanggal ditetapkan. MENTERI PERDAGANGAN REPUBLIK INDONESIA, [TTD] [Nama Pejabat] BERITA NEGARA REPUBLIK INDONESIA No. 24, 2015 KEMENDAG. Minyak Bumi. Gas Bumi. Bahan Bakar Lain. Ekspor. Impor. Ketentuan. Pencabutan. Dengan Rahmat Tuhan Yang Maha Esa a. bahwa untuk mengatur kembali kebijakan ekspor dan impor minyak bumi, gas bumi, dan bahan bakar lain; b. bahwa berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a, huruf b, dan huruf c, perlu menetapkan Peraturan Menteri Perdagangan tentang Ketentuan Ekspor dan Impor Minyak Bumi, Gas Bumi, dan Bahan Bakar Lain; Menetapkan: PERATURAN MENTERI PERDAGANGAN TENTANG KETENTUAN EKSPOR DAN IMPOR MINYAK BUMI, GAS BUMI, DAN BAHAN BAKAR LAIN. Dalam Peraturan Menteri ini yang dimaksud dengan: Untuk kepentingan pengawasan pelaksanaan Peraturan Menteri ini, Direktur Jenderal bersama dengan Dirjen Migas, dan Dirjen Energi Baru, Terbarukan dan Konservasi Energi dapat membentuk Tim Evaluasi Pelaksanaan Ekspor dan Impor Minyak Bumi, Gas Bumi dan Bahan Bakar Lain.",
DOC518,permendag-3-2015.txt,,,Pasal 33,,1,"Ketentuan dalam Peraturan Menteri ini tidak berlaku terhadap ekspor dan impor Minyak Bumi, Gas Bumi, dan Bahan Bakar Lain yang merupakan: a. barang contoh; dan b. barang untuk keperluan penelitian.",
DOC518,permendag-3-2015.txt,,,Pasal 33,,2,"Ekspor dan impor Minyak Bumi, Gas Bumi, dan Bahan Bakar Lain yang merupakan barang sebagaimana dimaksud pada ayat (1) tetap memerlukan pertimbangan teknis dari Kementerian ESDM dan persetujuan dari Direktur Ekspor Produk Industri dan Pertambangan atau Direktur Impor Direktorat Jenderal Perdagangan Luar Negeri Kementerian Perdagangan. Pengecualian dari ketentuan yang diatur dalam Peraturan Menteri ini ditetapkan oleh Menteri dengan mempertimbangkan usulan dari instansi terkait. Petunjuk teknis pelaksanaan Peraturan Menteri ini dapat ditetapkan oleh Direktur Jenderal. Pelaksanaan ekspor dan impor Minyak Bumi, Gas Bumi, dan Bahan Bakar Lain selain tunduk pada ketentuan Peraturan Menteri ini juga tunduk pada ketentuan peraturan perundang-undangan lain mengenai Minyak Bumi, Gas Bumi, dan Bahan Bakar Lain. Persetujuan Ekspor dan Persetujuan Impor yang diterbitkan berdasarkan Peraturan Menteri Perdagangan Nomor 42/M-DAG/PER/9/2009 tentang Ketentuan Ekspor dan Impor Minyak dan Gas Bumi dinyatakan tetap berlaku sampai berakhirnya masa berlaku Persetujuan Ekspor dan Persetujuan Impor. Pada saat Peraturan Menteri ini mulai berlaku, Peraturan Menteri Perdagangan Nomor 42/M-DAG/PER/9/2009 tentang Ketentuan Ekspor dan Impor Minyak dan Gas Bumi dicabut dan dinyatakan tidak berlaku. Peraturan Menteri ini mulai berlaku 90 (sembilan puluh) hari sejak tanggal diundangkan. Agar setiap orang mengetahuinya, memerintahkan pengundangan Peraturan Menteri ini dengan penempatannya dalam Berita Negara Republik Indonesia. MENTERI PERDAGANGAN REPUBLIK INDONESIA, RACHMAT GOBEL Diundangkan di Jakarta pada tanggal 8 Januari 2015 MENTERI HUKUM DAN HAK ASASI MANUSIA REPUBLIK INDONESIA, YASONNA H. LAOLY LAMPIRAN I PERATURAN MENTERI PERDAGANGAN REPUBLIK INDONESIA NOMOR 03/M-DAG/PER/1/2015 TENTANG KETENTUAN EKSPOR DAN IMPOR MINYAK BUMI, GAS BUMI, DAN BAHAN BAKAR LAIN DAFTAR MINYAK BUMI, GAS BUMI, DAN BAHAN BAKAR LAIN YANG DIBATASI EKSPOR DAN IMPORNYA A. MINYAK BUMI - Minyak Bensin dan HOMC RON 97 dan lebih - POS TARIF/HS: 2710.12.11.00 - Minyak Bensin dan HOMC RON 90 lebih tetapi dibawah RON 97 - POS TARIF/HS: 2710.12.13.00 - Minyak Bensin dan HOMC dibawah RON 90 - POS TARIF/HS: 2710.12.15.00 - Aviation Gasoline (Avgas) - POS TARIF/HS: 2710.12.20.00 - Aviation Turbine (Avtur/Jet A1) - POS TARIF/HS: 2710.19.81.00, 2710.19.82.00 - Minyak Solar/HSD/Gasoil/Automotive Diesel Oil - POS TARIF/HS: 2710.19.71.00 - Minyak Diesel lainnya - POS TARIF/HS: 2710.19.72.00 - Minyak Bakar - POS TARIF/HS: 2710.19.79.00 - Minyak Tanah (Kerosene) - POS TARIF/HS: 2710.19.83.00 - Naphtha - POS TARIF/HS: 2710.12.70.00, hanya untuk ekspor - Carbon Black Feedstock - POS TARIF/HS: 2710.19.30.00 - Residue: - Low Sulfur Waxy Residues - POS TARIF/HS: 2713.90.00.00 - Vacuum Residue - POS TARIF/HS: 2713.90.00.00 - Decant Oil - POS TARIF/HS: 2713.90.00.00 - Recovered Oil - POS TARIF/HS: 2713.90.00.00 B. GAS BUMI - Propane - POS TARIF/HS: 2711.12.00.00 - Butane - POS TARIF/HS: 2711.13.00.00 - Campuran Propane dan Butane - POS TARIF/HS: 2711.19.00.00 - Dimethyl Ether (DME) - POS TARIF/HS: 2909.19.00.00 - Kondensat - POS TARIF/HS: 2709.00.20.00, hanya untuk ekspor BAHAN BAKAR LAIN MENTERI PERDAGANGAN REPUBLIK INDONESIA, RACHMAT GOBEL Dengan Rahmat Tuhan Yang Maha Esa a. Undang-Undang Nomor 17 Tahun 2006 tentang Perdagangan; b. Undang-Undang Nomor 22 Tahun 2001 tentang Minyak dan Gas Bumi; c. Peraturan Pemerintah Nomor 36 Tahun 2004 tentang Kegiatan Usaha Hulu Minyak dan Gas Bumi; d. Peraturan Menteri Perdagangan Nomor 24 Tahun 2015 tentang Ketentuan Impor dan Ekspor Minyak Bumi, Gas Bumi, dan Bahan Bakar Lain. Menetapkan: Peraturan Menteri tentang Ketentuan Impor dan Ekspor Minyak Bumi, Gas Bumi, dan Bahan Bakar Lain. Dalam Peraturan Menteri ini yang dimaksud dengan: Minyak Bumi, Gas Bumi, dan Bahan Bakar Lain yang dibatasi ekspor dan impornya sebagaimana tercantum dalam Lampiran I yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini.",
