Question,Answer
"Apakah konsep/pengertian KEK, serta latar belakang dan tujuan kebijakan KEK?","Sesuai dengan UU Nomor 6/2023 jo UU Nomor 39/2009 dan PP 40/2021, pengertian KEK adalah kawasan dengan batas tertentu dalam wilayah hukum Negara Kesatuan Republik Indonesia yang ditetapkan untuk menyelenggarakan fungsi perekonomian dan memperoleh fasilitas tertentu.
Konsep KEK:
KEK merupakan fasilitas yang berbasis kawasan (base on area) yang diberikan berbagai fasilitas baik fiskal (misal pembebasan/penangguhan BM, PPN dan PPH) dan non fiskal (kemudahan pemasukan/pengeluaran barang, keimigrasian, pembatasan impor). Pemberian pelayanan bagi para pengusaha di KEK tersentral pada Administrator di masing-masing KEK. Para pengusaha juga dimudahkan dengan Sistem Aplikasi KEK yang menjadi portal untuk melakukan pengurusan perizinan ataupun pengajuan dokumen keluar masuk barang. Satu KEK terdiri dari beberapa pelaku usaha yang melaksanakan kegiatan utama maupun kegiatan suporting di KEK.
Latar belakang pendirian KEK:
Pembentukan KEK dilatar belakangi kesenjangan ekonomi antar wilayah, dimana struktur perekonomian indonesia secara spasial masih didominasi oleh kelompok di provinsi Pulau Jawa, yang bahkan berdasarkan data BPS sampai dengan tahun 2022 masih mencerminkan kontribusi Pulau Jawa terhadap PDB Nasional sebesar 56,47%. Selain itu, pendirian KEK juga merupakan pengembangan kebijakan dari Kawasan Pengembangan Ekonomi Terpadu (KAPET) dan FTZ.
Terdapat beberapa hambatan dan tantangan yang ada dengan model KAPET dan FTZ tersebut. Tantangan pada KAPET untuk pengembangan investasi merupakan inisiasi pemerintah, sehingga terbatas anggaran, komitmen Pemda rendah, lokasi dan sektor tidak tepat dan pengelolaan tidak profesional. Dengan pertimbangan kendala tersebut dibentuklah model KEK yang dapat diinisiasi swasta untuk membangun kawasan.
Dalam rangka peningkatan penanaman modal, menunjang pengembangan ekonomi nasional, pengembangan ekonomi di wilayah tertentu, dan untuk meningkatkan penyerapan tenaga kerja maka dibentuklah suatu kawasan yaitu KEK."
"Dari aspek kepabeanan dan perpajakan, apa perbedaan KEK dengan Kawasan Bebas dan Kawasan Berikat?","Perbedaan KEK dengan Kawasan Bebas:
Secara undang-undang Kawasan Bebas terpisah dari daerah pabean sedangkan KEK bagian dari Daerah Pabean.
Wilayah Kawasan Bebas dapat bersifat whole island (Batam) atau enclave (Bintan), sedangkan KEK bersifat enclave.
Fasilitas fiskal di Kawasan Bebas berupa pembebasan bea masuk, pembebasan PPN impor, dan tidak dipungut PPH impor untuk seluruh jenis barang (termasuk barang konsumsi kebutuhan penduduk) sedangkan di KEK pembebasan bea masuk dan tidak dipungut PDRI untuk barang modal pada masa pembangunan, dan penangguhan bea masuk dan tidak dipungut PDRI untuk mesin, bahan baku dan bahan penolong pada masa produksi. Adapun fasilitas barang konsumsi di KEK hanya untuk KEK Pariwisata.
Fasilitas di KEK lebih ultimate karena mencakup juga fasilitas perpajakan (Tax Holiday/Tax allowance) dan kemudahan perizinan berusaha (Imigrasi, ketenagakerjaan)
Perbedaan KEK dengan Kawasan Berikat:
Kawasan Berikat base on entitas sedangkan KEK base on area.
Fasilitas fiskal di Kawasan Berikat berupa penangguhan bea masuk (bahan baku, bahan penolong, mesin dan peralatan) sedangkan di KEK pembebasan bea masuk dan tidak dipungut PDRI untuk barang modal pada masa pembangunan, dan penangguhan bea masuk dan tidak dipungut PDRI untuk mesin, bahan baku dan bahan penolong pada masa produksi.
Fasilitas di KEK lebih ultimate karena mencakup juga fasilitas perpajakan (Tax Holiday/Tax allowance), kemudahan perizinan berusaha (Imigrasi, ketenagakerjaan) dan dari segi kegiatan usaha cakupannya sangat luas misalnya pendidikan, pariwisata, kesehatan, jasa keuangan, dll."
"Tahun 2020 Pemerintah menerbitkan Undang-undang Ciptaker, yang juga merubah regulasi KEK. Terkait hal ini:apa saja pokok-pokok perubahannya, dan insentif/kemudahan yang diberikan dari aspek kepabeanan dan perpajakan?
apa tujuan/manfaat yang diharapkan dari perubahan tersebut?","Pasca UU Cipta Kerja, secara kepabeanan dikembangkan konsep new KEK:Penguatan FasilitasPenguatan fasilitas masa pembangunan: Pembebasan BM & tidak dipungut PDRI untuk barang modal dalam jangka waktu 5 tahun
Perluasan fasilitas sektor jasa dan pariwisata

Penguatan Dukungan Operasional Layanan Dan PengawasanTransformasi pengawasan kepabeanan dari based on entitas menjadi based on area dengan penetapan KEK sebagai Kawasan Pabean
Penguatan pendayagunaan IT Inventory

Penguatan Kemudahan Prosedur Layanan Dan PengawasanSingle document menggunakan Pemberitahuan Pabean Kawasan Ekonomi Khusus (PPKEK), yang terintegrasi dengan sistem perpajakan
Kemudahan Free movement perpindahan barang antar pelaku usaha dalam satu KEK
Dapat diberikan fasilitas pelayanan mandiri oleh Administrator

KEK dengan beragam fasilitas dan kemudahannya dikembangkan dengan tujuan mempercepat pengembangan ekonomi nasional. Selain itu sebagai bagian dari UU Cipta Kerja dan merupakan proyek strategis nasional, KEK ditujukan untuk meningkatkan investasi dan lapangan kerja.
Pemberian insentif fiskal dan kemudahan prosedural di KEK diharapkan dapat menjadi daya tarik investasi. Pemanfaatan Sistem Aplikasi KEK menjadi poin penting dalam perizinan dan pemanfaatan fasilitas di KEK agar lebih cepat dan mudah, namun dengan tetap memperhatikan aspek pengawasan.
Dengan kemajuan KEK kita sama-sama berharap dapat berperan dalam meningkatkan lapangan kerja dan memajukan perekonomian nasional."
"Kebijakan pemberian insentif dan kemudahan KEK tentunya perlu didukung sistem aplikasi. Terkait hal ini:
Sejalan dengan visi smart customs, sistem aplikasi apa saja yang dikembangkan di KEK dan bagaimana status implementasinya?
apa tujuan/manfaat dari pengembangan/penerapan sistem aplikasi tersebut?","Pelaksanaan kegiatan pelayanan dan pengawasan di KEK tentunya dilakukan sejalan dengan misi smart customs yaitu melalui Sistem Aplikasi KEK yang dibangun Direktorat IKC bersama dengan LNSW. Semua layanan kepabeanan antara lain pemasukan dan pengeluaran, pendayagunaan IT Inventory, pemberitahuan free movement dilaksanakan melalui Sistem Aplikasi KEK di LNSW. Selanjutnya kegiatan pelayanan atau pengawasan yang dilakukan DJBC diproses dan dilaksanakan pada Ceisa 4.0. Selain hal tersebut, pemberitahuan pemasukan dan pengeluaran barang dilaksanakan cukup dengan 1 dokumen (single document) yaitu PPKEK.
Terkait implementasinya saat ini telah diterapkan PPKEK untuk fitur pemasukan dari LDP, pemasukan dari TLDDP, dan pengeluaran ke LDP pada 5 KEK (Galang Batang, Lido, Kendal, Gresik, dan Mandalika) sesuai Kepdirjen BC Nomor KEP-100/BC/2023. Selanjutnya penggunaan tiga fitur tersebut juga diterapkan pada KEK lainnya serta piloting fitur Pengeluaran Antar Kawasan Berfasilitas pada 5 KEK (Galang Batang, Lido, Kendal, Gresik, dan Mandalika), serta piloting IT Inventory dan Free Movement pada 6 KEK (Galang Batang, Sei Mangkei, Lido, Kendal, Gresik, dan Mandalika) sesuai Kepdirjen BC Nomor KEP-101/BC/2023. Adapun fitur Pengeluaran ke TLDDP ditargetkan selesai pada Semester I 2024.
Selain aplikasi terkait kepabeanan, sistem yang dikembangkan pada Sistem Aplikasi KEK juga meliputi sistem profil Pelaku Usaha, sistem Masterlist, dan sistem PJKEK.
Dengan adanya penerapan Sistem Aplikasi KEK yang terintegrasi, tujuan yang diharapkan adalah dapat mempermudah pelaku usaha dalam melaksanakan kegiatan di KEK, khususnya dari sisi kepabeanan terkait kegiatan pengeluaran/pemasukan barang. Kemudahan tersebut tercipta antara lain karena adanya integrasi antara sistem perizinan, kepabeanan, dan perpajakan. Dari segi pengawasan, pendayagunaan IT Inventory menjadi salah satu tools yang dapat digunakan dalam mendukung optimalisasi pengawasan."
"Apakah terhadap pemberian insentif kepabeanan dan perpajakan di KEK yang dilakukan dievaluasi, dan bagaimana mekanisme evaluasinya?","Berdasarkan PMK 33/2021 jo PMK 237/2020, terhadap Badan Usaha dan Pelaku Usaha KEK dapat dilakukan monitoring dan evaluasi, audit kepabeanan, audit perpajakan, dan pemeriksaan sewaktu-waktu.
Pelaksanaan monev kepabeanan di KEK dilakukan mulai dari KPPBC Pengawas, Kanwil BC, dan Kantor Pusat.
Objek monev dilakukan untuk menguji tingkat kepatuhan pemanfaatan fasilitas sesuai ketentuan dan juga untuk menilai dampak ekonomi pemberian fasilitas kepabeanan.
Tools yang digunakan untuk mendukung pelaksanaan monev antara lain data pemberitahuan pabean, IT Inventory, CCTV, dan data perpajakan."
Apa saja dampak ekonomi yang ditimbulkan dengan adanya KEK di Indonesia?,"Dari segi dampak ekonomi, sesuai dan sejalan dengan tujuan pembentukan KEK yaitu meningkatkan perekonomian di luar jawa, meningkatnya devisa ekspor, tumbuhnya industri subtitusi impor dan industri ekonomi kreatif.
Sejak pemberlakuan UU Ciptaker dan PP 40/2021 perkembangan KEK semakin meningkat, baik dari segi penambahan nilai investasi, dan juga penambahan tenaga kerja. Realisasi Investasi sampai Q1 2024: 187,5 T; Realisasi Penyerapan Tenaga Kerja sampai Q1 2024: 126.506 orang.
Mengenai kontribusi ekspor KEK:
Nilai ekspor pada Q1 tahun 2024 Rp 2,9 Triliun mengalami peningkatan 6,6% dibanding periode yang sama tahun 2023 sebesar Rp 2,7 Triliun.
Komoditas ekspor terbesar pada Q1 2024 berupa alumina oleh PT Bintan Alumina Indonesia (KEK Galang Batang) senilai Rp 2,36 Triliun.
Komoditas ekspor di KEK antara lain: Alumina (Galang Batang), produk turunan CPO (Sei Mangkei), TPT (Kendal), Produk Perikanan (Bitung)
Mengenai dampak bagi masyarakat sekitar sebagai contoh dari pemanfaatan fasilitas KEK untuk mendukung event olahraga international di KEK Mandalika:
Tingkat hunian hotel di Pulau Lombok di bulan November 2021 mencapai titik tertinggi di 62,4% sejak awal pandemi Maret 2020.
Tingkat hunian hotel pada hari penyelenggaraan WSBK 18-21 November 2021 mencapai 100% dengan average daily rate mencapai RP 2,2 juta.
Adanya nilai transaksi ekonomi untuk paket makan dan souvenir 6,75 milliar, akomodasi 7,5 milliar, sewa kendaraan 6,75 milliar dan hiburan 3 milliar."
Bagaimana perlakuan lartas di KEK?,"Berdasarkan ketentuan PP 40/2021 pasal 101, Terhadap impor barang ke KEK belum diberlakukan ketentuan pembatasan dan tata niaga di bidang impor. Selanjutnya Pengeluaran barang impor untuk dipakai dari KEK ke TLDDP berlaku ketentuan pembatasan di bidang impor, dan Bagi barang yang membahayakan Kesehatan, Keselamatan, Keamanan dan Lingkungan (K3L) dapat dikenai pembatasan apabila barang dimaksud bukan merupakan bahan baku bagi kegiatan usaha dan institusi teknis terkait secara khusus memberlakukan ketentuan pembatasan di KEK.
Hal ini selanjutnya diatur juga dalam Permendag 7 tahun 2024 Pasal 28 yang mengatur bahwa Impor Barang ke KEK belum diberlakukan kebijakan dan pengaturan Impor, dan untuk kepentingan nasional yang mencakup keamanan, keselamatan, kesehatan, dan/atau lingkungan hidup di KEK, Menteri dapat menetapkan berlakunya kebijakan dan pengaturan Impor Barang secara selektif setelah berkoordinasi dengan Dewan Nasional, dimana ketentuan kebijakan dan pengaturan Impor tersebut dapat dikecualikan untuk kegiatan usaha di KEK berdasarkan penetapan Dewan Nasional.
Secara umum perlakuan lartas dapat dijabarkan sebagaimana tabel berikut:"
"Bagaimana ketentuan penggunaan dokumen PPKEK? Apakah bila sudah ada Kepdirjen piloting maka tidak lagi bisa dilayani dokumen kepabeanan lain seperti BC 2.0, BC 2.3, dsb?","Bahwa diatur dalam Pasal 77 PMK 33/2021 jo PMK 237/2020 untuk mendukung kelancaran pelayanan kepabeanan sebelum diberlakukannya Sistem Aplikasi KEK, kegiatan pemasukan dan pengeluaran barang di KEK masih dapat menggunakan dokumen sebelumnya (Dokumen TPB, PPFTZ, dan sejenisnya). Sehingga selama masa piloting, kepada BUPU masih diberikan opsi penggunaan dokumen selain PPKEK, sampai nanti ditetapkan mandatory PPKEK melalui Kepdirjen BC."
Apakah dasar Hukum Fasilitas Perpajakan dan Kepabeanan di Ibu Kota Nusantara?,PMK 28 Tahun 2024 tanggal 29 April 2024
Dimanakah wilayah kerja Ibu Kota Nusantara (IKN)?,Kantor Wilayah DJBC Kalimantan Timur
